ERR1913283.120__1.120	820__A0A139K426__B5G17_09115
ERR1913283.347__1.347	1262700__R5XLG8__BN695_01525
ERR1913283.382__1.382	820__A0A3E5E0T0__ERS852554_00312
ERR1913283.753__1.753	1150298__A0A174LKY6__ERS852535_00447
ERR1913283.779__1.779	39491__C4ZF05__vpr
ERR1913283.1434__1.1434	1897011__A0A1Q6RE78__BHW41_04770
ERR1913283.1463__1.1463	357276__I9R994__BACDOR_04044
ERR1913283.1585__1.1585	853__A0A2A7B9I6__DW855_13690
ERR1913283.1686__1.1686	239935__A0A2N8I3G2__CXT89_00720
ERR1913283.1925__1.1925	39491__A0A395ZBW8__DXC13_08840
ERR1913283.2035__1.2035	338188__C9KT45__ERS852397_03513
ERR1913283.2233__1.2233	626929__R6L5A2__SAMN05444376_1245
ERR1913283.2260__1.2260	820__A0A174DZ97__SAMN05444418_101240
ERR1913283.2406__1.2406	944036__A0A196S984__AV274_5754
ERR1913283.2480__1.2480	820__A0A174CG08__DXB62_13215
ERR1913283.2577__1.2577	1262911__R6GSH0__BN557_00934
ERR1913283.2597__1.2597	1160721__W0U5X6__RBI_I01796
ERR1913283.2599__1.2599	239935__A0A2N8IVR0__CXT87_07115
ERR1913283.2605__1.2605	39491__A0A173QT73__alaS_2
ERR1913283.2634__1.2634	820__A7VAS1__HMPREF2141_03259
ERR1913283.2733__1.2733	239935__A0A2N8HT44__CXT84_11035
ERR1913283.2879__1.2879	239935__R7E524__CXT91_06180
ERR1913283.3005__1.3005	820__A7V780__adaA_3
ERR1913283.3045__1.3045	1160721__W0U3Z9__RBI_I00543
ERR1913283.3141__1.3141	39491__C4Z8S1__DXB76_06750
ERR1913283.3486__1.3486	28117__B0MVL5__BHV66_01660
ERR1913283.3738__1.3738	338188__C9L246__HMPREF1057_00305
ERR1913283.3751__1.3751	1472761__GCA_002159295.1_00731
ERR1913283.3770__1.3770	239935__R6JWM7__CXU14_12295
ERR1913283.3880__1.3880	338188__A0A173XHS4__BACFIN_08438
ERR1913283.3963__1.3963	338188__A0A1Q6HLG8__ERS852397_03417
ERR1913283.3978__1.3978	1150298__R7JRK4__ERS852406_01648
ERR1913283.3994__1.3994	1160721__W0U3P8__RBI_I00386
ERR1913283.4283__1.4283	1683__C4FEQ2__BIFANG_02793
ERR1913283.4378__1.4378	1262700__R5XVC6__BN695_01077
ERR1913283.4695__1.4695	572010__ppdK
ERR1913283.4944__1.4944	820__A0A3E4XM43__DXC91_13960
ERR1913283.4973__1.4973	39492__D4JRZ7__smc
ERR1913283.5031__1.5031	820__A0A139KH21__DXC80_01780
ERR1913283.5037__1.5037	28117__B0MVL5__BHV66_01660
ERR1913283.5083__1.5083	40518__R5DUJ5__DXD83_01635
ERR1913283.5230__1.5230	39485__A0A174YYW2__benM
ERR1913283.5309__1.5309	338188__C9L213__ERS852397_00630
ERR1913283.5348__1.5348	853__A0A173YYY4__DWZ04_09420
ERR1913283.5364__1.5364	39491__A0A396FQV7__T1815_10751
ERR1913283.5530__1.5530	47678__A5ZG68__ERS852494_02968
ERR1913283.5615__1.5615	39492__D4JRV5__acrR_2
ERR1913283.5635__1.5635	823__D7IRG1__NCTC11152_02276
ERR1913283.5748__1.5748	166486__D4KZY5__ROSINTL182_07635
ERR1913283.6036__1.6036	674529__A0A174P3W4__SAMN05444400_106198
ERR1913283.6223__1.6223	47678__A5ZI88__BACCAC_02617
ERR1913283.6372__1.6372	1681__A0A286TED3__CJD48_07450
ERR1913283.6446__1.6446	1262911__R6H1K1__BN557_00910
ERR1913283.6536__1.6536	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913283.6649__1.6649	820__A0A3E4GA19__SAMN05444418_10562
ERR1913283.6651__1.6651	166486__D4L082__yicI_5
ERR1913283.6740__1.6740	1262700__R5Y7U2__BN695_00971
ERR1913283.6938__1.6938	1262700__R5Y9F5__BN695_01481
ERR1913283.6988__1.6988	338188__R6RWS7__HMPREF1057_00911
ERR1913283.7022__1.7022	820__A0A139KIL9__DXC68_05945
ERR1913283.7293__1.7293	28117__B0MVL5__BHV66_01660
ERR1913283.7402__1.7402	239935__A0A2N8INK7__Amuc_0521
ERR1913283.7558__1.7558	820__A0A174A6K0__M093_0079
ERR1913283.7611__1.7611	39492__D4JQL8__ywpJ
ERR1913283.7650__1.7650	39491__C4Z9D4__DXD95_00055
ERR1913283.7696__1.7696	239935__R6JD78__CXU05_09250
ERR1913283.7799__1.7799	39492__D4JTW6__ERS852540_00220
ERR1913283.7810__1.7810	239935__A0A2N8INZ4__CXU08_03560
ERR1913283.7919__1.7919	487174__K0WZU7__HMPREF9448_01154
ERR1913283.7952__1.7952	28117__B0MUT8__ALIPUT_00879
ERR1913283.8046__1.8046	40518__R5E6X1__DXD83_01720
ERR1913283.8117__1.8117	820__A0A374Q1D8__SAMN05444418_112114
ERR1913283.8508__1.8508	39491__A0A396FMT0__EUBREC_3020
ERR1913283.8849__1.8849	820__A0A174M9V5__M093_0237
ERR1913283.8914__1.8914	1160721__W0U2W0__BHW50_02075
ERR1913283.8927__1.8927	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913283.9043__1.9043	338188__R6RWS7__HMPREF1057_00911
ERR1913283.9334__1.9334	487174__K0WXI5__DDY40_07185
ERR1913283.9380__1.9380	338188__C9KSV8__BACFIN_05392
ERR1913283.9436__1.9436	360807__A0A1Q6T6N0__RIL183_24191
ERR1913283.9875__1.9875	820__A0A3E4WCX3__C801_02709
ERR1913283.10014__1.10014	487174__K0X429__HMPREF9448_00932
ERR1913283.10056__1.10056	39492__D4JR08__ERS852540_02467
ERR1913283.10077__1.10077	847__C3X9A8__recB
ERR1913283.10228__1.10228	33025__A0A395JBB5__C8D73_107104
ERR1913283.10317__1.10317	239935__A0A2N8HTZ8__CXU09_01270
ERR1913283.10485__1.10485	820__A0A173WUD7__DXB48_08055
ERR1913283.10522__1.10522	239935__R6IZU4__CXT87_08085
ERR1913283.10689__1.10689	1680__A1A0V3__C8077_03025
ERR1913283.10904__1.10904	820__A0A139K4T0__ERS852510_03146
ERR1913283.11204__1.11204	820__E5VA63__DXC80_01025
ERR1913283.11536__1.11536	820__A7V092__hldE
ERR1913283.11547__1.11547	40518__R5DV58__htrA
ERR1913283.11618__1.11618	39491__A0A395V1R3__T1815_08181
ERR1913283.11695__1.11695	1262700__R5XTV2__BN695_00575
ERR1913283.12118__1.12118	487174__K0X028__DIT83_00950
ERR1913283.12193__1.12193	246787__A0A0P0GM17__BACCELL_03224
ERR1913283.12487__1.12487	28117__B0MTV5__BHV66_06415
ERR1913283.12497__1.12497	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913283.12578__1.12578	1262700__R5XX89__BN695_00144
ERR1913283.12729__1.12729	820__A0A3E5BMG9__DXD40_05130
ERR1913283.12795__1.12795	239935__A0A2N8IMD6__CXU03_05585
ERR1913283.12870__1.12870	1262911__R6GSH8__BN557_00939
ERR1913283.12849__1.12849	1262911__R6H074__BN557_00923
ERR1913283.13046__1.13046	239935__A0A2N8J1K0__CXT97_05765
ERR1913283.13128__1.13128	487174__K0X079__DIT83_00640
ERR1913283.13226__1.13226	454154__G5SQ59__HMPREF9441_01496
ERR1913283.13330__1.13330	552398__F4XHU2__HMPREF0866_03196
ERR1913283.13351__1.13351	39491__A0A3E4YFT8__DXB69_10940
ERR1913283.13557__1.13557	823__A0A173W8N5__ERS852513_00780
