ERR1913216.557__1.557	823__E1YQ32__DXC05_04185
ERR1913216.1005__1.1005	820__A0A374Q854__HMPREF1073_03281
ERR1913216.1007__1.1007	357276__D1JY58__BACDOR_04277
ERR1913216.1401__1.1401	357276__A0A0K2HI25__DXD47_04465
ERR1913216.2377__1.2377	357276__I8WBQ9__HMPREF1065_03212
ERR1913216.2508__1.2508	823__A0A174XJM9__CEQ22_007230
ERR1913216.3018__1.3018	818__A0A0P0F2P7__BT_1771
ERR1913216.3254__1.3254	487174__K0X2Q8__DDY40_04590
ERR1913216.3515__1.3515	39491__C4Z875__T1815_09771
ERR1913216.3709__1.3709	1262935__R5GCM2__BN773_01053
ERR1913216.3741__1.3741	47678__R5UES3__CGC64_00760
ERR1913216.3851__1.3851	487174__K0WUJ8__DIT83_08050
ERR1913216.3953__1.3953	357276__I8WPR6__EL88_06675
ERR1913216.3963__1.3963	28117__B0MWC6__BHV66_00965
ERR1913216.3948__1.3948	74426__group_4808
ERR1913216.4090__1.4090	1262935__R5GU54__BN773_00232
ERR1913216.4147__1.4147	1262886__R6Q7L1__BN563_00804
ERR1913216.4241__1.4241	487174__K0XG34__HMPREF9448_02234
ERR1913216.4185__1.4185	2108523__A0A2P2F666__LAWASA_1491
ERR1913216.4294__1.4294	39492__D4JTW7__EUBSIR_00859
ERR1913216.4451__1.4451	371601__D4WBK5__BN891_3970
ERR1913216.4510__1.4510	1262935__R5GHV4__BN773_00876
ERR1913216.4645__1.4645	1263000__R5EHB0__BN466_01647
ERR1913216.5048__1.5048	1262888__R6P7C4__BN582_00711
ERR1913216.5234__1.5234	204516__U6R9E7__HMPREF1534_03313
ERR1913216.5420__1.5420	28118__R6FA80__DHW44_06470
ERR1913216.5456__1.5456	572010__sigA
ERR1913216.5540__1.5540	1262935__R5GEN3__BN773_01757
ERR1913216.5823__1.5823	1501391__GCA_000786575.1_00151
ERR1913216.6066__1.6066	46503__K5ZKR1__dnaB
ERR1913216.6211__1.6211	1262886__R6Q946__BN563_00499
ERR1913216.6739__1.6739	214856__R6YD52__ERS852447_02171
ERR1913216.6779__1.6779	487174__K0WWY0__DIT83_10195
ERR1913216.6912__1.6912	823__A6LEF1__CF162_12695
ERR1913216.6916__1.6916	1150298__A0A174SLE6__mlc_1
ERR1913216.7133__1.7133	28116__I9JM49__NCTC11153_01044
ERR1913216.7355__1.7355	1262743__R5C054__BN727_01980
ERR1913216.7280__1.7280	28118__F9Z751__DHW44_02965
ERR1913216.7418__1.7418	1262935__R5GVF6__BN773_00033
ERR1913216.7602__1.7602	1262886__R6Q989__BN563_01287
ERR1913216.7724__1.7724	291644__I9SJB6__HMPREF1532_04086
ERR1913216.8036__1.8036	821__A0A3E4HP25__SAMN04487923_102450
ERR1913216.8137__1.8137	33039__D4M6R8__bglB_8
ERR1913216.8497__1.8497	1262736__R5Y3Y0__BN496_01937
ERR1913216.8869__1.8869	291644__I9SMF9__HMPREF1532_02933
ERR1913216.8890__1.8890	821__A0A0P0LFP6__C5Z04_13890
ERR1913216.9035__1.9035	116085__D4J6V9__DW747_08450
ERR1913216.9057__1.9057	357276__A0A076ISJ4__B5F95_19420
ERR1913216.9115__1.9115	39492__D4JVG1__ERS852540_00951
ERR1913216.9281__1.9281	39488__C0F0P7__ERS852578_02651
ERR1913216.9856__1.9856	823__D0TAX5__HMPREF1075_01064
ERR1913216.10187__1.10187	1262889__R7H993__BN634_00107
ERR1913216.10529__1.10529	821__C6ZAA5__ERS852556_00403
ERR1913216.11522__1.11522	458033__GCA_001482755.1_02203
ERR1913216.11544__1.11544	384638__B7APN3__BACPEC_00639
ERR1913216.11708__1.11708	821__A6L0C7__ERS852556_03520
ERR1913216.12091__1.12091	35833__E5Y2K0__HMPREF0179_00411
ERR1913216.12098__1.12098	487174__K0XL35__DDY40_11955
ERR1913216.12112__1.12112	291644__I8Y6B7__HMPREF1532_02902
ERR1913216.12278__1.12278	28118__R6FYK4__folK
ERR1913216.12459__1.12459	1262825__R5EHP5__BN724_01707
ERR1913216.12583__1.12583	40518__R5DUU8__DXD86_08440
ERR1913216.13185__1.13185	487174__K0WYI1__DDY40_08675
ERR1913216.13435__1.13435	1262825__R5E3J9__BN724_01601
ERR1913216.13670__1.13670	1262958__R7GWE5__BN645_01402
ERR1913216.14020__1.14020	1262889__R7H8U0__BN634_00239
ERR1913216.14302__1.14302	820__A7V049__DXB48_04755
ERR1913216.14407__1.14407	487174__K0X6A4__HMPREF9448_00105
ERR1913216.15041__1.15041	1263000__R5ENX5__BN466_00466
ERR1913216.15174__1.15174	357276__A0A0M1W4C0__DXD47_07095
ERR1913216.15293__1.15293	165179__A0A3E5EA43__DXC61_07775
ERR1913216.15308__1.15308	28118__F9Z9X9__DF785_11470
ERR1913216.15407__1.15407	821__D4VD59__BHV80_04260
ERR1913216.15383__1.15383	2293125__A0A374BSW4__DW917_13420
ERR1913216.15606__1.15606	1262935__R5GH94__BN773_00883
ERR1913216.15963__1.15963	40518__R5DYP7__envC
ERR1913216.16089__1.16089	1297617__A0A0S2W6F0__IB211_02538
ERR1913216.16159__1.16159	246787__A0A0P0FW66__sigW_7
ERR1913216.16275__1.16275	418240__A0A173XAN5__ERS852523_02751
ERR1913216.16601__1.16601	357276__A0A076IXE0__HMPREF1064_04364
ERR1913216.16746__1.16746	39491__C4ZHS4__EUR_24420
ERR1913216.16905__1.16905	1262942__R7QW45__BN520_01921
ERR1913216.16993__1.16993	46228__V8C484__HMPREF1202_01707
ERR1913216.17068__1.17068	820__A0A174F0C1__nreB
ERR1913216.17115__1.17115	357276__A0A0M1W657__HMPREF1064_04629
ERR1913216.17425__1.17425	28118__F9Z8Y8__B5F99_07140
ERR1913216.17796__1.17796	166486__D4L457__ROSINTL182_07087
ERR1913216.17892__1.17892	39488__R5G6A7__DXD91_05835
ERR1913216.17941__1.17941	823__A0A355XJ56__DDY96_07685
ERR1913216.18005__1.18005	1393034__GCA_001552785.1_00728
ERR1913216.18338__1.18338	28116__A0A1G6G9R4__CUY_0131
ERR1913216.18425__1.18425	28117__B0MXJ1__BHV66_08445
ERR1913216.18485__1.18485	823__A0A173VS36__M091_4727
ERR1913216.18861__1.18861	46503__K5ZM81__DCY29_16460
ERR1913216.18879__1.18879	1796613__I9UNF9__ADH74_14465
ERR1913216.19160__1.19160	2293125__A0A374C3L4__DW917_09100
ERR1913216.19270__1.19270	214856__I3YPP0__ERS852447_01388
ERR1913216.19307__1.19307	357276__I9QWD4__DXD47_15075
ERR1913216.19383__1.19383	28111__R5JQ07__BACEGG_03203
ERR1913216.19559__1.19559	821__A0A174NM17__lacZ_6
ERR1913216.20130__1.20130	46503__R6X6Y1__DCY29_15600
ERR1913216.20717__1.20717	204516__U6REI9__HMPREF1534_02357
ERR1913216.20921__1.20921	1262935__R5GEF5__BN773_00089
ERR1913216.21410__1.21410	1262911__R6H0U7__BN557_01104
ERR1913216.21507__1.21507	291644__U6RV10__ERS852428_00490
ERR1913216.21576__1.21576	291644__I9TBY1__HMPREF1532_01991
ERR1913216.21635__1.21635	291644__I9HLV6__ERS852428_02603
ERR1913216.21834__1.21834	1262935__R5GFU9__BN773_00394
ERR1913216.22452__1.22452	487174__K0WWY0__DIT83_10195
ERR1913216.22496__1.22496	39488__C0EY66__prkC_1
ERR1913216.23038__1.23038	1262935__R5GM63__BN773_00882
ERR1913216.23096__1.23096	821__A0A3E4WAR6__DXD64_10735
ERR1913216.23107__1.23107	1262935__R5GT62__BN773_01738
ERR1913216.23482__1.23482	291644__I8Z4N9__HMPREF1532_01310
ERR1913216.23648__1.23648	487174__K0X429__HMPREF9448_00932
ERR1913216.24018__1.24018	357276__A0A076IP73__BACDOR_04237
ERR1913216.24251__1.24251	246787__R6KK25__HMPREF1062_01860
ERR1913216.24849__1.24849	1501391__GCA_000786575.1_00031
ERR1913216.24885__1.24885	487174__K0XKB7__DDY40_03475
ERR1913216.25003__1.25003	821__I9R3W6__DXC16_12455
ERR1913216.25293__1.25293	214856__R6Z590__ERS852447_01059
ERR1913216.25424__1.25424	28111__E5WZE2__NCTC11155_00550
ERR1913216.25504__1.25504	487174__K0X694__DIT83_09060
ERR1913216.25555__1.25555	1262935__R5GH23__BN773_00804
ERR1913216.25746__1.25746	28117__R7JIJ8__BHV66_01635
ERR1913216.25826__1.25826	1262935__R5GQA8__BN773_00915
ERR1913216.25837__1.25837	165179__A0A3E5EA43__DXC61_07775
ERR1913216.25929__1.25929	1262935__R5GDG4__BN773_01363
ERR1913216.25976__1.25976	1150298__A0A174SLE6__mlc_1
ERR1913216.26146__1.26146	28117__B0MU57__ALIPUT_00175
ERR1913216.26511__1.26511	1263000__R5EKG2__BN466_02040
ERR1913216.26600__1.26600	1263006__R6M176__BN515_00274
ERR1913216.26691__1.26691	821__A0A395UNT8__DXD64_15275
ERR1913216.27099__1.27099	821__A0A078R9Y9__M097_2119
ERR1913216.27472__1.27472	357276__I9QWD4__DXD47_15075
ERR1913216.27549__1.27549	28111__E5X121__BACEGG_03113
ERR1913216.27599__1.27599	47678__A5ZI88__BACCAC_02617
ERR1913216.27678__1.27678	820__A0A374Q854__HMPREF1073_03281
ERR1913216.27726__1.27726	357276__B6VT86__IY41_22515
ERR1913216.28001__1.28001	487174__K0WUW8__DDY40_02615
ERR1913216.28093__1.28093	165179__A0A229I3Z6__PREVCOP_03666
ERR1913216.28271__1.28271	46228__V8C7P7__HMPREF1202_01523
ERR1913216.28321__1.28321	1263006__R6LSL5__BN515_00102
ERR1913216.28913__1.28913	39491__A0A396FP46__cobD_2
ERR1913216.29289__1.29289	1262886__R6Q805__BN563_00926
ERR1913216.29375__1.29375	2173__A0A1D2WRC1__Msm_0093
ERR1913216.29694__1.29694	204516__U6RFV1__HMPREF1534_02560
