ERR1913293.45__1.45	216816__B3DQ11__APC1466_1528
ERR1913293.275__1.275	1897011__A0A1Q6RH37__BHW41_01795
ERR1913293.547__1.547	1263000__R5EAV7__BN466_00502
ERR1913293.970__1.970	1262917__R5ASX8__BN456_01240
ERR1913293.1023__1.1023	33043__A0A173X9G8__ERS852386_00532
ERR1913293.1386__1.1386	1897011__A0A1Q6RD94__BHW41_05840
ERR1913293.1611__1.1611	1263000__R5EF36__BN466_01303
ERR1913293.1687__1.1687	820__A0A174KKV6__DXC07_02635
ERR1913293.1695__1.1695	239935__A0A2N8HT18__CXT93_06135
ERR1913293.1886__1.1886	1897011__A0A1Q6RH73__BHW41_01885
ERR1913293.1993__1.1993	40518__R5DTH7__DXD83_02405
ERR1913293.2111__1.2111	301301__A0A395V6Z6__ERS852391_00966
ERR1913293.2685__1.2685	671267__R9HZL9__C802_04004
ERR1913293.2735__1.2735	357276__A0A0K2HJA6__DXD47_07320
ERR1913293.2769__1.2769	387090__S0FCS1__BACCOPRO_01688
ERR1913293.3085__1.3085	820__A0A396EXA7__DXB37_15530
ERR1913293.3209__1.3209	384638__B7APR0__BACPEC_00666
ERR1913293.3323__1.3323	387090__S0F9K2__BACCOPRO_02271
ERR1913293.3505__1.3505	820__A0A374Q854__HMPREF1073_03281
ERR1913293.3649__1.3649	239935__A0A2N8I390__CXU16_10675
ERR1913293.3675__1.3675	1262917__R5AQ31__BN456_01284
ERR1913293.3776__1.3776	820__A7V8C2__ERS852554_01338
ERR1913293.3910__1.3910	1628085__A0A2U1B224__C7386_12221
ERR1913293.4104__1.4104	820__A0A3E4VXP2__yesR
ERR1913293.4207__1.4207	40518__R5DYU1__DXD86_01160
ERR1913293.4234__1.4234	1262917__R5AKQ6__BN456_02122
ERR1913293.4520__1.4520	901__B6WQD5__DESPIG_00255
ERR1913293.4720__1.4720	1262917__R5B074__BN456_00067
ERR1913293.4725__1.4725	1262917__R5AVU6__BN456_01673
ERR1913293.4833__1.4833	39778__A0A3D2WPN5__VEIDISOL_01722
ERR1913293.5027__1.5027	1262917__R5AIW0__BN456_01592
ERR1913293.5091__1.5091	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913293.5126__1.5126	40518__R5DVL2__penA
ERR1913293.5168__1.5168	387090__S0FAH6__BACCOPRO_02588
ERR1913293.5216__1.5216	853__A0A173XRA8__CGS56_09290
ERR1913293.5362__1.5362	1262917__R5APN9__BN456_02126
ERR1913293.5473__1.5473	301301__A0A395VA45__RHOM_02615
ERR1913293.5798__1.5798	1262917__R5B074__BN456_00067
ERR1913293.5830__1.5830	853__A0A2A7B9I6__DW855_13690
ERR1913293.5922__1.5922	33043__A0A174DVD4__prkC_7
ERR1913293.6041__1.6041	1262917__R5AQG6__BN456_00469
ERR1913293.6074__1.6074	1262917__R5AML2__BN456_00473
ERR1913293.6197__1.6197	1262917__R5AY58__BN456_00376
ERR1913293.6167__1.6167	1262917__R5ALZ5__BN456_00616
ERR1913293.6254__1.6254	1262917__R5AMI0__BN456_01476
ERR1913293.6445__1.6445	821__A0A3E4WAR6__DXD64_10735
ERR1913293.6408__1.6408	853__A0A173RZ39__C4N22_01650
ERR1913293.6705__1.6705	1263000__R5EKG2__BN466_02040
ERR1913293.6817__1.6817	328814__GCA_004558275.1_01002
ERR1913293.7419__1.7419	820__A0A374Q854__HMPREF1073_03281
ERR1913293.7695__1.7695	39491__A0A174M1X5__DXB99_18695
ERR1913293.7780__1.7780	1897011__A0A1Q6RE59__BHW41_04605
ERR1913293.7997__1.7997	40518__R5E2F3__artQ
ERR1913293.8299__1.8299	1393034__GCA_001552785.1_00510
ERR1913293.8388__1.8388	1262917__R5AS71__BN456_00179
ERR1913293.8777__1.8777	1262917__R5AMT3__BN456_00047
ERR1913293.8798__1.8798	1262917__R5AM07__BN456_02175
ERR1913293.8938__1.8938	28117__B0MZ22__BHV66_04430
ERR1913293.9076__1.9076	1308__A0A0A7HF73__Y016_04810
ERR1913293.9169__1.9169	392015__GCA_900116805.1_01581
ERR1913293.9798__1.9798	301301__A0A395VA99__rpfG_5
ERR1913293.9897__1.9897	357276__B6W1Y1__BSEG_03960
ERR1913293.9993__1.9993	820__R9HP61__DXC91_01090
ERR1913293.10297__1.10297	820__A0A139K4W5__HMPREF2141_02394
ERR1913293.10703__1.10703	33043__A0A173X520__ERS852575_01617
ERR1913293.10844__1.10844	1263000__R5EGP9__BN466_01419
ERR1913293.10897__1.10897	1262753__R5B0C5__BN813_01872
ERR1913293.10906__1.10906	820__A0A3E4W4Y7__B5G17_02055
ERR1913293.10978__1.10978	1262911__R6H2J2__BN557_01228
ERR1913293.11034__1.11034	1262917__R5AVU6__BN456_01673
ERR1913293.11086__1.11086	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913293.11219__1.11219	214856__D4IMT6__Alfi_1830
ERR1913293.11264__1.11264	1262917__R5APN9__BN456_02126
ERR1913293.11821__1.11821	1262917__R5AJI3__BN456_01440
ERR1913293.12026__1.12026	1262917__R5AX17__BN456_01972
ERR1913293.12068__1.12068	39491__A0A395UVM9__DXB76_04540
ERR1913293.12437__1.12437	1262917__R5ASX8__BN456_01240
ERR1913293.12516__1.12516	853__A0A173RZ39__C4N22_01650
ERR1913293.12661__1.12661	1262917__R5AVU6__BN456_01673
ERR1913293.13614__1.13614	1262917__R5AXP5__BN456_02173
ERR1913293.13761__1.13761	214856__R6XUN2__rcsC_1
ERR1913293.13838__1.13838	1262917__R5AVT6__BN456_01663
ERR1913293.13988__1.13988	1263000__R5EI35__BN466_01649
ERR1913293.14196__1.14196	310297__R5VDU0__DXC17_08295
ERR1913293.14247__1.14247	301301__A0A395VFK0__RHOM_05215
ERR1913293.14315__1.14315	454154__G5SPR9__HMPREF9441_01352
ERR1913293.14450__1.14450	40518__R5DV58__htrA
ERR1913293.14499__1.14499	820__A0A396EXA7__DXB37_15530
ERR1913293.14552__1.14552	1262917__R5AWT2__BN456_01401
ERR1913293.14569__1.14569	572010__rplB
ERR1913293.14705__1.14705	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913293.14713__1.14713	820__A0A174CG08__DXB62_13215
ERR1913293.14859__1.14859	328814__GCA_004558275.1_01621
ERR1913293.14937__1.14937	39491__D4JM76__DXC13_02150
ERR1913293.14965__1.14965	328814__GCA_004558275.1_02278
ERR1913293.14976__1.14976	1262917__R5AMI0__BN456_01476
ERR1913293.15149__1.15149	116085__D4JBM5__DW747_01240
ERR1913293.15329__1.15329	46503__R6XCJ0__PARMER_01847
ERR1913293.15335__1.15335	39491__A0A395ZG74__licR
ERR1913293.15427__1.15427	1263000__R5EC87__BN466_00713
ERR1913293.15444__1.15444	1263000__R5ESM1__BN466_01440
ERR1913293.15530__1.15530	1897011__A0A1Q6RF44__BHW41_03065
ERR1913293.15853__1.15853	39491__A0A395ZEN3__DXD95_12655
ERR1913293.15931__1.15931	1680__A7A7Z9__AAX71_05385
ERR1913293.16266__1.16266	214856__A0A175A6T5__ERS852447_02658
ERR1913293.16370__1.16370	360807__C0FNY7__ERS852392_01257
ERR1913293.16462__1.16462	820__A0A173WUD7__DXB48_08055
ERR1913293.16783__1.16783	1262917__R5AXS0__BN456_02198
ERR1913293.16797__1.16797	454154__G5SSX4__HMPREF9441_02474
ERR1913293.17312__1.17312	1262911__R6GMZ7__BN557_01741
ERR1913293.17329__1.17329	1262736__R5YLP8__BN496_00010
ERR1913293.17544__1.17544	820__A0A174G065__DXB62_08975
ERR1913293.17689__1.17689	1263000__R5ESM1__BN466_01440
ERR1913293.17719__1.17719	1897011__A0A1Q6RIA6__BHW41_01370
ERR1913293.17830__1.17830	1262917__R5AR72__BN456_01614
ERR1913293.17850__1.17850	1262988__R7N285__BN816_00970
ERR1913293.17901__1.17901	487174__K0X0F6__HMPREF9448_01444
ERR1913293.17976__1.17976	46503__R6XCJ0__PARMER_01847
ERR1913293.18167__1.18167	1262917__R5APL3__BN456_01119
ERR1913293.18267__1.18267	45851__D4S247__BUTYVIB_02169
ERR1913293.18755__1.18755	1263000__R5EMU9__BN466_00667
ERR1913293.18703__1.18703	33043__A0A173YEP6__ERS852575_00888
ERR1913293.18894__1.18894	1263000__R5EKR3__BN466_00099
ERR1913293.18996__1.18996	310297__B5D038__BACPLE_02359
ERR1913293.19171__1.19171	39777__J4QBI2__HMPREF0870_00031
ERR1913293.19248__1.19248	410072__A0A3E4GT65__ERS852574_02325
ERR1913293.19325__1.19325	301301__G2T3Q2__ERS852391_00522
ERR1913293.19396__1.19396	40518__R5DT93__DXD86_08730
ERR1913293.19552__1.19552	166486__D4L1D8__ROSINTL182_06455
ERR1913293.19764__1.19764	310298__B3JFK4__BACCOP_00654
ERR1913293.20415__1.20415	1262917__R5AJD3__BN456_01751
ERR1913293.20534__1.20534	384638__B7APR0__BACPEC_00666
ERR1913293.20649__1.20649	28117__B0MWX3__BHV66_03010
ERR1913293.20727__1.20727	1262917__R5AS64__BN456_00169
ERR1913293.20765__1.20765	39491__A0A396FSN2__EUBREC_0707
ERR1913293.20818__1.20818	820__A0A374MMF0__HMPREF1073_03811
ERR1913293.20829__1.20829	1262917__R5B074__BN456_00067
ERR1913293.20914__1.20914	1263000__R5ER71__BN466_00316
ERR1913293.21054__1.21054	820__A0A3E4WA06__ERS852554_03404
ERR1913293.21100__1.21100	384638__B7APR0__BACPEC_00666
ERR1913293.21190__1.21190	1262917__R5AP58__BN456_01384
