ERR1913154.149__1.149	328814__GCA_004558275.1_00079
ERR1913154.240__1.240	820__A0A173WUD7__DXB48_08055
ERR1913154.274__1.274	626933__H1DGX0__HMPREF9449_01506
ERR1913154.479__1.479	166486__A0A173T114__ROSINTL182_05085
ERR1913154.690__1.690	821__A0A174MBW9__SAMN04487923_10272
ERR1913154.719__1.719	357276__A0A076IS26__EL88_15950
ERR1913154.979__1.979	28111__E5X205__NCTC11155_00661
ERR1913154.1052__1.1052	39491__C4ZC33__DXC13_11585
ERR1913154.1129__1.1129	28118__R6F9B8__Odosp_3480
ERR1913154.1384__1.1384	487174__K0WTV8__DIT83_04385
ERR1913154.1395__1.1395	823__D7ILK2__ERS852380_00031
ERR1913154.1504__1.1504	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913154.1514__1.1514	216816__A0A0A0UDU9__BL1246
ERR1913154.1545__1.1545	301302__A0A0M6WCE2__M72_20161
ERR1913154.1831__1.1831	820__R9HP61__DXC91_01090
ERR1913154.1860__1.1860	1150298__A0A174AP40__ERS852535_01165
ERR1913154.1940__1.1940	46506__B0NM94__HMPREF1181_03250
ERR1913154.2065__1.2065	1262924__R7HRE7__BN585_00055
ERR1913154.2311__1.2311	626937__A0A136Q126__HMPREF3293_03020
ERR1913154.2474__1.2474	40518__R5DLJ7__lytR_4
ERR1913154.2826__1.2826	853__A0A173XRA8__CGS56_09290
ERR1913154.2937__1.2937	853__A0A173YYY4__DWZ04_09420
ERR1913154.2943__1.2943	823__D7ILK2__ERS852380_00031
ERR1913154.2886__1.2886	28111__E5WZI1__BACEGG_01444
ERR1913154.3075__1.3075	821__A0A174WBC9__ERS852556_03145
ERR1913154.3239__1.3239	394340__ddhA_1
ERR1913154.3382__1.3382	46503__B7B776__DXB85_00355
ERR1913154.3520__1.3520	33043__A8SWZ6__ERS852386_02582
ERR1913154.3583__1.3583	853__A0A173T751__C4N24_10280
ERR1913154.3748__1.3748	28111__R5K222__bglX_7
ERR1913154.4148__1.4148	33043__A0A173YEP6__ERS852575_00888
ERR1913154.4233__1.4233	40518__R5DW64__RBL236_01394
ERR1913154.4208__1.4208	40518__R5DX17__DXD86_01230
ERR1913154.4450__1.4450	100886__A0A174LEG5__ERS852383_05606
ERR1913154.4475__1.4475	46503__R6X5W5__HMPREF1078_03156
ERR1913154.4485__1.4485	216816__D6DAZ0__DXD28_02040
ERR1913154.4648__1.4648	360807__C0FT10__ROSEINA2194_01877
ERR1913154.4735__1.4735	360807__A0A1Q6TDQ5__ROSEINA2194_04225
ERR1913154.4702__1.4702	1262886__R6QGP2__BN563_00323
ERR1913154.4810__1.4810	40518__R5DXH2__DXD83_10135
ERR1913154.4858__1.4858	100886__A0A174GLQ1__ERS852383_03653
ERR1913154.4895__1.4895	820__A0A3E4PYB0__yejM
ERR1913154.5034__1.5034	40518__R5DLM5__RB5AMG_00422
ERR1913154.5286__1.5286	821__A0A0P0M2J4__DXD46_10295
ERR1913154.5425__1.5425	823__A6L9D3__ERS852560_03374
ERR1913154.5476__1.5476	1262886__R6Q892__BN563_01001
ERR1913154.5494__1.5494	28111__E5WWI8__HMPREF1016_01036
ERR1913154.5578__1.5578	823__A6LB62__B5F32_04550
ERR1913154.5724__1.5724	100886__A0A174K7J5__ybbH_3
ERR1913154.5738__1.5738	820__A0A139K5A6__DXB48_12175
ERR1913154.5806__1.5806	40518__R5DTJ1__DXD86_03635
ERR1913154.5777__1.5777	458033__GCA_001482755.1_02203
ERR1913154.5865__1.5865	39486__R6S7Q3__DXD84_03220
ERR1913154.6080__1.6080	823__A6LER2__ERS852513_00365
ERR1913154.6188__1.6188	820__A0A139K4W5__HMPREF2141_02394
ERR1913154.6234__1.6234	46228__V8C4T8__RUMLAC_02058
ERR1913154.6314__1.6314	626932__G5H8X3__HMPREF9450_02059
ERR1913154.6315__1.6315	387090__S0F8B2__BACCOPRO_02129
ERR1913154.6607__1.6607	301302__A0A173T010__M72_26571
ERR1913154.6538__1.6538	1628085__A0A1C6AZZ4__C7386_101481
ERR1913154.6581__1.6581	820__A0A3E4RU03__M093_0563
ERR1913154.6587__1.6587	820__A0A1T4IYF4__mprA_1
ERR1913154.6622__1.6622	47678__R5U8Y1__BACCAC_02615
ERR1913154.6728__1.6728	116085__D4JAK3__DW747_10755
ERR1913154.6710__1.6710	100886__E2NNL4__yihX_2
ERR1913154.7110__1.7110	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913154.7208__1.7208	1262924__R7HQN1__BN585_00550
ERR1913154.7587__1.7587	454154__G5SPR9__HMPREF9441_01352
ERR1913154.7685__1.7685	33043__D5HI09__ERS852575_02656
ERR1913154.7696__1.7696	301302__A0A173UN64__manA_2
ERR1913154.7787__1.7787	360807__A0A396AK01__RIL183_20461
ERR1913154.7731__1.7731	39491__A0A395ZDC6__addB
ERR1913154.7906__1.7906	239935__A0A2N8I693__CXU17_08410
ERR1913154.8095__1.8095	1262886__R6QMR0__BN563_00320
ERR1913154.8200__1.8200	387090__S0F8B2__BACCOPRO_02129
ERR1913154.8590__1.8590	410072__A0A173XQG6__ERS852574_01620
ERR1913154.8623__1.8623	39491__A0A395V297__EUR_01010
ERR1913154.8763__1.8763	821__I9R3W6__DXC16_12455
ERR1913154.8803__1.8803	28117__R7JPX7__BHV66_00900
ERR1913154.8938__1.8938	28111__E5WZI1__BACEGG_01444
ERR1913154.9048__1.9048	39490__U2PBV8__ERS852448_00639
ERR1913154.9020__1.9020	1150298__R7JXH6__mecR1
ERR1913154.9036__1.9036	301302__A0A173TEJ2__M72_09031
ERR1913154.9109__1.9109	28117__B0MZ14__ALIPUT_02383
ERR1913154.9283__1.9283	301302__R5VFU2__xynA1
ERR1913154.9650__1.9650	821__A0A395UNT8__DXD64_15275
ERR1913154.9743__1.9743	820__A0A174QT76__B5G17_18060
ERR1913154.9813__1.9813	823__A0A174WTX5__DD466_11965
ERR1913154.9977__1.9977	1150298__R7JPI7__cotI
ERR1913154.10083__1.10083	39486__B0G786__HMPREF9457_01971
ERR1913154.10018__1.10018	820__A0A3E4RTP0__C801_01067
ERR1913154.10330__1.10330	40518__R5DW64__RBL236_01394
ERR1913154.10646__1.10646	487174__K0XG81__HMPREF9448_02274
ERR1913154.10674__1.10674	40518__R5DP21__RBATCC27255_00348
ERR1913154.10710__1.10710	40518__R5DYF6__RBL263_01812
ERR1913154.10799__1.10799	1262924__R7HT26__BN585_00306
ERR1913154.10834__1.10834	1262924__R7HQD4__BN585_02072
ERR1913154.10847__1.10847	28116__I9TDA4__BACOV975_03134
ERR1913154.10890__1.10890	823__A0A174DZM1__DDY96_10310
ERR1913154.10913__1.10913	40518__R5E4X1__DXD93_05270
ERR1913154.11060__1.11060	166486__D4KW49__ROSINTL182_07746
ERR1913154.10998__1.10998	820__A0A1T4IY71__HMPREF2141_02402
ERR1913154.11201__1.11201	1628085__A0A396QDP9__C7386_103201
ERR1913154.11382__1.11382	301302__R5VF67__M72_01841
ERR1913154.11393__1.11393	1897011__A0A1Q6RE52__BHW41_04690
ERR1913154.11566__1.11566	28118__A0A3D4ZFP4__DHW44_00270
ERR1913154.11667__1.11667	39491__A0A395V1Y4__DXB99_08035
ERR1913154.12101__1.12101	1680__R5GR82__AD0028_0014
ERR1913154.12136__1.12136	821__A0A396F598__CUU_3259
ERR1913154.12396__1.12396	1150298__R7JUS2__ERS852498_02193
ERR1913154.12535__1.12535	821__E5UY21__C800_02204
ERR1913154.12545__1.12545	301302__A0A173T248__M72_19091
ERR1913154.12617__1.12617	28117__R7JJM9__ALIPUT_00662
ERR1913154.12623__1.12623	28117__B0MU57__ALIPUT_00175
ERR1913154.12711__1.12711	1150298__A0A174LKY6__ERS852535_00447
ERR1913154.12816__1.12816	216816__A0A396FRQ5__DD678_01245
ERR1913154.12887__1.12887	40518__R5DU92__DXD93_03170
ERR1913154.13022__1.13022	1262882__R5MKX3__BN519_00395
ERR1913154.13270__1.13270	40518__R5DVH6__DXD86_08955
ERR1913154.13433__1.13433	1262911__R6HNT6__BN557_01082
ERR1913154.13439__1.13439	820__R9I3N4__M093_0061
ERR1913154.13511__1.13511	39491__A0A395UWZ1__DXC13_02175
ERR1913154.13624__1.13624	40518__R5E5I9__yvhJ_2
ERR1913154.13680__1.13680	28117__B0MXG8__ALIPUT_01814
ERR1913154.13827__1.13827	28111__E5X3F5__BACEGG_02868
ERR1913154.13858__1.13858	301302__A0A173TZN3__M72_00321
ERR1913154.13953__1.13953	33043__A0A173X520__ERS852575_01617
ERR1913154.14079__1.14079	40518__R5DZ88__DXD93_06320
ERR1913154.14126__1.14126	301302__R5UMB9__M72_25011
ERR1913154.14130__1.14130	1262911__R6H212__BN557_01031
ERR1913154.14151__1.14151	301302__R5UQW7__ERS852420_02102
ERR1913154.14264__1.14264	820__A0A173YYG4__evgS_3
ERR1913154.14225__1.14225	2292352__A0A374UKS3__DXC23_09270
ERR1913154.14323__1.14323	40518__R5DZB1__DXD83_08840
