ERR1913226.15__1.15	46228__V8BM45__DXD17_14355
ERR1913226.112__1.112	28118__R6F6F1__B5F93_10805
ERR1913226.295__1.295	820__A0A139K0J1__HMPREF2141_03205
ERR1913226.204__1.204	2293125__A0A374BRB6__DW917_13815
ERR1913226.461__1.461	487174__K0XH97__HMPREF9448_01909
ERR1913226.768__1.768	1262911__R6GPB1__BN557_00837
ERR1913226.896__1.896	1262777__R5WDV0__BN512_00124
ERR1913226.855__1.855	1262911__R6H2J2__BN557_01228
ERR1913226.963__1.963	28116__A0A078QF71__HMPREF1070_01231
ERR1913226.994__1.994	820__A0A174QT76__B5G17_18060
ERR1913226.998__1.998	1501391__GCA_000786575.1_00120
ERR1913226.1175__1.1175	853__A0A2A7B9I6__DW855_13690
ERR1913226.1177__1.1177	1262783__R6CWS8__BN558_01039
ERR1913226.1354__1.1354	820__A0A139KIL9__DXC68_05945
ERR1913226.1613__1.1613	2293125__A0A374BRB6__DW917_13815
ERR1913226.1758__1.1758	410072__C0BC63__ERS852525_02815
ERR1913226.1887__1.1887	1262911__R6GN33__BN557_00616
ERR1913226.2177__1.2177	821__E5UMZ6__BVU_1450
ERR1913226.2260__1.2260	853__A0A2A7B1Y7__C7K05_11930
ERR1913226.2122__1.2122	2293125__A0A374BIB7__DW917_16550
ERR1913226.2421__1.2421	301301__A0A395V9S1__RHOM_03365
ERR1913226.2400__1.2400	165179__A0A3E5AHY4__CFT61_07675
ERR1913226.2551__1.2551	2293125__A0A374CFU2__DW917_03475
ERR1913226.2675__1.2675	47678__R5UER2__CGC64_00710
ERR1913226.2990__1.2990	39485__C4Z467__ERS852490_01684
ERR1913226.3065__1.3065	39491__A0A395UZ82__EUR_31520
ERR1913226.3210__1.3210	40520__R7D3S9__DXD81_14140
ERR1913226.3354__1.3354	28116__I9TDA4__BACOV975_03134
ERR1913226.3737__1.3737	1262944__R7IRM7__BN596_02134
ERR1913226.3780__1.3780	2293125__A0A374CIC9__DW917_02045
ERR1913226.3840__1.3840	1262761__R6R4V4__BN606_00113
ERR1913226.3943__1.3943	1262992__R5DC96__BN795_01524
ERR1913226.3944__1.3944	39485__A0A174ZA72__glgB_1
ERR1913226.3955__1.3955	1262736__R5YHF2__BN496_00766
ERR1913226.4020__1.4020	214856__A0A173ZQY0__ERS852559_00007
ERR1913226.4118__1.4118	1262911__R6HHR1__BN557_01622
ERR1913226.4148__1.4148	39485__A0A174YTF7__ERS852490_01271
ERR1913226.4236__1.4236	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913226.4224__1.4224	106588__A6NUL8__BACCAP_01900
ERR1913226.4637__1.4637	1262992__R5DC38__BN795_00276
ERR1913226.4735__1.4735	820__A0A3E4XM43__DXC91_13960
ERR1913226.4758__1.4758	2293125__A0A374BSW4__DW917_13420
ERR1913226.4770__1.4770	853__A0A1Q6QQK2__FAEPRAA2165_01190
