ERR1913207.106__1.106	39492__D4JSU6__dacB_3
ERR1913207.158__1.158	1099853__U5CNF1__NSB1T_01130
ERR1913207.200__1.200	821__D4VD59__BHV80_04260
ERR1913207.221__1.221	487174__K0XL35__DDY40_11955
ERR1913207.367__1.367	820__A0A3E4W7J3__DXC07_00330
ERR1913207.318__1.318	1262743__R5C054__BN727_01980
ERR1913207.529__1.529	1501391__GCA_000786575.1_00036
ERR1913207.670__1.670	246787__A0A0P0GG59__BcellWH2_02752
ERR1913207.745__1.745	821__A0A174JYD3__ERS852457_02610
ERR1913207.864__1.864	821__A0A397WGD6__M098_0084
ERR1913207.993__1.993	818__Q8A5L6__BT_2223
ERR1913207.1156__1.1156	239935__A0A2N8HZZ2__CXU19_04895
ERR1913207.1188__1.1188	333367__C0D7C8__CLOSTASPAR_05175
ERR1913207.1339__1.1339	818__A0A139K7W4__ERS852511_00771
ERR1913207.1347__1.1347	821__A0A174WBC9__ERS852556_03145
ERR1913207.1605__1.1605	821__C3RB94__DXC03_15585
ERR1913207.1699__1.1699	239935__A0A2N8I5A2__DEF40_08455
ERR1913207.1841__1.1841	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913207.1845__1.1845	821__E5UPR6__SAMN04487923_101768
ERR1913207.1924__1.1924	821__A0A174RA14__M099_1655
ERR1913207.2311__1.2311	239935__A0A139TPU7__CXT91_06575
ERR1913207.2356__1.2356	1796613__A0A1C7H1N7__A4V03_09065
ERR1913207.2569__1.2569	2049043__A0A316MX28__DBY37_04480
ERR1913207.3008__1.3008	823__A0A355XKR1__DHP27_04035
ERR1913207.3061__1.3061	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913207.3018__1.3018	292800__A0A174INS4__A4U99_00240
ERR1913207.3162__1.3162	820__A0A139K8N1__ERS852554_00951
ERR1913207.3165__1.3165	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913207.3331__1.3331	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913207.3413__1.3413	154046__A0A174JMY4__DXC39_09645
ERR1913207.3511__1.3511	28116__E5CCI2__M089_3437
ERR1913207.3532__1.3532	820__R9HXK9__DXB62_08265
ERR1913207.3507__1.3507	1262989__R6YC95__BN815_00996
ERR1913207.3679__1.3679	820__A0A3E4XDK3__ERS852554_03650
ERR1913207.3782__1.3782	333367__C0D947__CLOSTASPAR_05796
ERR1913207.4247__1.4247	1547__G9R3D4__DW242_02685
ERR1913207.4477__1.4477	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913207.4506__1.4506	214856__A0A174A1J3__ERS852447_01000
ERR1913207.4655__1.4655	1262989__R6YEN7__BN815_00483
ERR1913207.4698__1.4698	28117__B0MWP2__ALIPUT_01468
ERR1913207.4707__1.4707	820__A0A396EUU8__luxQ_3
ERR1913207.5039__1.5039	29361__B6FKH5__CLONEX_00621
ERR1913207.5094__1.5094	820__A0A139KG04__ERS852459_01249
ERR1913207.5130__1.5130	214856__R6Y6H8__ERS852447_01719
ERR1913207.5194__1.5194	28117__B0MXR4__BHV66_08025
ERR1913207.5256__1.5256	28117__B0MXR4__BHV66_08025
ERR1913207.5466__1.5466	214856__R6YC22__ERS852447_01215
ERR1913207.5634__1.5634	820__A0A374Q351__DXD40_05850
ERR1913207.5638__1.5638	818__A0A3E5GY47__SAMN02910322_02002
ERR1913207.5954__1.5954	820__R9I2U8__DXC68_09590
ERR1913207.6094__1.6094	818__A0A1H7K3G1__BSIG_3067
ERR1913207.6190__1.6190	818__A0A0P0FLV3__ERS852430_01650
ERR1913207.6221__1.6221	239935__A0A2N8IQ67__CXU20_08505
ERR1913207.6462__1.6462	239935__A0A2N8HB50__CXU17_02615
