ERR1913264.104__1.104	487174__K0X079__DIT83_00640
ERR1913264.106__1.106	1262933__R7P835__BN736_01586
ERR1913264.141__1.141	1262980__R5C0H7__BN814_00054
ERR1913264.168__1.168	106588__A6P303__BACCAP_04887
ERR1913264.271__1.271	39491__A0A174K9A3__DXB69_07785
ERR1913264.442__1.442	39491__A0A0M6WNS5__DXC13_02015
ERR1913264.507__1.507	39491__A0A396FIZ8__ERE_20410
ERR1913264.609__1.609	1150298__A0A174I2L4__ERS852535_01377
ERR1913264.793__1.793	333367__C0DBH4__CLOSTASPAR_06629
ERR1913264.802__1.802	1501391__GCA_000786575.1_00055
ERR1913264.829__1.829	1501391__GCA_000786575.1_00113
ERR1913264.954__1.954	39491__A0A173QT73__alaS_2
ERR1913264.983__1.983	1262922__R6EDI1__BN487_01092
ERR1913264.1064__1.1064	2108523__A0A2P2FDD9__LAWASA_4026
ERR1913264.1160__1.1160	28118__F9ZCN2__DF785_09230
ERR1913264.1409__1.1409	357276__A0A076ISJ4__B5F95_19420
ERR1913264.1538__1.1538	1501391__GCA_000786575.1_00141
ERR1913264.1607__1.1607	2137880__A0A316NL05__DBY21_08725
ERR1913264.1692__1.1692	1262922__R6EF96__BN487_01418
ERR1913264.1956__1.1956	39491__A0A395ZGE4__ERS852497_01269
ERR1913264.2011__1.2011	487174__K0X4F7__DDY40_08055
ERR1913264.2090__1.2090	28117__B0N028__BHV66_05935
ERR1913264.2110__1.2110	214856__A0A175A6T5__ERS852447_02658
ERR1913264.2303__1.2303	39492__D4JSS2__EUBSIR_00553
ERR1913264.2563__1.2563	291645__I9SFD1__HMPREF1068_00354
ERR1913264.2577__1.2577	39491__A0A395ZBQ4__cph2_2
ERR1913264.2923__1.2923	28117__B0MYW7__ALIPUT_02336
ERR1913264.2972__1.2972	1262922__R6EVQ0__BN487_00762
ERR1913264.3076__1.3076	1262922__R6EA90__BN487_00523
ERR1913264.3450__1.3450	1262922__R6E290__BN487_01114
ERR1913264.3516__1.3516	823__D0TC25__B5F32_04575
ERR1913264.3548__1.3548	823__A0A355XLH0__fepA_1
ERR1913264.3938__1.3938	39491__A0A395ZHW3__ERS852417_01359
ERR1913264.4004__1.4004	39491__A0A395UZ82__EUR_31520
ERR1913264.4273__1.4273	1262922__R6E195__BN487_00989
ERR1913264.4431__1.4431	1965555__A0A1Y4RZU4__B5E77_16430
ERR1913264.4564__1.4564	823__A0A395YRW4__DD466_15895
ERR1913264.4647__1.4647	39491__A0A173QT73__alaS_2
ERR1913264.4695__1.4695	1262933__R7P835__BN736_01586
ERR1913264.5026__1.5026	39491__A0A395UWZ1__DXC13_02175
ERR1913264.5160__1.5160	28117__B0MWX3__BHV66_03010
ERR1913264.5353__1.5353	853__E2ZGD9__C7J97_11715
ERR1913264.5457__1.5457	39491__A0A173VYV1__DXC13_02710
ERR1913264.5785__1.5785	39491__A0A396FP46__cobD_2
ERR1913264.5936__1.5936	1150298__R7JT16__ERS852498_00500
ERR1913264.6023__1.6023	1262922__R6ETB6__BN487_00396
ERR1913264.5982__1.5982	28117__B0MYW7__ALIPUT_02336
ERR1913264.5984__1.5984	28117__B0MXU6__ALIPUT_01958
ERR1913264.6117__1.6117	1262933__R7P8L6__BN736_01776
ERR1913264.6173__1.6173	1262933__R7P6J9__BN736_01125
ERR1913264.6143__1.6143	1262922__R6EXS9__BN487_01090
ERR1913264.6196__1.6196	39491__A0A395ZEI6__ERE_07950
ERR1913264.6202__1.6202	28117__B0MXD0__ALIPUT_01669
ERR1913264.6215__1.6215	853__A0A173RZ39__C4N22_01650
ERR1913264.6390__1.6390	39491__A0A173U130__ERE_16110
ERR1913264.6596__1.6596	1150298__A0A174S2H3__spoIIQ
ERR1913264.6874__1.6874	40518__R5DSI5__fieF
ERR1913264.6944__1.6944	1160721__W0U3K9__BHW50_11040
ERR1913264.6947__1.6947	1262945__R6Z392__BN600_01644
ERR1913264.6964__1.6964	39491__A0A395ZDC6__addB
ERR1913264.7041__1.7041	328813__A0A1Y3QQL4__B5G41_13930
ERR1913264.7119__1.7119	360807__C0G081__ERS852444_03377
ERR1913264.7256__1.7256	1263000__R5EPJ2__BN466_00954
ERR1913264.7425__1.7425	1965646__A0A1Y3W8D6__B5G10_11445
ERR1913264.7525__1.7525	853__R6QDR1__C4N27_08170
ERR1913264.7596__1.7596	1550024__A0A3B9WIA4__TQ39_14495
ERR1913264.7600__1.7600	28117__R7JPX7__BHV66_00900
ERR1913264.7800__1.7800	39491__A0A174LTW7__DXD13_08720
ERR1913264.8001__1.8001	1262922__R6E219__BN487_00678
ERR1913264.8228__1.8228	39491__C4ZAT2__ERE_28440
ERR1913264.8241__1.8241	39491__C4Z8S1__DXB76_06750
ERR1913264.8275__1.8275	1150298__R7JMX3__ERS852498_00681
ERR1913264.8436__1.8436	821__A0A174AYT0__DXC02_03530
ERR1913264.8570__1.8570	39491__A0A396FSR4__ERS852580_02287
ERR1913264.8792__1.8792	1262922__R6E290__BN487_01114
ERR1913264.8739__1.8739	39491__C4ZAT2__ERE_28440
ERR1913264.8914__1.8914	39491__A0A395UZ82__EUR_31520
ERR1913264.9025__1.9025	2108523__A0A2P2FDD9__LAWASA_4026
ERR1913264.9016__1.9016	39491__A0A395ZHW3__ERS852417_01359
ERR1913264.9161__1.9161	1262889__R7HEJ5__BN634_01091
ERR1913264.9274__1.9274	39485__A0A174Z1A6__EUBELI_00220
ERR1913264.9283__1.9283	1150298__A0A174TF64__ERS852406_00108
ERR1913264.9348__1.9348	823__A0A174U5E4__BDI_3390
ERR1913264.9403__1.9403	1262922__R6E0Y8__BN487_00893
ERR1913264.9775__1.9775	329854__R5M6V9__DXD27_20125
ERR1913264.10043__1.10043	360807__A0A0M6X184__ERS852392_03203
ERR1913264.10009__1.10009	39491__D6E118__DXB69_05765
ERR1913264.10160__1.10160	39491__A0A396FGM9__fliU_1
ERR1913264.10598__1.10598	39491__C4ZCV5__DXB99_11855
ERR1913264.10732__1.10732	853__A8S882__C4N23_07600
ERR1913264.10809__1.10809	1262922__R6E5U1__BN487_01344
ERR1913264.10865__1.10865	39491__A0A395UVM9__DXB76_04540
ERR1913264.10934__1.10934	39491__A0A174LTW7__DXD13_08720
ERR1913264.11012__1.11012	39492__D4MIX3__ERS852540_01230
ERR1913264.11354__1.11354	1262922__R6DZZ7__BN487_00771
ERR1913264.11664__1.11664	1262922__R6EF32__BN487_01642
ERR1913264.11672__1.11672	39491__A0A3E4YFT8__DXB69_10940
ERR1913264.11915__1.11915	1262824__R6RZ30__BN719_01688
ERR1913264.11968__1.11968	47678__R5U2W6__CGC64_03455
ERR1913264.12119__1.12119	1262743__R5C054__BN727_01980
ERR1913264.12140__1.12140	1965586__A0A1Y4HM59__B5F34_07730
ERR1913264.12203__1.12203	2108523__A0A2P2FCM2__LAWASA_3816
ERR1913264.12361__1.12361	39491__A0A174G6M3__DXD13_14470
ERR1913264.12506__1.12506	823__A0A078SYK6__DXB14_02485
ERR1913264.12631__1.12631	39491__A0A173U0X0__DXB72_05865
ERR1913264.12643__1.12643	1262922__R6EVQ0__BN487_00762
ERR1913264.12791__1.12791	1262922__R6E5W2__BN487_01361
ERR1913264.12968__1.12968	1262922__R6E8V3__BN487_01763
ERR1913264.13159__1.13159	853__E2ZJT1__C4N23_03535
ERR1913264.13309__1.13309	823__A6LER2__ERS852513_00365
ERR1913264.13355__1.13355	823__D7ILK2__ERS852380_00031
ERR1913264.13469__1.13469	358743__A0A0F0C9H3__HMPREF9470_01816
ERR1913264.13667__1.13667	39491__D4JMW8__ERS852497_01971
ERR1913264.13669__1.13669	28117__B0MY82__BHV66_04755
ERR1913264.13958__1.13958	46503__R6X5W5__HMPREF1078_03156
ERR1913264.14147__1.14147	39491__A0A173VH71__ERS852497_01827
ERR1913264.14268__1.14268	28117__B0MYW5__ALIPUT_02334
ERR1913264.14275__1.14275	1262922__R6E0Y8__BN487_00893
ERR1913264.14427__1.14427	28117__B0N028__BHV66_05935
ERR1913264.14437__1.14437	1262922__R6EVQ0__BN487_00762
ERR1913264.14986__1.14986	1849041__A0A3E2T6C0__DW086_01760
ERR1913264.15000__1.15000	1262922__R6EEP0__BN487_01314
ERR1913264.15038__1.15038	1262933__R7PAB6__BN736_01773
ERR1913264.15081__1.15081	214856__E4MFP6__ERS852447_01708
ERR1913264.15172__1.15172	160404__A0A1M6U3W9__B5G26_13545
ERR1913264.15271__1.15271	28117__B0MUL5__ALIPUT_00722
ERR1913264.15531__1.15531	1150298__A0A174DU21__toxA_3
ERR1913264.16092__1.16092	328814__GCA_004558275.1_00066
ERR1913264.16109__1.16109	1550024__A0A0D8J3J4__TQ39_01275
ERR1913264.16253__1.16253	821__A0A397WGD6__M098_0084
ERR1913264.16223__1.16223	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913264.16154__1.16154	44742__A0A120KNE2__AXF13_12405
ERR1913264.16742__1.16742	823__A0A174VHT1__DHP27_04775
ERR1913264.16689__1.16689	1501391__GCA_000786575.1_00024
ERR1913264.16702__1.16702	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913264.16988__1.16988	39491__D4JIB6__ERS852417_01685
ERR1913264.17089__1.17089	39485__A0A174ZUV1__tig_3
ERR1913264.17098__1.17098	328814__GCA_004558275.1_01620
ERR1913264.17108__1.17108	28116__D7K7K3__SAMN05192581_103348
ERR1913264.17290__1.17290	1501391__GCA_000786575.1_00091
ERR1913264.17441__1.17441	471189__GCA_003340385.1_00464
ERR1913264.17754__1.17754	823__A0A355XN73__DXC05_07000
ERR1913264.18055__1.18055	1262933__R7P835__BN736_01586
ERR1913264.18320__1.18320	39491__A0A396FRK0__ERS852417_00541
ERR1913264.18412__1.18412	853__A0A174BZY1__xerD_1
ERR1913264.18413__1.18413	29361__B6FRT6__CLONEX_02860
ERR1913264.18531__1.18531	821__A0A0P0M6M0__M097_4734
ERR1913264.18660__1.18660	28117__R7JPX7__BHV66_00900
ERR1913264.18707__1.18707	1550024__G9RW08__ASJ35_03155
ERR1913264.18785__1.18785	39483__D4JEJ7__B5F14_03220
ERR1913264.18993__1.18993	1262922__R6E5Q5__BN487_01326
ERR1913264.19069__1.19069	1262933__R7PDJ8__BN736_00265
ERR1913264.19083__1.19083	1584__Q1GAN0__LBU_0693
ERR1913264.19104__1.19104	28117__B0MU76__ALIPUT_00202
ERR1913264.19108__1.19108	1262922__R6F2R2__BN487_01821
ERR1913264.19200__1.19200	39491__A0A395UXH0__EUBREC_0021
ERR1913264.19258__1.19258	39491__D6E118__DXB69_05765
