ERR1913163.20__1.20	47678__R5UU99__C5Z00_11925
ERR1913163.222__1.222	820__A0A139K5E7__DXC68_09550
ERR1913163.274__1.274	1262924__R7HQB7__BN585_02057
ERR1913163.591__1.591	28111__E5WUU3__HMPREF1016_00520
ERR1913163.910__1.910	28111__R5K5X6__NCTC11155_02508
ERR1913163.846__1.846	544644__GCA_001915615.1_00029
ERR1913163.1035__1.1035	820__A0A139K5A6__DXB48_12175
ERR1913163.1040__1.1040	818__A0A3E5HN77__HMPREF2534_00072
ERR1913163.1118__1.1118	820__A0A3E5E0T0__ERS852554_00312
ERR1913163.1176__1.1176	1550024__G9RTA6__TQ39_10970
ERR1913163.1293__1.1293	28111__E5WZE2__NCTC11155_00550
ERR1913163.1238__1.1238	28111__E5X119__NCTC11155_02426
ERR1913163.1313__1.1313	821__A0A396F9T7__M097_3427
ERR1913163.1347__1.1347	820__A7UYX8__DXD40_11635
ERR1913163.1654__1.1654	818__A0A0P0FPQ9__BT_4391
ERR1913163.1684__1.1684	820__A7VAS1__HMPREF2141_03259
ERR1913163.1694__1.1694	818__A0A3E5HNR9__BSIG_1712
ERR1913163.1747__1.1747	47678__R5UWN2__BACCAC_01649
ERR1913163.1953__1.1953	511969__GeneID:3959334
ERR1913163.1960__1.1960	28111__E5WYC1__BACEGG_00354
ERR1913163.2036__1.2036	28111__E5WYP5__BACEGG_00185
ERR1913163.2102__1.2102	292800__A0A174S8Y1__A4U99_06200
ERR1913163.2359__1.2359	1262924__R7HST1__BN585_00215
ERR1913163.2420__1.2420	544644__GCA_001915615.1_01058
ERR1913163.2550__1.2550	820__A0A174F0C1__nreB
ERR1913163.2581__1.2581	745368__A0A1T4XS74__SAMN02745178_02179
ERR1913163.2584__1.2584	511969__GeneID:3959334
ERR1913163.2678__1.2678	818__A0A3E5HNR9__BSIG_1712
ERR1913163.2797__1.2797	1660__U1QQA9__NCTC9935_00302
ERR1913163.2832__1.2832	821__E5UY21__C800_02204
ERR1913163.2813__1.2813	2014542__A0A220SSC6__CEK62_19860
ERR1913163.2923__1.2923	357276__B6VYT9__HMPREF1063_05030
ERR1913163.2926__1.2926	28111__E5WUE9__NCTC11155_01729
ERR1913163.3036__1.3036	69974__A0A090FEL8__MPL3365_630008
ERR1913163.3052__1.3052	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913163.3179__1.3179	821__U6RDC2__DXD46_15675
ERR1913163.3221__1.3221	292800__A0A174UQD2__B5F52_18205
ERR1913163.3252__1.3252	821__A0A396F9T7__M097_3427
ERR1913163.3511__1.3511	28111__R5K5Y0__NCTC11155_03071
ERR1913163.3524__1.3524	28111__E5WYY8__HMPREF1016_01893
ERR1913163.3631__1.3631	204516__U6RAM4__HMPREF1534_03439
ERR1913163.3698__1.3698	28116__A0A1Y4PH15__DXA80_17985
ERR1913163.3868__1.3868	28111__R5K5Y3__BACEGG_03205
ERR1913163.4041__1.4041	821__A0A3E4HP25__SAMN04487923_102450
ERR1913163.4217__1.4217	821__A0A3E4KIM1__M097_3660
ERR1913163.4272__1.4272	28116__A0A1Y4PI93__HMPREF1069_03456
ERR1913163.4322__1.4322	821__A0A396F598__CUU_3259
ERR1913163.4782__1.4782	28111__E5WUE9__NCTC11155_01729
ERR1913163.4959__1.4959	821__A0A174MBW9__SAMN04487923_10272
ERR1913163.5115__1.5115	39490__A0A173RJD5__LG34_09730
ERR1913163.5100__1.5100	28116__F7L4N5__BACOVA_00137
ERR1913163.5067__1.5067	371601__C3QR34__DXD03_22980
ERR1913163.5156__1.5156	214856__R6YD52__ERS852447_02171
ERR1913163.5217__1.5217	821__E5UMZ6__BVU_1450
ERR1913163.5346__1.5346	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913163.5484__1.5484	820__A0A173WUD7__DXB48_08055
ERR1913163.5428__1.5428	328812__A0A0F5JBF9__C803_05558
ERR1913163.5531__1.5531	1112008__GeneID:2777605
ERR1913163.5537__1.5537	374844__GeneID:1260912
ERR1913163.5700__1.5700	820__A7UYX8__DXD40_11635
ERR1913163.5892__1.5892	821__A0A3E4XY72__NCTC10583_01067
ERR1913163.6048__1.6048	820__A0A173YYG4__evgS_3
ERR1913163.6206__1.6206	820__A7UYX8__DXD40_11635
ERR1913163.6253__1.6253	28111__E5WVR8__NCTC11155_02792
ERR1913163.6327__1.6327	28111__R5JSC9__HMPREF1016_01677
ERR1913163.6384__1.6384	28111__R5JPB6__NCTC11155_02514
ERR1913163.6762__1.6762	28111__R5K2I8__HMPREF1016_03182
ERR1913163.6740__1.6740	33039__D4M149__ERS852390_03118
ERR1913163.6955__1.6955	820__R9I3N4__M093_0061
ERR1913163.6972__1.6972	820__A0A1Q6IDS8__chtA
ERR1913163.6896__1.6896	544644__GCA_001915615.1_02092
ERR1913163.7033__1.7033	28111__E5X120__NCTC11155_02427
ERR1913163.7107__1.7107	820__A7V9F9__B5G17_14640
ERR1913163.7277__1.7277	1550024__A0A3B9WJZ9__TQ39_02585
ERR1913163.7364__1.7364	28111__E5WUX1__HMPREF1016_00548
ERR1913163.7505__1.7505	28111__E5WUE9__NCTC11155_01729
ERR1913163.7527__1.7527	28111__E5WUX1__HMPREF1016_00548
ERR1913163.7565__1.7565	28111__E5X237__NCTC11155_00628
ERR1913163.7567__1.7567	1550024__A0A0W7TR84__TQ39_05305
ERR1913163.7600__1.7600	387090__S0F7Y3__BACCOPRO_02028
ERR1913163.7662__1.7662	47678__R5USR9__HMPREF1061_01404
ERR1913163.7801__1.7801	28116__D4WPD7__HMPREF1069_02183
ERR1913163.7838__1.7838	821__U6RDC2__DXD46_15675
ERR1913163.7887__1.7887	28111__E5X123__BACEGG_03115
ERR1913163.7902__1.7902	820__A0A139K1Y6__DXB48_02610
ERR1913163.7963__1.7963	1550024__G9RX51__TQ39_04720
ERR1913163.7856__1.7856	818__R7KZF1__C5Z03_07410
ERR1913163.8150__1.8150	820__A0A173XIP7__B5G17_16050
ERR1913163.8352__1.8352	28111__E5WTU8__BACEGG_01922
ERR1913163.8422__1.8422	28111__E5WYC1__BACEGG_00354
ERR1913163.8563__1.8563	821__R7P1Q7__M099_2990
ERR1913163.8781__1.8781	823__A0A174XJM9__CEQ22_007230
ERR1913163.8784__1.8784	1550024__A0A3B9WJ68__TQ39_07150
ERR1913163.8838__1.8838	821__R7P1Q7__M099_2990
ERR1913163.8808__1.8808	28111__R5K222__bglX_7
ERR1913163.8922__1.8922	821__A0A3E4KIM1__M097_3660
ERR1913163.9036__1.9036	820__A0A3E4W084__BACUNI_04042
ERR1913163.9479__1.9479	28111__R5JSC9__HMPREF1016_01677
ERR1913163.9541__1.9541	214856__I3YPP0__ERS852447_01388
ERR1913163.9702__1.9702	544644__GCA_001915615.1_00365
ERR1913163.9827__1.9827	28111__E5WYC3__NCTC11155_03517
ERR1913163.10017__1.10017	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913163.10143__1.10143	821__A6L0C7__ERS852556_03520
ERR1913163.10168__1.10168	47678__A5ZBL9__C5Z00_18710
ERR1913163.10197__1.10197	28111__R5K5X6__NCTC11155_02508
ERR1913163.10609__1.10609	853__A0A2A7B1Y7__C7K05_11930
ERR1913163.10779__1.10779	46506__S3YVT5__BACSTE_02352
ERR1913163.10829__1.10829	214856__A0A174ZZS1__ERS852559_01484
ERR1913163.10855__1.10855	214856__R6XS46__ERS852559_00812
ERR1913163.10884__1.10884	214856__I3YPP0__ERS852447_01388
ERR1913163.10995__1.10995	1262746__R5SS80__BN750_02125
ERR1913163.10999__1.10999	820__A0A396EUV1__B5G17_06465
ERR1913163.11009__1.11009	28111__R5K222__bglX_7
ERR1913163.11012__1.11012	821__A0A3E4XY72__NCTC10583_01067
ERR1913163.11023__1.11023	820__A0A173YYG4__evgS_3
ERR1913163.11164__1.11164	821__A0A3E4KIM1__M097_3660
ERR1913163.11171__1.11171	820__A7UYX8__DXD40_11635
ERR1913163.11191__1.11191	1550024__G9RT62__ASJ35_10800
ERR1913163.11208__1.11208	28111__R5K222__bglX_7
ERR1913163.11331__1.11331	1112008__GeneID:2777663
ERR1913163.11597__1.11597	291645__I8XUJ3__HMPREF1068_00298
ERR1913163.11706__1.11706	10726__GeneID:2777589
ERR1913163.11976__1.11976	823__A0A355XJ56__DDY96_07685
ERR1913163.12161__1.12161	820__A0A139K1Y6__DXB48_02610
ERR1913163.12550__1.12550	214856__I3YPI7__pepD_1
ERR1913163.12578__1.12578	977927__GeneID:10324210
ERR1913163.12676__1.12676	374844__GeneID:1260912
ERR1913163.12677__1.12677	28116__F7L4N5__BACOVA_00137
ERR1913163.12616__1.12616	511969__GeneID:3959334
ERR1913163.12826__1.12826	47678__R5U206__C5Z00_07065
ERR1913163.12873__1.12873	357276__B6W1J2__BACDOR_03380
ERR1913163.12885__1.12885	246787__A0A0P0GCR8__xynD_3
ERR1913163.12964__1.12964	820__A0A139K4W1__M093_0353
ERR1913163.13004__1.13004	28111__E5X333__NCTC11155_03016
ERR1913163.13125__1.13125	47678__R5U2H9__DXB67_10685
ERR1913163.13084__1.13084	821__A6L0C7__ERS852556_03520
ERR1913163.13191__1.13191	374840__GeneID:2546403
