ERR1913041.2__1.2	28116__F7LBW8__C5Z02_16055
ERR1913041.107__1.107	40518__R5DQN7__DXD93_03540
ERR1913041.164__1.164	28118__F9Z5M3__B5F93_14990
ERR1913041.152__1.152	626933__H1DGX0__HMPREF9449_01506
ERR1913041.281__1.281	165179__A0A3E5E920__DXB80_11625
ERR1913041.409__1.409	69974__A0A090FEL8__MPL3365_630008
ERR1913041.591__1.591	2293125__A0A374CIC9__DW917_02045
ERR1913041.655__1.655	418240__A0A174SL99__ERS852478_00007
ERR1913041.1078__1.1078	39485__A0A174YVS4__EUBELI_00620
ERR1913041.1159__1.1159	69974__A0A090FEL8__MPL3365_630008
ERR1913041.1164__1.1164	1323__A0A3E3DXS9__eutH
ERR1913041.1401__1.1401	69974__A0A090FEL8__MPL3365_630008
ERR1913041.1404__1.1404	69974__A0A090FEL8__MPL3365_630008
ERR1913041.1406__1.1406	39491__A0A396FRE7__EUR_27520
ERR1913041.1431__1.1431	820__R9I2U8__DXC68_09590
ERR1913041.1438__1.1438	1680__A0A2R4G1K8__BBMN23_0315
ERR1913041.1498__1.1498	39491__C4Z8B6__ERE_17960
ERR1913041.1594__1.1594	1297617__A0A0S2W2I7__BIV19_00590
ERR1913041.1672__1.1672	1262924__R7HNF7__BN585_01769
ERR1913041.1757__1.1757	39491__A0A395ZHW3__ERS852417_01359
ERR1913041.1712__1.1712	40518__R5E304__thiT
ERR1913041.1833__1.1833	39491__C4Z872__LD38_07250
ERR1913041.1845__1.1845	853__D4KAK8__C4N21_13380
ERR1913041.1888__1.1888	39485__A0A174ZTY8__ycfH
ERR1913041.1896__1.1896	69974__A0A090FEL8__MPL3365_630008
ERR1913041.2080__1.2080	165179__A0A229I3Z6__PREVCOP_03666
ERR1913041.2103__1.2103	165179__A0A3E5EB26__CFT61_02800
ERR1913041.2066__1.2066	216816__B3DNW2__BL171B_07980
ERR1913041.2128__1.2128	69974__A0A090FEL8__MPL3365_630008
ERR1913041.2174__1.2174	40518__R5DU38__DXD83_06770
ERR1913041.2254__1.2254	69974__A0A090FEL8__MPL3365_630008
ERR1913041.2322__1.2322	165179__A0A3E4SID1__DXB80_01945
ERR1913041.2373__1.2373	1262924__R7HML0__BN585_01508
ERR1913041.2439__1.2439	487173__H1D1P1__HMPREF9453_01529
ERR1913041.2496__1.2496	39491__A0A396FRK0__ERS852417_00541
ERR1913041.2508__1.2508	39485__C4Z0S8__hisK
ERR1913041.2536__1.2536	40518__R5DV58__htrA
ERR1913041.2731__1.2731	39485__A0A174YJA4__EUBELI_20421
ERR1913041.2906__1.2906	28117__B0MYM2__BHV66_04910
ERR1913041.2975__1.2975	487173__H1D0Z7__HMPREF9453_01285
ERR1913041.3078__1.3078	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3099__1.3099	310298__B3JLC6__BACCOP_02712
