ERR1913317.44__1.44	28116__A0A3E5HUC8__DHW41_21025
ERR1913317.67__1.67	823__E1YV41__BDI_1376
ERR1913317.184__1.184	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1913317.260__1.260	46506__R6AEP1__HMPREF1181_01415
ERR1913317.465__1.465	820__A0A3E4WA06__ERS852554_03404
ERR1913317.486__1.486	823__A0A174VHT1__DHP27_04775
ERR1913317.554__1.554	47678__R5UFW6__ERS852558_01575
ERR1913317.605__1.605	216816__A0A2N0SME6__BLIF_1881
ERR1913317.615__1.615	166486__D4KZP0__ERS852572_00486
ERR1913317.622__1.622	1550024__G9RPC6__TQ39_05630
ERR1913317.882__1.882	1680__A0A076JNH5__DXC60_03835
ERR1913317.857__1.857	40518__R5DT16__ysdC_2
ERR1913317.1023__1.1023	216816__C2GSX7__DD678_03555
ERR1913317.1270__1.1270	1776081__A0A1B8WV06__A0U42_08505
ERR1913317.1409__1.1409	39488__A0A174CH59__DXD91_12625
ERR1913317.1470__1.1470	328814__GCA_004558275.1_00067
ERR1913317.1474__1.1474	28117__B0MYW7__ALIPUT_02336
ERR1913317.1599__1.1599	1680__A0A0C2YNK5__BADO_0780
ERR1913317.1701__1.1701	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913317.1715__1.1715	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913317.1731__1.1731	187327__G4Q6G7__Acin_2262
ERR1913317.1740__1.1740	39486__B0G5S8__DXC93_00210
ERR1913317.1793__1.1793	821__A0A396F598__CUU_3259
ERR1913317.1845__1.1845	821__A0A173XDD3__DXB82_17180
ERR1913317.2056__1.2056	218139__GCA_002259595.1_01048
ERR1913317.2018__1.2018	823__A0A355XFH7__ERS852513_00769
ERR1913317.2081__1.2081	28117__B0MY82__BHV66_04755
ERR1913317.2101__1.2101	187327__G4Q4X8__ACDG_00099
ERR1913317.2176__1.2176	39488__C0ES56__DXD91_10565
ERR1913317.2182__1.2182	357276__B6VYT9__HMPREF1063_05030
ERR1913317.2261__1.2261	820__A0A174CK74__DXB48_07060
ERR1913317.2426__1.2426	40518__R5DS17__RBATCC27255_00416
ERR1913317.2454__1.2454	216816__E5XYF2__APC1480_0509
ERR1913317.2455__1.2455	40518__R5DUG7__sbcC
ERR1913317.2478__1.2478	40518__R5E1J2__DXD93_04070
ERR1913317.2605__1.2605	820__A0A173YYG4__evgS_3
ERR1913317.2765__1.2765	46506__B0NUC3__SAMN05444283_1019
ERR1913317.2778__1.2778	39491__A0A174A751__DXB69_15525
ERR1913317.2846__1.2846	292800__A0A174WWS5__leuB_2
ERR1913317.3057__1.3057	301302__A0A173UPG6__ERS852420_03127
ERR1913317.3121__1.3121	820__A0A139JV05__B5G17_18125
ERR1913317.3218__1.3218	28117__B0MXI8__BHV66_08505
ERR1913317.3167__1.3167	649756__D4MYP6__DO83_09290
ERR1913317.3290__1.3290	1262869__R7CP00__BN625_01342
ERR1913317.3429__1.3429	187327__G4Q7J0__ACDG_00809
ERR1913317.3442__1.3442	357276__B6W1J2__BACDOR_03380
ERR1913317.3483__1.3483	39491__C4Z9E9__T1815_12341
ERR1913317.3672__1.3672	418240__A0A173ZFY9__ERS852478_00591
ERR1913317.3703__1.3703	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913317.3731__1.3731	47678__R5U8Y1__BACCAC_02615
ERR1913317.4306__1.4306	28116__R6DIL2__DXD69_10970
ERR1913317.4402__1.4402	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913317.4464__1.4464	40518__R5DUG7__sbcC
ERR1913317.4533__1.4533	820__A0A174TRB5__DXD40_11305
ERR1913317.4548__1.4548	821__A0A174RA14__M099_1655
ERR1913317.4602__1.4602	357276__B6VYT9__HMPREF1063_05030
ERR1913317.4604__1.4604	214856__R6XTZ7__ERS852447_02314
ERR1913317.4615__1.4615	820__A0A3E4W4Y7__B5G17_02055
ERR1913317.4671__1.4671	28118__F9Z3U6__B5F99_03365
ERR1913317.4674__1.4674	823__D0TBY4__M090_0431
ERR1913317.4701__1.4701	821__A0A174JYD3__ERS852457_02610
ERR1913317.4947__1.4947	40518__R5DUU8__DXD86_08440
ERR1913317.4921__1.4921	820__A0A374MXK3__HMPREF1072_00166
ERR1913317.5091__1.5091	821__A0A3E4KIM1__M097_3660
ERR1913317.5105__1.5105	1501391__GCA_000786575.1_00084
ERR1913317.5165__1.5165	28117__R7JJM9__ALIPUT_00662
ERR1913317.5235__1.5235	818__A0A139KY34__ERS852461_03898
ERR1913317.5390__1.5390	1680__A0A3E4SB79__BAD_1517
ERR1913317.5485__1.5485	187327__G4Q720__ACDG_00890
ERR1913317.5491__1.5491	187327__G4Q2R6__Acin_2204
ERR1913317.5590__1.5590	820__A0A078S569__gmhB
ERR1913317.5643__1.5643	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913317.5687__1.5687	301302__A0A0M6WMV7__M72_28281
ERR1913317.5697__1.5697	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913317.5741__1.5741	246787__A0A0P0GLJ1__BcellWH2_01674
ERR1913317.5971__1.5971	216816__C2GV16__APC1504_1666
ERR1913317.6039__1.6039	28117__B0MY40__BHV66_05170
ERR1913317.6275__1.6275	821__A0A174JYD3__ERS852457_02610
ERR1913317.6429__1.6429	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.6366__1.6366	40518__R5E8B6__RB5AMG_00876
ERR1913317.6372__1.6372	40518__R5DVR2__RBL236_00303
ERR1913317.6444__1.6444	821__A0A174JYD3__ERS852457_02610
ERR1913317.6447__1.6447	166486__D4KY48__gmr_5
ERR1913317.6489__1.6489	187327__G4Q3J1__ACDG_01977
ERR1913317.6523__1.6523	214856__D4IMT6__Alfi_1830
ERR1913317.6543__1.6543	1550024__G9RXI8__TQ39_11495
ERR1913317.6649__1.6649	187327__G4Q3E6__Acin_1729
ERR1913317.6731__1.6731	552398__F4XCQ4__HMPREF0866_01621
ERR1913317.6741__1.6741	40518__R5DVH6__DXD86_08955
ERR1913317.6755__1.6755	28116__A7LXT4__DXF98_03755
ERR1913317.6790__1.6790	28117__R7JPX7__BHV66_00900
ERR1913317.6837__1.6837	39491__A0A173SH34__EUR_24920
ERR1913317.6854__1.6854	1150298__A0A174KW35__cbbX
ERR1913317.6863__1.6863	820__A0A374QGD2__ERS852421_02382
ERR1913317.6964__1.6964	1262869__R7CLK4__BN625_01129
ERR1913317.6975__1.6975	418240__C6JAX8__ERS852478_02355
ERR1913317.6991__1.6991	820__A0A3E4G826__C801_01612
ERR1913317.7047__1.7047	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913317.7110__1.7110	820__A0A173YYG4__evgS_3
ERR1913317.7189__1.7189	28116__A0A1Y4Q114__DXF98_00470
ERR1913317.7196__1.7196	246787__A0A0P0GLJ1__BcellWH2_01674
ERR1913317.7273__1.7273	357276__I9QBT7__BSEG_03340
ERR1913317.7334__1.7334	821__A0A397WGD6__M098_0084
ERR1913317.7319__1.7319	1550024__G9RXB5__TQ39_17835
ERR1913317.7544__1.7544	301302__R5VE56__M72_25941
ERR1913317.7610__1.7610	823__A0A395YXR9__M091_4086
ERR1913317.7591__1.7591	246787__R6KCH8__csbC
ERR1913317.7592__1.7592	39486__B0G2J6__DXB12_13190
ERR1913317.7700__1.7700	820__A0A3E4QZJ7__C801_01798
ERR1913317.7745__1.7745	853__A0A173XRA8__CGS56_09290
ERR1913317.7772__1.7772	1150298__A0A174R4D7__tmpC_2
ERR1913317.7855__1.7855	187327__G4Q682__Acin_1672
ERR1913317.7861__1.7861	1680__A0A173W5Z2__DXC53_01290
ERR1913317.8078__1.8078	820__A0A3E4VXP2__yesR
ERR1913317.8133__1.8133	214856__A0A174ZLX0__ERS852559_00738
ERR1913317.8257__1.8257	820__A0A3E4G826__C801_01612
ERR1913317.8293__1.8293	820__A0A374Q351__DXD40_05850
ERR1913317.8453__1.8453	292800__G9YQ34__A4U99_01275
ERR1913317.8592__1.8592	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.8600__1.8600	39488__A0A285PSK3__yihY
ERR1913317.8612__1.8612	820__I9TWZ7__DXC80_10550
ERR1913317.8614__1.8614	572010__hgdC_1
ERR1913317.8744__1.8744	28117__B0MYI9__BHV66_05415
ERR1913317.8958__1.8958	28118__R6FH70__NCTC10826_02742
ERR1913317.9053__1.9053	187327__U2U4L1__Acin_2007
ERR1913317.9093__1.9093	187327__G4Q682__Acin_1672
ERR1913317.9186__1.9186	28116__F7LEX0__CUY_5042
ERR1913317.9216__1.9216	820__A7V470__HMPREF1072_02076
ERR1913317.9356__1.9356	1262869__R7CNU1__BN625_01324
ERR1913317.9719__1.9719	187327__U2TT45__ACDG_00876
ERR1913317.9697__1.9697	820__A0A174TRB5__DXD40_11305
ERR1913317.9764__1.9764	28116__A0A1Y4Q119__DXD69_10975
ERR1913317.9815__1.9815	357276__I9QBT7__BSEG_03340
ERR1913317.9849__1.9849	40518__R5DUG7__sbcC
ERR1913317.9859__1.9859	28116__A0A078Q9S5__DXD69_13430
ERR1913317.9872__1.9872	187327__G4Q590__Acin_2065
ERR1913317.9905__1.9905	28117__B0MZ14__ALIPUT_02383
ERR1913317.10063__1.10063	820__R9I3Q7__HMPREF1072_01668
ERR1913317.10066__1.10066	74426__purL
ERR1913317.10142__1.10142	28116__A7LS02__DXF98_24100
ERR1913317.10344__1.10344	446660__GCA_003428235.1_01544
ERR1913317.10369__1.10369	187327__R6MFT6__ACDG_01930
ERR1913317.10413__1.10413	820__A0A139K1Y6__DXB48_02610
ERR1913317.10452__1.10452	820__A0A139K2N9__DXB62_12420
ERR1913317.10487__1.10487	487174__R5FMM3__DDY40_00820
ERR1913317.10627__1.10627	40518__R5DZI2__DXD93_06940
ERR1913317.10573__1.10573	187327__G4Q2T7__ACDG_01747
ERR1913317.10692__1.10692	820__A0A1T4IYF4__mprA_1
ERR1913317.10804__1.10804	39491__A0A3E4YFT8__DXB69_10940
ERR1913317.10811__1.10811	1776081__A0A1B8WUW8__A0U42_08610
ERR1913317.10845__1.10845	387090__S0F8B2__BACCOPRO_02129
ERR1913317.11018__1.11018	1550024__G9RP69__ASJ35_11625
ERR1913317.10931__1.10931	187327__G4Q2R6__Acin_2204
ERR1913317.10938__1.10938	820__A0A374QGD2__ERS852421_02382
ERR1913317.10963__1.10963	820__A0A1Y3V743__M093_0235
ERR1913317.11071__1.11071	1262882__R5MEN9__BN519_00201
ERR1913317.11144__1.11144	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913317.11148__1.11148	820__A0A1T4IYF4__mprA_1
ERR1913317.11172__1.11172	47678__R5UGX6__CGC64_16275
ERR1913317.11245__1.11245	187327__G4Q902__Acin_0458
ERR1913317.11354__1.11354	74426__pdxS
ERR1913317.11286__1.11286	40518__R5DR72__RBL236_02110
ERR1913317.11417__1.11417	820__A0A3E4G3J9__ERS852459_02265
ERR1913317.11606__1.11606	28117__B0MXU6__ALIPUT_01958
