ERR1913202.101__1.101	239935__A0A2N8HBP0__CXT94_04450
ERR1913202.103__1.103	1501391__GCA_000786575.1_00113
ERR1913202.298__1.298	1262882__R5MIW5__BN519_00945
ERR1913202.394__1.394	214856__R6Z320__ERS852447_02148
ERR1913202.406__1.406	214856__I3YMC8__ERS852447_02666
ERR1913202.342__1.342	39488__A0A173RU01__EUBHAL_00881
ERR1913202.368__1.368	214856__R6XUN2__rcsC_1
ERR1913202.408__1.408	214856__I3YPQ4__Alfi_2712
ERR1913202.560__1.560	214856__R6Y1K2__ERS852447_02306
ERR1913202.624__1.624	214856__R6YD52__ERS852447_02171
ERR1913202.1066__1.1066	214856__I3YMC8__ERS852447_02666
ERR1913202.1245__1.1245	818__A0A3E5HN72__C799_03359
ERR1913202.1263__1.1263	487174__R5EP60__DIT83_09045
ERR1913202.1630__1.1630	1262882__R5MT42__BN519_01729
ERR1913202.1665__1.1665	239935__A0A2N8IXN0__CXT95_01765
ERR1913202.1699__1.1699	28118__F9Z8K4__Odosp_0843
ERR1913202.1709__1.1709	1501391__GCA_000786575.1_00050
ERR1913202.1733__1.1733	1965604__A0A1Y4EWL3__B5F54_02850
ERR1913202.2027__1.2027	214856__A0A174AYS4__ERS852447_01192
ERR1913202.2062__1.2062	214856__R6Z5D0__resA_4
ERR1913202.2235__1.2235	1262882__R5MLK3__BN519_00491
ERR1913202.2198__1.2198	214856__A0A173W3Y5__ERS852559_02032
ERR1913202.2276__1.2276	214856__I3YPP3__Alfi_2701
ERR1913202.2292__1.2292	214856__A0A174EQR4__rsmA
ERR1913202.2403__1.2403	1262882__R5MSQ8__BN519_01647
ERR1913202.2497__1.2497	214856__R6Y6H8__ERS852447_01719
ERR1913202.2566__1.2566	214856__R6XKW1__ERS852559_01141
ERR1913202.2890__1.2890	28116__A0A1Y4PWX5__rpoE_4
ERR1913202.3016__1.3016	301302__A0A0M6WPV4__M72_29701
ERR1913202.3074__1.3074	1501391__GCA_000786575.1_00016
ERR1913202.3134__1.3134	1262882__R5N5C3__BN519_01664
ERR1913202.3198__1.3198	214856__I3YPP0__ERS852447_01388
ERR1913202.3358__1.3358	239935__A0A2N8IEP3__CXT84_03735
ERR1913202.3414__1.3414	1262911__R6GY22__BN557_00023
ERR1913202.3451__1.3451	487174__K0WV96__HMPREF9448_01901
ERR1913202.3513__1.3513	214856__R6Z7Q9__ERS852447_02172
ERR1913202.3562__1.3562	301302__R5UQ61__M72_23071
ERR1913202.3663__1.3663	214856__I3YPR5__ERS852447_01364
ERR1913202.3707__1.3707	301302__R5UNJ6__M72_26701
ERR1913202.3862__1.3862	214856__R5UN64__ERS852447_02669
ERR1913202.3983__1.3983	47678__A5ZF31__DXB67_11050
ERR1913202.4125__1.4125	239935__A0A2N8IMC9__CXU09_02095
ERR1913202.4186__1.4186	1262882__R5MPL0__BN519_01038
ERR1913202.4259__1.4259	214856__I3YMC8__ERS852447_02666
ERR1913202.4272__1.4272	394340__groL
ERR1913202.4312__1.4312	214856__R5UN64__ERS852447_02669
ERR1913202.4382__1.4382	487174__K0X7X4__DIT83_09125
ERR1913202.4526__1.4526	214856__I3YPN0__ERS852447_01398
ERR1913202.4529__1.4529	552398__T5RKT4__HMPREF0866_04531
ERR1913202.4947__1.4947	214856__R6YC22__ERS852447_01215
ERR1913202.5052__1.5052	214856__I3YPR6__Alfi_2724
ERR1913202.5124__1.5124	214856__R5UN64__ERS852447_02669
ERR1913202.5594__1.5594	239935__A0A2N8IVR0__CXT87_07115
ERR1913202.5674__1.5674	214856__A0A174EJT5__mnmA
ERR1913202.5911__1.5911	214856__R6XTZ7__ERS852447_02314
ERR1913202.5944__1.5944	1150298__A0A174QRU8__ERS852498_00962
ERR1913202.5988__1.5988	853__A0A173XRA8__CGS56_09290
ERR1913202.6106__1.6106	328814__GCA_004558275.1_00075
ERR1913202.6192__1.6192	214856__I3YPI7__pepD_1
ERR1913202.6188__1.6188	214856__R6Z186__ERS852447_00718
ERR1913202.6271__1.6271	301302__R5V631__ERS852420_03369
ERR1913202.6730__1.6730	47678__R5U878__ERS852494_03300
ERR1913202.6817__1.6817	649756__A0A174SER1__HMPREF0369_00070
ERR1913202.6866__1.6866	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913202.7103__1.7103	328814__GCA_004558275.1_02279
ERR1913202.7404__1.7404	214856__I3YPP3__Alfi_2701
ERR1913202.7717__1.7717	1262882__R5MEM1__BN519_00313
ERR1913202.7789__1.7789	1262882__R5MLT4__BN519_01496
ERR1913202.8024__1.8024	821__A0A174WBC9__ERS852556_03145
ERR1913202.8213__1.8213	1897011__A0A1Q6RE52__BHW41_04690
ERR1913202.8287__1.8287	214856__R5UN64__ERS852447_02669
ERR1913202.8450__1.8450	301302__A0A173RYX5__ERS852420_00973
ERR1913202.8564__1.8564	214856__R6XS02__ERS852447_01685
ERR1913202.8810__1.8810	239935__R6JCH3__CXT95_08205
ERR1913202.8895__1.8895	1262882__R5N349__BN519_01037
ERR1913202.8949__1.8949	1501391__GCA_000786575.1_00063
ERR1913202.9012__1.9012	214856__R6Z590__ERS852447_01059
ERR1913202.9037__1.9037	214856__R6Y6H8__ERS852447_01719
ERR1913202.8981__1.8981	214856__I3YPP0__ERS852447_01388
ERR1913202.9098__1.9098	1262882__R5MEN2__BN519_00200
ERR1913202.9109__1.9109	239935__A0A2N8HBM4__CXT85_06270
ERR1913202.9110__1.9110	39492__D4JUD9__EUBSIR_01875
ERR1913202.9259__1.9259	301301__A0A395V573__RHOM_13925
ERR1913202.9268__1.9268	239935__A0A2N8I3G2__CXT89_00720
ERR1913202.9421__1.9421	1150298__A0A174QNY9__ERS852498_01028
ERR1913202.9530__1.9530	214856__A0A174CRY5__ERS852559_01060
ERR1913202.9565__1.9565	239935__A0A2N8IF99__lpdA
ERR1913202.9641__1.9641	649756__D4MX84__ERS852520_02352
ERR1913202.9659__1.9659	214856__R6XUN2__rcsC_1
ERR1913202.9717__1.9717	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.9726__1.9726	214856__R6XNE7__ERS852447_02267
ERR1913202.9748__1.9748	214856__R6XNE7__ERS852447_02267
ERR1913202.9765__1.9765	853__A0A2J4JL53__CRH10_10795
ERR1913202.9874__1.9874	487174__K0WRR5__DDY40_06130
ERR1913202.9901__1.9901	1160721__W0U8M9__RBI_II00386
ERR1913202.9909__1.9909	39492__D4JWI6__EUBSIR_01073
ERR1913202.10010__1.10010	1262882__R5N5D7__BN519_01676
ERR1913202.10377__1.10377	214856__R6Z5D0__resA_4
ERR1913202.10405__1.10405	1262882__R5MT08__BN519_01706
ERR1913202.10675__1.10675	214856__A0A175A6T5__ERS852447_02658
ERR1913202.10719__1.10719	1262882__R5MFA5__BN519_00331
ERR1913202.10757__1.10757	214856__I3YPP0__ERS852447_01388
ERR1913202.10908__1.10908	214856__R6Z186__ERS852447_00718
ERR1913202.10996__1.10996	214856__I3YMC8__ERS852447_02666
ERR1913202.11043__1.11043	214856__R6XP73__ERS852447_00886
ERR1913202.11100__1.11100	1262882__R5ML49__BN519_01361
ERR1913202.11164__1.11164	214856__A0A174AYS4__ERS852447_01192
ERR1913202.11168__1.11168	487174__R5EP60__DIT83_09045
ERR1913202.11269__1.11269	214856__I3YMN6__Alfi_1938
ERR1913202.11353__1.11353	853__A0A173XRA8__CGS56_09290
ERR1913202.11357__1.11357	328814__GCA_004558275.1_01006
ERR1913202.11519__1.11519	1550024__G9RXY7__TQ39_00100
ERR1913202.11583__1.11583	239935__A0A2N8HL50__CXT98_09135
ERR1913202.11627__1.11627	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913202.11704__1.11704	649756__A0A174K9U9__HMPREF0369_00778
ERR1913202.11730__1.11730	214856__R6Z288__ERS852447_00734
ERR1913202.11801__1.11801	301302__A0A0M6WZT5__M72_18331
ERR1913202.12145__1.12145	39492__D4JSA4__ERS852540_00596
ERR1913202.12150__1.12150	214856__I3YPN9__ERS852447_01389
ERR1913202.12221__1.12221	214856__I3YPP9__Alfi_2707
ERR1913202.12395__1.12395	214856__R6Z186__ERS852447_00718
ERR1913202.12553__1.12553	214856__A0A174EJT5__mnmA
ERR1913202.12570__1.12570	214856__I3YPP9__Alfi_2707
ERR1913202.12693__1.12693	1262882__R5MKV8__BN519_01281
ERR1913202.13018__1.13018	214856__I3YMC8__ERS852447_02666
ERR1913202.13169__1.13169	214856__I3YMC8__ERS852447_02666
ERR1913202.13180__1.13180	1262882__R5MH82__BN519_00752
ERR1913202.13182__1.13182	214856__R6Y9P5__ERS852559_01811
ERR1913202.13251__1.13251	487174__K0XK83__HMPREF9448_01485
ERR1913202.13410__1.13410	214856__R5UN64__ERS852447_02669
ERR1913202.13591__1.13591	487174__K0X4F7__DDY40_08055
ERR1913202.13804__1.13804	214856__A0A174CRY5__ERS852559_01060
ERR1913202.13995__1.13995	214856__I3YPR5__ERS852447_01364
ERR1913202.14017__1.14017	487174__K0WXG8__DIT83_09300
ERR1913202.14075__1.14075	818__A0A3E5H5M0__SAMN05216253_12081
ERR1913202.14106__1.14106	1262882__R5MEW7__BN519_00010
ERR1913202.14196__1.14196	214856__I3YPQ4__Alfi_2712
ERR1913202.14216__1.14216	214856__R6Y6H8__ERS852447_01719
ERR1913202.14298__1.14298	239935__A0A2N8HAQ1__DEF40_05290
ERR1913202.14265__1.14265	214856__R6YD52__ERS852447_02171
ERR1913202.14419__1.14419	214856__A0A174EQR4__rsmA
ERR1913202.14567__1.14567	1262882__R5N0C3__BN519_00731
ERR1913202.14953__1.14953	214856__R6XKT4__ERS852559_01719
ERR1913202.15204__1.15204	216816__D6D9J4__DPC6320_0487
ERR1913202.15172__1.15172	487174__K0WXG8__DIT83_09300
ERR1913202.16151__1.16151	1262882__R5N3T7__BN519_01188
ERR1913202.16247__1.16247	39492__D4JW28__spoVFA
ERR1913202.16474__1.16474	1150298__A0A174QS63__ERS852406_03087
ERR1913202.16772__1.16772	487174__K0X591__DDY40_01805
ERR1913202.16975__1.16975	214856__I3YMC8__ERS852447_02666
ERR1913202.17218__1.17218	214856__R6YD52__ERS852447_02171
ERR1913202.17296__1.17296	214856__I3YPP0__ERS852447_01388
ERR1913202.17298__1.17298	189722__E0NQU7__HMPREF0658_0548
ERR1913202.17316__1.17316	214856__R6YC22__ERS852447_01215
ERR1913202.17354__1.17354	418240__A0A174NZX7__tagF_1
ERR1913202.17419__1.17419	1262882__R5N5D7__BN519_01676
ERR1913202.17453__1.17453	649756__D4N1B5__HMPREF0369_02034
ERR1913202.17627__1.17627	28118__F9Z7P4__B5F99_17665
ERR1913202.17756__1.17756	1263006__R6LYA7__BN515_01307
ERR1913202.17801__1.17801	487174__R5FN40__HMPREF9448_01366
ERR1913202.18005__1.18005	1262882__R5MIY9__BN519_01097
ERR1913202.18201__1.18201	239935__A0A139TPD4__CXT86_06450
ERR1913202.18302__1.18302	214856__I3YPQ8__ERS852447_01371
ERR1913202.18331__1.18331	1262882__R5MGX3__BN519_00046
ERR1913202.18263__1.18263	214856__R6Z288__ERS852447_00734
ERR1913202.18507__1.18507	214856__R6YC22__ERS852447_01215
ERR1913202.18526__1.18526	239935__R6JAS2__CXU02_10725
ERR1913202.18561__1.18561	301302__R5VFW5__M72_26781
ERR1913202.19153__1.19153	214856__A0A174EQR4__rsmA
ERR1913202.19272__1.19272	239935__A0A2N8HQR1__Amuc_0287
ERR1913202.19308__1.19308	1262882__R5MFA5__BN519_00331
ERR1913202.19311__1.19311	1501391__GCA_000786575.1_00037
ERR1913202.19374__1.19374	1262889__R7H954__BN634_00680
ERR1913202.19496__1.19496	39496__A5Z5I2__EUBVEN_00963
ERR1913202.19693__1.19693	214856__R6YD52__ERS852447_02171
ERR1913202.19752__1.19752	214856__R6XNE7__ERS852447_02267
ERR1913202.19768__1.19768	39492__R6SA81__EUBSIR_00402
ERR1913202.19777__1.19777	214856__A0A175A6T5__ERS852447_02658
ERR1913202.19815__1.19815	1262882__R5MPY4__BN519_01128
ERR1913202.19935__1.19935	214856__R6Z186__ERS852447_00718
ERR1913202.19999__1.19999	239935__A0A2N8IXN0__CXT95_01765
ERR1913202.20008__1.20008	214856__I3YPN0__ERS852447_01398
ERR1913202.20212__1.20212	214856__R6Z5D0__resA_4
ERR1913202.20437__1.20437	1262882__R5MLK3__BN519_00491
ERR1913202.20878__1.20878	214856__I3YMN6__Alfi_1938
ERR1913202.20951__1.20951	239935__A0A2N8HAQ1__DEF40_05290
ERR1913202.21104__1.21104	214856__I3YPP0__ERS852447_01388
ERR1913202.21200__1.21200	214856__R6XYY8__ERS852447_01722
ERR1913202.21254__1.21254	39491__A0A2U2EK03__ERE_28780
ERR1913202.21342__1.21342	214856__R6XS46__ERS852559_00812
ERR1913202.21376__1.21376	214856__R6YBX3__msbA_2
ERR1913202.21613__1.21613	214856__R6XTZ7__ERS852447_02314
ERR1913202.21654__1.21654	1501391__GCA_000786575.1_00095
ERR1913202.21733__1.21733	214856__R6Y6H8__ERS852447_01719
ERR1913202.21866__1.21866	328813__A0A1Y3QQ66__B5G41_14240
ERR1913202.21917__1.21917	214856__I3YMC8__ERS852447_02666
ERR1913202.22002__1.22002	239935__A0A2N8HTZ8__CXU09_01270
ERR1913202.21982__1.21982	1262882__R5N0F4__BN519_00593
ERR1913202.22258__1.22258	214856__A0A174AYS4__ERS852447_01192
ERR1913202.22310__1.22310	214856__I3YPQ4__Alfi_2712
ERR1913202.22503__1.22503	214856__R6XS46__ERS852559_00812
ERR1913202.22775__1.22775	214856__A0A175A6T5__ERS852447_02658
ERR1913202.22823__1.22823	214856__R6Z7Q9__ERS852447_02172
ERR1913202.23012__1.23012	214856__R6Z186__ERS852447_00718
ERR1913202.23111__1.23111	28118__F9Z6J0__DHW44_06845
ERR1913202.23137__1.23137	214856__R6Y7P0__ERS852447_00307
ERR1913202.23265__1.23265	214856__I3YPP2__Alfi_2700
ERR1913202.23267__1.23267	28118__F9Z750__Odosp_3044
ERR1913202.23276__1.23276	1262882__R5MEN9__BN519_00201
ERR1913202.23459__1.23459	1501391__GCA_000786575.1_00032
ERR1913202.23618__1.23618	1262911__R6H212__BN557_01031
ERR1913202.23668__1.23668	1897011__A0A1Q6RGC4__BHW41_02800
ERR1913202.23688__1.23688	818__A0A0P0F7K1__ERS852461_02719
ERR1913202.23918__1.23918	214856__I3YPN3__ERS852447_01395
ERR1913202.24090__1.24090	214856__I3YMB7__Alfi_1811
ERR1913202.24039__1.24039	1501391__GCA_000786575.1_00029
ERR1913202.24323__1.24323	1262911__R6GT12__BN557_01070
ERR1913202.24562__1.24562	214856__R6Z288__ERS852447_00734
ERR1913202.24687__1.24687	1262882__R5MS31__BN519_01529
ERR1913202.24937__1.24937	487174__K0XH97__HMPREF9448_01909
ERR1913202.24944__1.24944	1262948__R7EGL5__BN671_00676
ERR1913202.24982__1.24982	239935__A0A139TPD8__CXU12_11015
ERR1913202.25156__1.25156	301302__R5UK77__M72_08681
ERR1913202.25166__1.25166	214856__R6Y1K2__ERS852447_02306
ERR1913202.25264__1.25264	487174__K0X909__HMPREF9448_01469
ERR1913202.25299__1.25299	1501391__GCA_000786575.1_00147
ERR1913202.25464__1.25464	214856__A0A174CRY5__ERS852559_01060
ERR1913202.25499__1.25499	214856__R6Z3P8__ERS852559_01737
ERR1913202.25504__1.25504	214856__I3YPP1__Alfi_2699
