ERR1913186.42__1.42	1262882__R5N5S3__BN519_00085
ERR1913186.446__1.446	1263011__R6E459__BN553_00208
ERR1913186.1213__1.1213	1263006__R6LXG0__BN515_01067
ERR1913186.1915__1.1915	1262816__R6C9Y6__BN687_00354
ERR1913186.1961__1.1961	1262936__R7J172__BN799_01663
ERR1913186.2316__1.2316	74426__purL
ERR1913186.3781__1.3781	39488__A0A174AEG5__DXD91_14700
ERR1913186.4149__1.4149	1680__A0A087DHN0__AL0462_1532
ERR1913186.4057__1.4057	1262936__R7IYJ1__BN799_00810
ERR1913186.4227__1.4227	671266__GCA_004801615.1_00763
ERR1913186.4294__1.4294	1262936__R7IY33__BN799_00622
ERR1913186.4793__1.4793	1689__D2Q5I3__HMPREF9003_0582
ERR1913186.5033__1.5033	1897011__A0A1Q6RET2__BHW41_04000
ERR1913186.5043__1.5043	165179__A0A3E5DX15__DXC61_00345
ERR1913186.5243__1.5243	1263011__R6DWR3__BN553_00805
ERR1913186.5644__1.5644	40518__R5DT93__DXD86_08730
ERR1913186.5859__1.5859	853__A0A173XRA8__CGS56_09290
ERR1913186.5959__1.5959	1262936__R7IYJ1__BN799_00810
ERR1913186.5965__1.5965	165179__A0A3E5E6S6__DXB80_07575
ERR1913186.5995__1.5995	1680__R5GRA4__ERS852382_01548
ERR1913186.6115__1.6115	1680__A0A087DHN0__AL0462_1532
ERR1913186.6515__1.6515	901__B6WPS9__DHV46_04165
ERR1913186.6590__1.6590	1262936__R7J0Z2__BN799_00650
ERR1913186.6611__1.6611	39485__A0A174ZUV1__tig_3
ERR1913186.6706__1.6706	166486__D4KXB5__ROSINTL182_05909
ERR1913186.6980__1.6980	116085__D4J6A4__DW747_12795
ERR1913186.7286__1.7286	1680__R5GRA4__ERS852382_01548
ERR1913186.7939__1.7939	165179__D1PCL6__DXB80_13435
ERR1913186.8043__1.8043	165179__A0A3E5DX15__DXC61_00345
ERR1913186.8165__1.8165	45851__D4RZC9__BUTYVIB_01195
ERR1913186.8801__1.8801	1262816__R6C799__BN687_00916
ERR1913186.8816__1.8816	1680__A0A087DHN0__AL0462_1532
ERR1913186.8874__1.8874	1262882__R5MIC9__BN519_00834
ERR1913186.8984__1.8984	1680__A0A374QDL4__LMG18897_0432
ERR1913186.8993__1.8993	147206__GCF_000156215.1_01777
ERR1913186.9259__1.9259	1150298__A0A173ZPH3__rnhA
ERR1913186.10232__1.10232	901__B6WVJ0__BHW59_08380
ERR1913186.10364__1.10364	1262919__R5PRP3__BN465_00924
ERR1913186.10586__1.10586	239935__A0A2N8IXN0__CXT95_01765
ERR1913186.10921__1.10921	39485__C4Z390__EUBELI_01689
ERR1913186.10965__1.10965	1263011__R6EMV8__BN553_01996
ERR1913186.10978__1.10978	1680__A0A2R4G1K8__BBMN23_0315
ERR1913186.11413__1.11413	446660__GCA_003428235.1_00198
ERR1913186.11588__1.11588	74426__purL
ERR1913186.12105__1.12105	1262936__R7J3L8__BN799_00414
ERR1913186.12520__1.12520	301301__A0A395V8E1__RHOM_11160
ERR1913186.12687__1.12687	572010__hgdC_1
ERR1913186.12735__1.12735	39485__A0A174ZBK4__ERS852490_01585
ERR1913186.12962__1.12962	40518__R5DS23__DXD86_01715
ERR1913186.12997__1.12997	40518__R5DY98__mepA_5
ERR1913186.13128__1.13128	1262936__R7J5J9__BN799_00247
ERR1913186.13267__1.13267	1680__A0A0B5BL52__ERS852382_00480
ERR1913186.13395__1.13395	1680__A0A087DHN0__AL0462_1532
ERR1913186.13367__1.13367	61171__B9Y5T8__HOLDEFILI_01170
ERR1913186.13668__1.13668	301302__R5UH47__M72_02301
ERR1913186.13911__1.13911	1262911__R6GP42__BN557_00222
ERR1913186.14460__1.14460	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913186.14638__1.14638	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913186.14673__1.14673	301301__A0A395V4X8__ERS852391_01546
ERR1913186.15141__1.15141	384639__GCA_003096855.1_00995
ERR1913186.15657__1.15657	1550024__G9RT56__TQ39_09200
ERR1913186.16178__1.16178	88431__A0A173VJL7__ERS852526_01348
ERR1913186.16637__1.16637	1680__A7A7Z9__AAX71_05385
ERR1913186.16840__1.16840	1262911__R6GIB9__BN557_01439
ERR1913186.16955__1.16955	301302__A0A173V3Z4__ecfA1_3
ERR1913186.17117__1.17117	1262992__R5D4D9__BN795_00562
ERR1913186.17369__1.17369	1897011__A0A1Q6RI93__BHW41_01175
ERR1913186.17444__1.17444	1680__A0A087DHN0__AL0462_1532
ERR1913186.17459__1.17459	901__B6WVR4__DESPIGER_2125
ERR1913186.17629__1.17629	552398__F4XCR9__HMPREF0866_01636
ERR1913186.17675__1.17675	1680__A0A087DHN0__AL0462_1532
ERR1913186.17762__1.17762	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913186.17776__1.17776	116085__D4J6L8__DW747_08035
ERR1913186.18236__1.18236	1897011__A0A1Q6RH12__BHW41_01505
ERR1913186.18418__1.18418	45851__A0A3C0J7S9__BUTYVIB_01423
