ERR1913022.106__1.106	454154__G5SMG6__HMPREF9441_00541
ERR1913022.228__1.228	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913022.494__1.494	214856__R6Z3P8__ERS852559_01737
ERR1913022.516__1.516	818__A0A174VV39__BT_3492
ERR1913022.678__1.678	410072__C0BC38__ERS852574_02017
ERR1913022.783__1.783	820__A0A3E4G493__ERS417307_00253
ERR1913022.733__1.733	820__A0A174Q0F0__DXB48_08080
ERR1913022.809__1.809	820__A0A139KH21__DXC80_01780
ERR1913022.912__1.912	1262911__R6H177__BN557_01251
ERR1913022.954__1.954	820__A0A3E4VZF8__C801_00319
ERR1913022.996__1.996	357276__A0A076IYG1__B5F95_22465
ERR1913022.1193__1.1193	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1913022.1349__1.1349	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913022.1431__1.1431	46228__B5CLJ3__HMPREF1202_00485
ERR1913022.1471__1.1471	853__A0A2A7B1Y7__C7K05_11930
ERR1913022.1521__1.1521	1897011__A0A1Q6RG95__BHW41_02720
ERR1913022.1556__1.1556	46506__S3YS03__DXC34_03445
ERR1913022.2075__1.2075	1262886__R6QCS6__BN563_01563
ERR1913022.2112__1.2112	1897011__A0A1Q6RF88__BHW41_03295
ERR1913022.2227__1.2227	204516__U6R9H3__HMPREF1534_03348
ERR1913022.2323__1.2323	820__A0A374MMF0__HMPREF1073_03811
ERR1913022.2483__1.2483	46228__B5CT56__RUMLAC_02679
ERR1913022.2520__1.2520	33039__D4LYZ5__ERS852390_01248
ERR1913022.2892__1.2892	39492__A0A174ZHV5__msbA_2
ERR1913022.3159__1.3159	454155__F3QRN7__HMPREF9442_00841
ERR1913022.3203__1.3203	487174__W0ES49__HMPREF9448_00709
ERR1913022.3215__1.3215	357276__I9F327__DXD47_22495
ERR1913022.3239__1.3239	820__A0A139KEW8__DXB64_06405
ERR1913022.3329__1.3329	39492__A0A174ZHV5__msbA_2
ERR1913022.3462__1.3462	1160721__W0U2W0__BHW50_02075
ERR1913022.3541__1.3541	821__A0A174NM17__lacZ_6
ERR1913022.3558__1.3558	1262935__R5GIS0__BN773_01547
ERR1913022.3658__1.3658	823__A0A073I9P2__CF162_18000
ERR1913022.3720__1.3720	1262889__R7HGV8__BN634_01881
ERR1913022.3747__1.3747	418240__A0A174R2N4__ERS852523_02758
ERR1913022.3813__1.3813	291644__I9SRU5__HMPREF1532_02538
ERR1913022.3970__1.3970	1262889__R7HD81__BN634_00648
ERR1913022.4051__1.4051	821__D4VC51__M099_1508
ERR1913022.4134__1.4134	291644__R5JUY5__HMPREF1071_00941
ERR1913022.4137__1.4137	214856__R6XUN2__rcsC_1
ERR1913022.4415__1.4415	46228__V8BPL7__DXD17_00445
ERR1913022.4865__1.4865	47678__A5ZL09__BACCAC_03608
ERR1913022.4899__1.4899	291644__I8Y2A3__HMPREF1532_03851
ERR1913022.4908__1.4908	487174__K0WX10__DIT83_10030
ERR1913022.4974__1.4974	28117__B0MSS1__ALIPUT_00273
ERR1913022.5389__1.5389	1262889__R7H960__BN634_00690
ERR1913022.5420__1.5420	291644__I9T0B6__ERS852428_02426
ERR1913022.5493__1.5493	2293125__A0A374C671__DW917_09135
ERR1913022.5721__1.5721	39492__B0MM84__lgt
ERR1913022.5848__1.5848	823__A6LHK0__M090_1297
ERR1913022.6111__1.6111	39492__D4JX50__EUBSIR_00410
ERR1913022.6234__1.6234	821__A0A3E4HP25__SAMN04487923_102450
ERR1913022.6351__1.6351	487174__K0WRZ5__HMPREF9448_02826
ERR1913022.6510__1.6510	410072__A0A174AIQ9__DXD67_07210
ERR1913022.6549__1.6549	357276__D1K3K9__EL88_23995
ERR1913022.6650__1.6650	28111__R5JPF7__BACEGG_02051
ERR1913022.6844__1.6844	291644__I9TDL9__HMPREF1532_01624
ERR1913022.6950__1.6950	823__A0A173RD26__B5F32_03910
ERR1913022.6945__1.6945	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913022.7085__1.7085	291644__I9T2C4__HMPREF1071_02429
ERR1913022.7147__1.7147	1262888__R6PJP2__BN582_01803
