ERR1913280.111__1.111	1262700__R5XM04__BN695_00162
ERR1913280.305__1.305	39492__D4JVG1__ERS852540_00951
ERR1913280.314__1.314	1262911__R6GSH8__BN557_00939
ERR1913280.413__1.413	74426__group_4808
ERR1913280.452__1.452	487174__K0X6A4__HMPREF9448_00105
ERR1913280.524__1.524	239935__A0A2N8HEH9__CXU07_11710
ERR1913280.795__1.795	239935__A0A2N8HEH9__CXU07_11710
ERR1913280.920__1.920	1262911__R6HH15__BN557_01507
ERR1913280.1437__1.1437	239935__A0A2N8HHB6__B5G29_11500
ERR1913280.1413__1.1413	820__A7V049__DXB48_04755
ERR1913280.1695__1.1695	820__A0A174CG08__DXB62_13215
ERR1913280.1801__1.1801	1262736__R5Y4S4__BN496_00323
ERR1913280.1908__1.1908	1262911__R6GQ41__BN557_00435
ERR1913280.2158__1.2158	1262700__R5XEX6__BN695_01651
ERR1913280.2305__1.2305	239935__A0A2N8IAZ5__xseA
ERR1913280.2306__1.2306	853__C7H7F5__DWZ46_01780
ERR1913280.2499__1.2499	1262889__R7HCR1__BN634_01576
ERR1913280.2544__1.2544	39492__D4JWD3__EUBSIR_00151
ERR1913280.2636__1.2636	40520__R7DD10__glgB
ERR1913280.2818__1.2818	871324__A0A1M6C0H7__SAMN05444350_103243
ERR1913280.2867__1.2867	1105031__J1H3W2__HMPREF1141_2783
ERR1913280.2996__1.2996	338188__C9L2Y9__BACFIN_08971
ERR1913280.3230__1.3230	820__A0A173WZS4__DXD90_10250
ERR1913280.3233__1.3233	28117__B0MWX3__BHV66_03010
ERR1913280.3543__1.3543	487174__K0WRR5__DDY40_06130
ERR1913280.3508__1.3508	39491__A0A395V1T9__DXD13_03310
ERR1913280.3573__1.3573	239935__A0A139TPG3__CXT86_08810
ERR1913280.3867__1.3867	33025__A0A395J8P0__C8D73_1144
ERR1913280.3892__1.3892	853__A0A2A7A628__CGS57_13755
ERR1913280.3893__1.3893	1262700__R5XX89__BN695_00144
ERR1913280.3971__1.3971	871324__A0A1M6HHB2__SAMN05444350_11868
ERR1913280.4139__1.4139	1235835__R9LCU2__C814_02677
ERR1913280.4178__1.4178	1263107__GCA_000436995.1_00198
ERR1913280.4336__1.4336	820__A0A3E4WA06__ERS852554_03404
ERR1913280.4517__1.4517	28117__B0MVL5__BHV66_01660
ERR1913280.4538__1.4538	1262911__R6GPI7__BN557_00907
ERR1913280.4676__1.4676	1262911__R6H2J2__BN557_01228
ERR1913280.4738__1.4738	239935__A0A2N8I8X8__B5G29_00185
ERR1913280.4972__1.4972	28117__B0MY40__BHV66_05170
ERR1913280.4973__1.4973	1680__A0A087DKM6__B0042_0664
ERR1913280.5140__1.5140	239935__A0A139TMY7__CXU13_02020
ERR1913280.5143__1.5143	823__A0A355XKQ8__DHP27_04010
ERR1913280.5194__1.5194	360807__A0A1Q6T326__appA_1
ERR1913280.5274__1.5274	218538__C9LM16__csm1
ERR1913280.5453__1.5453	820__A0A139KIL9__DXC68_05945
ERR1913280.5539__1.5539	820__A0A3E4RU03__M093_0563
ERR1913280.5673__1.5673	1262911__R6GSH0__BN557_00934
ERR1913280.5997__1.5997	820__A7UYX8__DXD40_11635
ERR1913280.6138__1.6138	820__A0A174M9V5__M093_0237
ERR1913280.6162__1.6162	1683__C4FCR2__BIFANG_02088
ERR1913280.6231__1.6231	39491__A0A3E4YFT8__DXB69_10940
ERR1913280.6305__1.6305	823__K6ACX1__ERS852513_00266
ERR1913280.6544__1.6544	552398__F4XCR9__HMPREF0866_01636
ERR1913280.6576__1.6576	338188__A0A174FX32__BACFIN_08981
ERR1913280.6599__1.6599	357276__D1JZM4__HMPREF1065_01278
ERR1913280.6620__1.6620	674529__R6UVG4__DXB21_01250
ERR1913280.6754__1.6754	820__R9I3Q7__HMPREF1072_01668
ERR1913280.6807__1.6807	1262911__R6GSH0__BN557_00934
ERR1913280.6884__1.6884	39492__D4JTF2__mutS2
ERR1913280.7132__1.7132	28117__B0MTY2__BHV66_06485
ERR1913280.7314__1.7314	823__A6LEF1__CF162_12695
ERR1913280.7529__1.7529	28117__B0MXL6__ALIPUT_01851
ERR1913280.7663__1.7663	487174__K0X2Q8__DDY40_04590
ERR1913280.7665__1.7665	39491__A0A395ZDC6__addB
ERR1913280.7867__1.7867	47678__A5ZF31__DXB67_11050
ERR1913280.7817__1.7817	820__A0A174CK74__DXB48_07060
ERR1913280.8005__1.8005	28117__R7JIY2__BHV66_06465
ERR1913280.8134__1.8134	820__A0A1Q6IDS8__chtA
ERR1913280.8162__1.8162	384638__B7ARU3__BACPEC_01797
ERR1913280.8421__1.8421	823__C7XC05__ERS852429_02119
ERR1913280.8470__1.8470	40518__R5DUG7__sbcC
ERR1913280.8617__1.8617	823__A0A174U5E4__BDI_3390
ERR1913280.8600__1.8600	338188__C9L1F9__BACFIN_08436
ERR1913280.8743__1.8743	239935__A0A2N8IG27__CXT85_07805
ERR1913280.8826__1.8826	40520__A0A395XAI7__DXB81_16005
ERR1913280.8947__1.8947	1160721__W0U3Z9__RBI_I00543
ERR1913280.9037__1.9037	821__I9R3W6__DXC16_12455
ERR1913280.9044__1.9044	39491__A0A396FEW6__T1815_18721
ERR1913280.9523__1.9523	1681__A0A0H2PP44__BBTM_02041
ERR1913280.9603__1.9603	1263044__GCA_000433375.1_02417
ERR1913280.9566__1.9566	1262743__R5C054__BN727_01980
ERR1913280.9786__1.9786	310297__B5CUF3__DXB87_07245
ERR1913280.9807__1.9807	39491__C4ZC33__DXC13_11585
ERR1913280.9838__1.9838	39491__A0A396FMF1__EUR_28700
ERR1913280.10077__1.10077	239935__A0A2N8I1R3__CXU05_06075
ERR1913280.10093__1.10093	820__A0A174Q0F0__DXB48_08080
ERR1913280.10211__1.10211	820__A0A139JRS5__HMPREF1073_04025
ERR1913280.10255__1.10255	239935__A0A2N8HB50__CXU17_02615
ERR1913280.10557__1.10557	39492__D4JQU6__ERS852540_02194
ERR1913280.10594__1.10594	166486__A0A173V5I7__ERS852572_02640
ERR1913280.10764__1.10764	28117__R7JMT0__BHV66_05875
ERR1913280.10893__1.10893	1150298__A0A174R4D7__tmpC_2
ERR1913280.10827__1.10827	39492__D4MMN2__EUBSIR_00964
ERR1913280.10926__1.10926	239935__A0A139TMG9__CXU07_10650
ERR1913280.10941__1.10941	165179__A0A229I9X5__CFT61_01205
ERR1913280.11246__1.11246	301301__A0A395V7X3__RHOM_05050
ERR1913280.11299__1.11299	1262911__R6GTZ4__BN557_01440
ERR1913280.11451__1.11451	487174__K0X551__HMPREF9448_02151
ERR1913280.11413__1.11413	1160721__W0U2W0__BHW50_02075
ERR1913280.11515__1.11515	1681__A0A286T9U4__DD698_01470
ERR1913280.11581__1.11581	1262889__R7H9H9__BN634_02436
ERR1913280.11682__1.11682	40518__R5DP21__RBATCC27255_00348
ERR1913280.11770__1.11770	823__A0A355XLH0__fepA_1
ERR1913280.11801__1.11801	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913280.11968__1.11968	28117__B0MXU6__ALIPUT_01958
ERR1913280.11976__1.11976	1262911__R6H174__BN557_01246
ERR1913280.12071__1.12071	487174__K0WYI1__DDY40_08675
