ERR1912996.488__1.488	45851__D4RY81__BUTYVIB_00786
ERR1912996.608__1.608	1680__A0A3E4SB79__BAD_1517
ERR1912996.876__1.876	40518__R5E6K5__speA
ERR1912996.889__1.889	1262936__R7J0S3__BN799_01459
ERR1912996.1164__1.1164	1299998__GCA_001494635.1_00345
ERR1912996.1212__1.1212	1262911__R6HHR1__BN557_01622
ERR1912996.1442__1.1442	28052__A0A174YYK2__ERS852451_01810
ERR1912996.1554__1.1554	147206__GCF_000156215.1_01774
ERR1912996.1709__1.1709	1262936__R7J354__BN799_00281
ERR1912996.1965__1.1965	1262911__R6GW73__BN557_00128
ERR1912996.2182__1.2182	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1912996.2426__1.2426	1262936__R7J420__BN799_00406
ERR1912996.2449__1.2449	1686__B6XWA4__BIFCAT_01494
ERR1912996.2715__1.2715	301302__A0A173TYC8__M72_00761
ERR1912996.2861__1.2861	1262816__R6CV28__BN687_01143
ERR1912996.2927__1.2927	1263006__R6LQ17__BN515_02097
ERR1912996.3021__1.3021	853__E2ZGD9__C7J97_11715
ERR1912996.3035__1.3035	39485__C4Z0T2__ykvU
ERR1912996.3764__1.3764	1680__A0A087DHN0__AL0462_1532
ERR1912996.3905__1.3905	1897011__A0A1Q6RJW7__BHW41_00060
ERR1912996.4136__1.4136	1680__A0A173Y6N7__yhaH
ERR1912996.4265__1.4265	1680__A0A087DHN0__AL0462_1532
ERR1912996.4315__1.4315	2081702__A0A2S0LRN2__C3V41_09285
ERR1912996.4609__1.4609	1262911__R6GY22__BN557_00023
ERR1912996.4626__1.4626	1297617__A0A0S2W0W8__BIV19_14460
ERR1912996.4772__1.4772	1262936__R7J172__BN799_01663
ERR1912996.4988__1.4988	40518__R5DU52__RB5AMG_02245
ERR1912996.4989__1.4989	1262961__R6DSH9__BN710_01201
ERR1912996.5200__1.5200	301302__R5VGE0__ERS852420_00121
ERR1912996.5272__1.5272	901__B6WTT7__DESPIG_01494
ERR1912996.5413__1.5413	100884__E7GFK8__HMPREF9488_03551
ERR1912996.5533__1.5533	28111__R5K5Y0__NCTC11155_03071
ERR1912996.5760__1.5760	239935__A0A2N8I3G2__CXT89_00720
ERR1912996.5829__1.5829	1261__D3MR67__SAMN05660467_01650
ERR1912996.5938__1.5938	165179__D1PAJ7__PREVCOP_04222
ERR1912996.5984__1.5984	1262919__R5PT72__BN465_02306
ERR1912996.6135__1.6135	39491__A0A395V1Y4__DXB99_08035
ERR1912996.6249__1.6249	301302__A0A173RJJ7__ERS852420_00620
ERR1912996.6298__1.6298	301302__R5VFU2__xynA1
ERR1912996.6410__1.6410	1680__A0A087DHN0__AL0462_1532
ERR1912996.6489__1.6489	630129__A0A087B617__BKAS_1320
ERR1912996.6557__1.6557	1262936__R7J6M0__BN799_00574
ERR1912996.6568__1.6568	1262911__R6HL30__BN557_00519
ERR1912996.6571__1.6571	1263000__R5EXT3__BN466_02213
ERR1912996.6584__1.6584	45851__D4RWC5__BHV86_07005
ERR1912996.6610__1.6610	1262936__R7J5J9__BN799_00247
ERR1912996.6639__1.6639	216816__E8MW20__DD674_07905
ERR1912996.6667__1.6667	901__B6WRD8__DHV46_04960
ERR1912996.6727__1.6727	39491__C4Z9Y3__ERS852417_01808
ERR1912996.6767__1.6767	446660__GCA_003428235.1_00470
ERR1912996.6944__1.6944	1262936__R7J0W9__BN799_00634
ERR1912996.6949__1.6949	116085__D4J4T4__DW747_02695
ERR1912996.7305__1.7305	28052__A0A174JNB2__ERS852499_01122
ERR1912996.7350__1.7350	1262936__R7J358__BN799_01390
ERR1912996.7757__1.7757	572010__tgt
ERR1912996.7829__1.7829	1262882__R5N708__BN519_00095
ERR1912996.7992__1.7992	1897011__A0A1Q6RI93__BHW41_01175
ERR1912996.8118__1.8118	1262911__R6GI18__BN557_01377
ERR1912996.8091__1.8091	1628085__A0A2U1B8P2__C7386_11431
ERR1912996.8362__1.8362	165179__A0A229I740__DXC61_10430
ERR1912996.8366__1.8366	1680__A0A2R4G1K8__BBMN23_0315
ERR1912996.8375__1.8375	1262936__R7IZ99__BN799_01076
ERR1912996.8498__1.8498	2022527__A0A264Y6S5__CHL74_08455
ERR1912996.8469__1.8469	1262936__R7J0Z2__BN799_00650
ERR1912996.8681__1.8681	1628085__A0A3E2XSL7__C7386_12131
ERR1912996.8768__1.8768	1262936__R7IY78__BN799_00717
ERR1912996.8897__1.8897	301301__A0A395V8M7__ERS852391_00967
ERR1912996.9081__1.9081	39491__A0A395ZHW9__DXC13_02590
ERR1912996.9190__1.9190	165179__A0A174SR12__DXB80_04410
ERR1912996.9341__1.9341	1262882__R5N678__BN519_01604
ERR1912996.9499__1.9499	216816__B3DRU6__DPC6323_0992
ERR1912996.9671__1.9671	301302__A0A173UT39__M72_23901
ERR1912996.9685__1.9685	1680__A0A174BEE7__BSTER_1311
ERR1912996.9722__1.9722	1680__A0A174BEE7__BSTER_1311
ERR1912996.9796__1.9796	1897011__A0A1Q6RC19__BHW41_06415
ERR1912996.10131__1.10131	45851__D4S0C7__BHV86_10030
ERR1912996.10316__1.10316	40518__R5E0F2__RBATCC27255_01890
ERR1912996.10547__1.10547	1680__A0A174BEE7__BSTER_1311
ERR1912996.10575__1.10575	28052__R7NEJ4__ERS852451_01746
ERR1912996.10717__1.10717	1262936__R7J420__BN799_00406
ERR1912996.11150__1.11150	1262919__R5PF05__BN465_01997
ERR1912996.11247__1.11247	626940__E8LGH2__DCQ00_03540
ERR1912996.11314__1.11314	1897011__A0A1Q6REZ1__BHW41_04525
ERR1912996.11366__1.11366	901__B6WRI8__DHV46_05150
ERR1912996.11445__1.11445	1263027__R7A798__BN699_01307
