ERR1913259.103__1.103	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913259.74__1.74	301302__R5UUM8__ganB_1
ERR1913259.182__1.182	418240__A0A174FQH1__yutF
ERR1913259.207__1.207	1263011__R6EQB8__BN553_00541
ERR1913259.324__1.324	39488__A0A174JJ33__EHLA_1099
ERR1913259.377__1.377	187327__G4Q8F0__ACDG_01813
ERR1913259.410__1.410	1680__R5GZF2__DXC60_01925
ERR1913259.415__1.415	116085__D4J425__spoIVB
ERR1913259.435__1.435	322505__xre_3
ERR1913259.473__1.473	1262848__R6UB32__BN818_01453
ERR1913259.812__1.812	88431__A0A173UIQ4__lip2
ERR1913259.823__1.823	39491__A0A395UZL1__DXB76_05950
ERR1913259.907__1.907	821__D4VD59__BHV80_04260
ERR1913259.981__1.981	387090__S0F8B2__BACCOPRO_02129
ERR1913259.1422__1.1422	239935__A0A139TPG3__CXT86_08810
ERR1913259.1509__1.1509	649756__B0NYW1__DCR88_01045
ERR1913259.1643__1.1643	116085__D4J4J2__DW747_14050
ERR1913259.1986__1.1986	301301__R6NZ24__dapF_2
ERR1913259.1956__1.1956	1262911__R6GTB9__BN557_01187
ERR1913259.2111__1.2111	40520__A0A174HUC5__DXB81_16470
ERR1913259.2186__1.2186	216816__A0A2U0BLP0__tsaB
ERR1913259.2217__1.2217	1263000__R5EXT3__BN466_02213
ERR1913259.2220__1.2220	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1913259.2430__1.2430	301302__R5ULQ3__ERS852420_02626
ERR1913259.2560__1.2560	39491__A0A396FQV7__T1815_10751
ERR1913259.2490__1.2490	1680__A0A0C2YPV2__AL0462_1474
ERR1913259.2935__1.2935	39491__A0A395ZEN3__DXD95_12655
ERR1913259.2964__1.2964	74426__infB
ERR1913259.3381__1.3381	1680__A0A1X2ZFB6__AD0028_0856
ERR1913259.3583__1.3583	39488__A0A173T8Z7__hemZ_2
ERR1913259.3816__1.3816	239935__A0A2N8HUU6__CXT90_06150
ERR1913259.3904__1.3904	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913259.3941__1.3941	357276__B6W1Y1__BSEG_03960
ERR1913259.3961__1.3961	239935__B2UNC5__B5G29_07685
ERR1913259.3995__1.3995	2173__A0A1D2WT18__METSMIALI_00395
ERR1913259.4241__1.4241	1262911__R6H0U7__BN557_01104
ERR1913259.4806__1.4806	1150298__A0A174PHI0__ERS852498_00826
ERR1913259.4936__1.4936	40520__A0A174IJ62__DXC87_06795
ERR1913259.5034__1.5034	1262924__R7HRE7__BN585_00055
ERR1913259.5239__1.5239	1308__Q5M5Z8__STACADC2_0257
ERR1913259.5396__1.5396	823__D7ILK2__ERS852380_00031
ERR1913259.5470__1.5470	40518__R5DP91__RBL236_00890
ERR1913259.5499__1.5499	1263011__R6DVT7__BN553_00768
ERR1913259.5597__1.5597	820__A0A174M9V5__M093_0237
ERR1913259.5697__1.5697	1263044__GCA_000433375.1_00495
ERR1913259.5729__1.5729	39491__A0A396FUZ3__phoR_1
ERR1913259.5783__1.5783	1262911__R6H1B2__BN557_00840
ERR1913259.6238__1.6238	1680__R5GR82__AD0028_0014
ERR1913259.6341__1.6341	239935__R6JD78__CXU05_09250
ERR1913259.6625__1.6625	1550024__G9RTN6__TQ39_08170
ERR1913259.6801__1.6801	823__D0T9E4__DHW69_09115
ERR1913259.6873__1.6873	28117__B0MTY2__BHV66_06485
ERR1913259.7082__1.7082	626940__R6X0Z1__DCQ00_01035
ERR1913259.7157__1.7157	116085__D4JBV9__DW747_00800
ERR1913259.7195__1.7195	1263107__GCA_000436995.1_00208
ERR1913259.7196__1.7196	1681__A0A2U0BVK5__B0156_0307
ERR1913259.7334__1.7334	28117__R7JLL3__ALIPUT_02219
ERR1913259.7374__1.7374	1680__A0A087DHN0__AL0462_1532
ERR1913259.7575__1.7575	745368__A0A1T4Y746__SAMN02745178_02815
ERR1913259.7722__1.7722	239935__A0A2N8I368__CXT95_04550
ERR1913259.7837__1.7837	1550024__G9RNN4__ASJ35_08335
ERR1913259.8002__1.8002	45851__D4RWS3__BUTYVIB_00110
ERR1913259.8265__1.8265	1262924__R7HPG6__BN585_00099
ERR1913259.8270__1.8270	40518__R5E6K4__RB5AMG_02070
ERR1913259.8256__1.8256	1681__A0A292G7V3__BBIF_1776
ERR1913259.8791__1.8791	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913259.8838__1.8838	360807__A0A173VUT6__RIL183_10071
ERR1913259.8961__1.8961	626940__E8LCL8__DCQ00_09880
ERR1913259.9132__1.9132	74426__group_4823
ERR1913259.9375__1.9375	1381__group_1200
ERR1913259.9475__1.9475	239935__A0A2N8HMQ8__pgsA
ERR1913259.9707__1.9707	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913259.9761__1.9761	387090__S0F7Y3__BACCOPRO_02028
ERR1913259.9840__1.9840	39491__A0A395UUN5__EUBREC_0291
ERR1913259.9881__1.9881	1262736__R5Y8Z5__BN496_01182
ERR1913259.10318__1.10318	45851__D4RZ82__BHV86_03550
ERR1913259.10392__1.10392	853__A0A173XRA8__CGS56_09290
ERR1913259.10592__1.10592	74426__purL
ERR1913259.10782__1.10782	46503__R6X5I4__ERS852463_01136
ERR1913259.10870__1.10870	820__A0A1Q6IDS8__chtA
ERR1913259.10953__1.10953	357276__A0A076IRZ5__BACDOR_00630
ERR1913259.11259__1.11259	1262848__R6U6L1__BN818_00132
ERR1913259.11314__1.11314	1378168__V2YA11__N510_02528
ERR1913259.11872__1.11872	1550024__A0A3B9WGK5__TQ39_08450
ERR1913259.12038__1.12038	187327__G4Q5W9__ACDG_01996
ERR1913259.12190__1.12190	1262761__R6RU22__BN606_01110
ERR1913259.12257__1.12257	39492__D4JRV7__EUBSIR_01513
ERR1913259.12272__1.12272	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913259.12465__1.12465	239935__A0A2N8HAQ1__DEF40_05290
ERR1913259.12527__1.12527	1262924__R7HM98__BN585_01697
ERR1913259.12655__1.12655	1739406__A0A1S1EGH5__HMPREF2902_01215
ERR1913259.12836__1.12836	1262848__R6UBC5__BN818_01849
ERR1913259.12856__1.12856	39492__A0A174Z2N0__EUBSIR_01615
ERR1913259.13413__1.13413	1262700__R5XC07__BN695_01332
ERR1913259.13521__1.13521	818__A0A0P0FBI1__NCTC10582_00163
ERR1913259.13529__1.13529	1680__A0A087DHN0__AL0462_1532
ERR1913259.13551__1.13551	239935__A0A2N8I9P4__CXT85_05050
ERR1913259.13591__1.13591	1680__A0A0B5BKZ3__DXD60_01450
ERR1913259.13624__1.13624	820__A0A3E4RU03__M093_0563
ERR1913259.13697__1.13697	28025__D3R7B4__CDD75_01389
ERR1913259.13707__1.13707	1262924__R7HM98__BN585_01697
ERR1913259.13777__1.13777	820__A0A3E4WA06__ERS852554_03404
ERR1913259.13923__1.13923	2173__A5UJ58__BK798_03985
ERR1913259.13959__1.13959	1262848__R6VK39__BN818_01786
ERR1913259.13997__1.13997	239935__A0A2N8HT18__CXT93_06135
ERR1913259.14034__1.14034	853__R6QDR1__C4N27_08170
ERR1913259.14071__1.14071	40520__R7DAS6__ERS852533_00380
ERR1913259.14210__1.14210	1263000__R5EPJ2__BN466_00954
ERR1913259.14238__1.14238	239935__A0A139TPD4__CXT86_06450
ERR1913259.14492__1.14492	40518__R5DTH7__DXD83_02405
ERR1913259.14801__1.14801	820__A0A174CG08__DXB62_13215
ERR1913259.15047__1.15047	1262924__R7HQD9__BN585_00129
ERR1913259.15220__1.15220	394340__carB
ERR1913259.15317__1.15317	216816__B3DNW2__BL171B_07980
ERR1913259.15372__1.15372	853__A0A173XRA8__CGS56_09290
ERR1913259.15463__1.15463	1263006__R6LU28__BN515_01365
ERR1913259.15515__1.15515	261299__B0ABT6__SAMN02745147_0733
ERR1913259.15642__1.15642	216816__B3DNW2__BL171B_07980
ERR1913259.15681__1.15681	239935__A0A2N8INK7__Amuc_0521
ERR1913259.15742__1.15742	218139__GCA_002259595.1_01323
ERR1913259.15846__1.15846	239935__A0A2N8HL50__CXT98_09135
ERR1913259.15850__1.15850	1680__R5GR82__AD0028_0014
ERR1913259.15954__1.15954	39491__A0A173QT73__alaS_2
ERR1913259.16081__1.16081	239935__A0A2N8ITX2__CXT86_11265
ERR1913259.16213__1.16213	626940__E8LCG7__DCQ00_01770
ERR1913259.16622__1.16622	1535__A7VPV5__CLOLEP_00582
ERR1913259.16951__1.16951	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913259.17080__1.17080	239935__A0A2N8ITG2__Amuc_0335
ERR1913259.17440__1.17440	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913259.17643__1.17643	74426__purL
ERR1913259.17760__1.17760	2173__A0A1D2WWF3__METSMIALI_00379
ERR1913259.17785__1.17785	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913259.18103__1.18103	28117__B0MXG8__ALIPUT_01814
ERR1913259.18298__1.18298	1262924__R7HQ03__BN585_01295
ERR1913259.18383__1.18383	147206__GCF_000156215.1_01297
ERR1913259.18433__1.18433	39486__B0G2A7__DXB12_08805
ERR1913259.18472__1.18472	39491__C4ZHS4__EUR_24420
ERR1913259.18977__1.18977	45851__D4RXA4__BUTYVIB_00455
ERR1913259.19036__1.19036	216816__A0A0S2MCH0__AYW81_04880
ERR1913259.19105__1.19105	1550024__G9RXH7__TQ39_11565
ERR1913259.19133__1.19133	39491__A0A174LTW7__DXD13_08720
ERR1913259.19134__1.19134	1262911__R6H2J2__BN557_01228
ERR1913259.19276__1.19276	39491__C4ZAT2__ERE_28440
ERR1913259.19490__1.19490	239935__A0A2N8IRW0__A4V05_11620
ERR1913259.19730__1.19730	1550024__G9RQ59__TQ39_14360
ERR1913259.19850__1.19850	1262882__R5MZZ3__BN519_00482
ERR1913259.19932__1.19932	214856__I3YK71__ERS852559_02472
ERR1913259.19974__1.19974	418240__A0A173YIF6__ypdA_1
ERR1913259.20031__1.20031	39490__A0A173S8F7__ERS852448_00834
ERR1913259.20110__1.20110	39485__R5ZRN3__ERS852490_00208
ERR1913259.20212__1.20212	357276__I9R994__BACDOR_04044
ERR1913259.20361__1.20361	39491__A0A395V5R3__EUBREC_1883
ERR1913259.20681__1.20681	1262911__R6GVD4__BN557_01470
ERR1913259.20774__1.20774	1520815__A0A1I3Q9U1__SAMN02910435_01736
ERR1913259.21012__1.21012	820__A7V049__DXB48_04755
ERR1913259.20993__1.20993	39485__A0A174YVS4__EUBELI_00620
ERR1913259.21092__1.21092	357276__A0A076IXE0__HMPREF1064_04364
ERR1913259.21207__1.21207	39492__B0MNU1__ERS852540_02349
ERR1913259.21349__1.21349	626929__F3PIQ8__B5F24_04010
ERR1913259.21382__1.21382	239935__B2UQP8__CXU15_01110
ERR1913259.21512__1.21512	907__G0VNT3__MELS_0889
ERR1913259.21670__1.21670	487174__K0WZU9__HMPREF9448_01159
ERR1913259.22017__1.22017	357276__B6W5Q9__HMPREF1063_03125
ERR1913259.22060__1.22060	384638__B7ASI3__BACPEC_02038
ERR1913259.22164__1.22164	1680__A0A0C2YPV2__AL0462_1474
ERR1913259.22383__1.22383	1897011__A0A1Q6RGE1__BHW41_02880
ERR1913259.22485__1.22485	40518__R5DQL2__RBATCC27255_00937
ERR1913259.22572__1.22572	1520815__A0A1I3I8B3__SAMN02910435_00065
ERR1913259.22653__1.22653	39491__A0A173TFQ1__rsmF
ERR1913259.22814__1.22814	1150298__A0A174HHW8__yhbU_1
ERR1913259.22839__1.22839	1262736__R5YAV6__BN496_01775
ERR1913259.22972__1.22972	239935__A0A2N8IUW6__Amuc_1525
ERR1913259.23334__1.23334	216816__C2GSX7__DD678_03555
ERR1913259.23345__1.23345	1262992__R5DA07__BN795_01576
ERR1913259.23360__1.23360	1681__A0A286TCN9__LMG13195_0626
ERR1913259.23369__1.23369	133926__E1QWV3__Olsu_1507
ERR1913259.23392__1.23392	216816__C5E9A6__mutT4
ERR1913259.23467__1.23467	1681__U2CEB2__RY70_929
ERR1913259.23468__1.23468	410072__C0BC88__DXD67_11180
ERR1913259.23843__1.23843	28025__D3R5W6__BAA6_1120
ERR1913259.23894__1.23894	907__S7HS10__SAMN04488492_1154
ERR1913259.24028__1.24028	216816__A0A2N0SME6__BLIF_1881
ERR1913259.24071__1.24071	1680__A0A087DLC6__C8077_00815
ERR1913259.24084__1.24084	216816__E8MVM4__APC1480_1562
ERR1913259.24305__1.24305	387090__S0F7Y3__BACCOPRO_02028
ERR1913259.24707__1.24707	187327__G4Q7M4__ACDG_01826
ERR1913259.24742__1.24742	39491__D6E4H2__DXB99_00485
ERR1913259.24797__1.24797	1308__Q5M5L9__X841_02550
ERR1913259.24760__1.24760	2173__A0A1D2WX40__BK798_08810
ERR1913259.24830__1.24830	239935__R6JWJ7__CXT94_02580
ERR1913259.25358__1.25358	39488__A0A285PP42__cobQ
ERR1913259.25452__1.25452	1680__A7A7Z9__AAX71_05385
ERR1913259.25472__1.25472	1262992__R5DGC6__BN795_00540
