ERR1913185.233__1.233	487174__K0WYG8__HMPREF9448_01522
ERR1913185.329__1.329	907__G0VRQ8__C6362_10580
ERR1913185.413__1.413	39491__A0A395V2Y7__DXB72_13970
ERR1913185.262__1.262	1262882__R5MZZ3__BN519_00482
ERR1913185.281__1.281	1262882__R5N5D7__BN519_01676
ERR1913185.538__1.538	1262882__R5MLE6__BN519_01423
ERR1913185.621__1.621	40518__R5DXI4__DXD86_07420
ERR1913185.660__1.660	1680__A0A087DSA4__B5789_0495
ERR1913185.707__1.707	28111__E5X119__NCTC11155_02426
ERR1913185.814__1.814	40518__R5DYM0__DXD86_08165
ERR1913185.816__1.816	100886__E2NNQ5__CATMIT_00187
ERR1913185.845__1.845	1262882__R5MYP8__BN519_00439
ERR1913185.893__1.893	821__I9R3W6__DXC16_12455
ERR1913185.1078__1.1078	1262882__R5N0H9__BN519_00764
ERR1913185.1114__1.1114	1262882__R5MGX3__BN519_00046
ERR1913185.1188__1.1188	820__A0A173YYG4__evgS_3
ERR1913185.1332__1.1332	28111__E5X205__NCTC11155_00661
ERR1913185.1417__1.1417	39491__A0A395ZHW3__ERS852417_01359
ERR1913185.1496__1.1496	147207__atpD
ERR1913185.1582__1.1582	40518__R5DZM6__lytR_3
ERR1913185.1667__1.1667	853__A0A174BZY1__xerD_1
ERR1913185.1815__1.1815	33031__D1VS13__NCTC13149_00183
ERR1913185.1976__1.1976	39491__A0A395V0H6__ERS852580_02570
ERR1913185.2184__1.2184	907__G0VS49__AZ49_07820
ERR1913185.2221__1.2221	46506__B0NT08__BACSTE_02624
ERR1913185.2334__1.2334	907__G0VMT7__SAMN02910401_01531
ERR1913185.2362__1.2362	907__G0VM90__CJO36_11035
ERR1913185.2424__1.2424	1262911__R6GPQ2__BN557_00967
ERR1913185.2433__1.2433	28111__E5X237__NCTC11155_00628
ERR1913185.2410__1.2410	39491__C4ZHS4__EUR_24420
ERR1913185.2455__1.2455	39491__A0A395V0H3__ERS852417_01192
ERR1913185.2593__1.2593	47678__R5U558__ERS852558_02232
ERR1913185.2637__1.2637	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913185.2651__1.2651	1680__A0A0C2YNK5__BADO_0780
ERR1913185.2699__1.2699	28117__B0MZ14__ALIPUT_02383
ERR1913185.2721__1.2721	1160721__W0U8M9__RBI_II00386
ERR1913185.2824__1.2824	214856__A0A174ZER9__ERS852559_00614
ERR1913185.2833__1.2833	39491__A0A395V0E5__ERE_31370
ERR1913185.2864__1.2864	33039__D4M1A7__RTO_02350
ERR1913185.3151__1.3151	28117__R7JLL3__ALIPUT_02219
ERR1913185.3153__1.3153	1680__A0A3E4SB79__BAD_1517
ERR1913185.3249__1.3249	821__A0A395US34__C5Z04_18975
ERR1913185.3258__1.3258	907__G0VRN7__SAMN02910401_00240
ERR1913185.3260__1.3260	820__A0A374Q854__HMPREF1073_03281
ERR1913185.3467__1.3467	39491__A0A2U2EI54__DXD95_12010
ERR1913185.3513__1.3513	39483__D4JES3__B5G15_06270
ERR1913185.3514__1.3514	187327__G4Q682__Acin_1672
ERR1913185.3533__1.3533	28118__R6F5X8__DF785_07935
ERR1913185.3548__1.3548	1160721__R6SW95__BHW50_08895
ERR1913185.3602__1.3602	214856__R6Y6H8__ERS852447_01719
ERR1913185.3579__1.3579	820__A0A3E4G826__C801_01612
ERR1913185.3663__1.3663	1262986__R6AME2__BN492_00932
ERR1913185.3695__1.3695	47678__R5UPZ8__ERS852494_01752
ERR1913185.3725__1.3725	1262986__R5ZVR7__BN492_01484
ERR1913185.3798__1.3798	1262911__R6HN72__BN557_00911
ERR1913185.3903__1.3903	39491__A0A3E4YFT8__DXB69_10940
ERR1913185.3946__1.3946	40518__R5DUU2__yvhJ_2
ERR1913185.3987__1.3987	2108523__A0A2P2F3W3__LAWASA_692
ERR1913185.4002__1.4002	1262882__R5N3T7__BN519_01188
ERR1913185.4065__1.4065	1262882__R5ML49__BN519_01361
ERR1913185.4078__1.4078	39491__A0A396FBR6__DXC13_08575
ERR1913185.4157__1.4157	665033__GeneID:8658827
ERR1913185.4270__1.4270	47678__R5UAI1__BACCAC_01922
ERR1913185.4359__1.4359	1262911__R6HIV6__BN557_01807
ERR1913185.4308__1.4308	626929__F3PM80__HMPREF9445_02977
ERR1913185.4520__1.4520	40518__R5DQD6__DXD83_09060
ERR1913185.4585__1.4585	821__A0A395VIK7__BVU_1225
ERR1913185.4696__1.4696	204516__U6R9H3__HMPREF1534_03348
ERR1913185.4757__1.4757	1160721__R6T8U0__atpF
ERR1913185.4764__1.4764	853__A0A3E2U7E6__ERS852582_01640
ERR1913185.4772__1.4772	46506__B0NQN6__AA415_00632
ERR1913185.4851__1.4851	74426__thrZ
ERR1913185.4870__1.4870	39491__A0A174EQV2__DXB69_10230
ERR1913185.4872__1.4872	562__P69229__G746_02312
ERR1913185.4880__1.4880	1262911__R6H054__BN557_00908
ERR1913185.4888__1.4888	28117__B0MT73__ALIPUT_00412
ERR1913185.4981__1.4981	1262882__R5MM96__BN519_01545
ERR1913185.5019__1.5019	39491__D6E118__DXB69_05765
ERR1913185.5143__1.5143	853__A0A174BZY1__xerD_1
ERR1913185.5174__1.5174	820__A0A173YYG4__evgS_3
ERR1913185.5325__1.5325	39491__A0A395UZZ5__htpG_1
ERR1913185.5331__1.5331	410072__A0A174E1G6__phoR_6
ERR1913185.5535__1.5535	820__E5VEH7__ERS852459_01300
ERR1913185.5588__1.5588	1796613__A0A1C7H300__A4V03_17350
ERR1913185.5735__1.5735	214856__I3YPR6__Alfi_2724
ERR1913185.5709__1.5709	853__A0A3E2V168__FAEPRAM212_00929
ERR1913185.5714__1.5714	1680__A0A087DHN0__AL0462_1532
ERR1913185.5790__1.5790	1262882__R5N678__BN519_01604
ERR1913185.5801__1.5801	820__A0A174CG08__DXB62_13215
ERR1913185.5807__1.5807	1535__A7VQJ1__CLOLEP_00821
ERR1913185.5873__1.5873	820__A0A139K4T0__ERS852510_03146
ERR1913185.5892__1.5892	1262882__R5MHZ2__BN519_00742
ERR1913185.5928__1.5928	39491__A0A396FIU1__DXC13_07905
ERR1913185.5944__1.5944	1262954__R7FAZ7__BN611_01116
ERR1913185.6006__1.6006	1262882__R5N678__BN519_01604
ERR1913185.6066__1.6066	823__A6LB62__B5F32_04550
ERR1913185.6070__1.6070	1680__A0A3E4SB79__BAD_1517
ERR1913185.6211__1.6211	46506__R6LDN0__HMPREF1181_03103
ERR1913185.6203__1.6203	1262911__R6GUE9__BN557_01306
ERR1913185.6526__1.6526	1262882__R5MFA5__BN519_00331
ERR1913185.6498__1.6498	28117__B0MT73__ALIPUT_00412
ERR1913185.6560__1.6560	1262882__R5MHQ8__BN519_00707
ERR1913185.6567__1.6567	39491__A0A396FJJ9__DXB76_11995
ERR1913185.6751__1.6751	387661__A7AHF8__PRABACTJOHN_00803
ERR1913185.6784__1.6784	1262882__R5N3H1__BN519_01121
ERR1913185.6853__1.6853	28111__R5JUK8__NCTC11155_02515
ERR1913185.6902__1.6902	39491__C4ZC33__DXC13_11585
ERR1913185.6819__1.6819	1262882__R5MGX3__BN519_00046
ERR1913185.7032__1.7032	1262882__R5MIC9__BN519_00834
ERR1913185.7056__1.7056	1262882__R5MGX3__BN519_00046
ERR1913185.7070__1.7070	907__R7MWA0__C6Y28_03250
ERR1913185.7181__1.7181	820__A0A139K1Y6__DXB48_02610
ERR1913185.7287__1.7287	301302__R5UPN9__M72_25701
ERR1913185.7328__1.7328	39483__D4JCK2__HMPREF0367_01382
ERR1913185.7367__1.7367	39492__D4JTW6__ERS852540_00220
ERR1913185.7340__1.7340	1262911__R6HN81__BN557_00921
ERR1913185.7466__1.7466	357276__B6W1Y1__BSEG_03960
ERR1913185.7539__1.7539	1235835__R9LCU2__C814_02677
ERR1913185.7623__1.7623	46503__A0A3E4ZW69__DXB85_02690
ERR1913185.7650__1.7650	39496__A5Z8N9__EUBVEN_02081
ERR1913185.7867__1.7867	28111__E5X205__NCTC11155_00661
ERR1913185.7870__1.7870	39483__U2PD17__B5G15_04095
