ERR1913246.489__1.489	84030__D6DE34__B5F06_14455
ERR1913246.517__1.517	357276__A0A076J0Y3__IY41_06810
ERR1913246.522__1.522	1501391__GCA_000786575.1_00052
ERR1913246.1201__1.1201	418240__C6J8M5__yiaD
ERR1913246.1449__1.1449	820__A0A174M9V5__M093_0237
ERR1913246.1465__1.1465	394340__typA
ERR1913246.1593__1.1593	216816__C2GSX7__DD678_03555
ERR1913246.1660__1.1660	328814__GCA_004558275.1_00135
ERR1913246.1709__1.1709	214856__I3YMN6__Alfi_1938
ERR1913246.1413__1.1413	10678__GeneID:2777427
ERR1913246.1738__1.1738	246787__A0A108T429__BACCELL_00192
ERR1913246.2155__1.2155	216816__D6DBD5__DXC32_04335
ERR1913246.2173__1.2173	246787__A0A0P0GMR5__HMPREF1062_04678
ERR1913246.2550__1.2550	10678__GeneID:2777481
ERR1913246.2482__1.2482	357276__A0A076J8M3__ABI39_13695
ERR1913246.2500__1.2500	10678__GeneID:2777386
ERR1913246.2737__1.2737	39491__A0A395ZDC6__addB
ERR1913246.2831__1.2831	10678__GeneID:2777384
ERR1913246.2966__1.2966	214856__A0A174EQR4__rsmA
ERR1913246.3128__1.3128	1432052__A0A1E3UKW2__BEI62_07835
ERR1913246.3388__1.3388	84030__D6DHQ4__B5F06_03225
ERR1913246.3588__1.3588	1550024__G9RPS1__TQ39_05000
ERR1913246.3852__1.3852	360807__A0A174EGV9__ROSEINA2194_01773
ERR1913246.4216__1.4216	88431__A0A174MYZ5__ycjP_7
ERR1913246.4582__1.4582	216816__D6ZWI5__B5781_1661
ERR1913246.4630__1.4630	1262911__R6GUQ4__BN557_01581
ERR1913246.4640__1.4640	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913246.4943__1.4943	1550024__G9RVD5__ASJ35_04350
ERR1913246.4928__1.4928	562__P0AF07__motB_2
ERR1913246.4934__1.4934	508460__GCF_000585335.1_00257
ERR1913246.5075__1.5075	357276__I9F327__DXD47_22495
ERR1913246.5204__1.5204	214856__R6YC22__ERS852447_01215
ERR1913246.5227__1.5227	40518__R5E426__DXD93_04485
ERR1913246.5276__1.5276	39492__D4JWP8__EUBSIR_00699
ERR1913246.5414__1.5414	10678__GeneID:2777493
ERR1913246.5615__1.5615	823__A6LBY1__ERS852380_00510
ERR1913246.5694__1.5694	357276__I9FGI3__EL88_12385
ERR1913246.5752__1.5752	216816__A0A396FVC5__BL71B_00290
ERR1913246.5770__1.5770	10678__GeneID:2777444
ERR1913246.5901__1.5901	246787__I8V2S2__BACCELL_02524
