ERR1913147.60__1.60	28117__B0MTV5__BHV66_06415
ERR1913147.85__1.85	1780376__A0A143XSC4__BN3659_01663
ERR1913147.566__1.566	46503__K6A7H7__DCY29_03460
ERR1913147.689__1.689	239935__R6J9Y2__CXT85_07000
ERR1913147.697__1.697	371601__I9UUB0__SAMN04487924_11836
ERR1913147.606__1.606	239935__A0A2N8HBP0__CXT94_04450
ERR1913147.781__1.781	239935__A0A2N8HB50__CXU17_02615
ERR1913147.986__1.986	39488__A0A173T9I3__EHLA_2994
ERR1913147.1161__1.1161	39485__A0A174YIY1__cheY_1
ERR1913147.1198__1.1198	239935__R7E524__CXT91_06180
ERR1913147.1275__1.1275	239935__A0A2N8IUQ8__CXU09_01665
ERR1913147.1804__1.1804	239935__A0A2N8HBM4__CXT85_06270
ERR1913147.2436__1.2436	239935__A0A2N8I8X8__B5G29_00185
ERR1913147.2583__1.2583	820__A0A174KKV6__DXC07_02635
ERR1913147.2620__1.2620	214856__A0A173XVL4__ERS852559_00242
ERR1913147.2624__1.2624	301302__R5VFU2__xynA1
ERR1913147.2657__1.2657	239935__A0A2N8HZW2__A4V05_11120
ERR1913147.2662__1.2662	46503__R6X6Y1__DCY29_15600
ERR1913147.2855__1.2855	1150298__A0A174NLT0__araC_6
ERR1913147.2914__1.2914	28116__A0A1Y4Q119__DXD69_10975
ERR1913147.2982__1.2982	1262882__R5MLA4__BN519_01536
ERR1913147.3083__1.3083	214856__A0A175A6T5__ERS852447_02658
ERR1913147.3318__1.3318	28116__A7LXU0__HMPREF1070_00358
ERR1913147.3394__1.3394	214856__A0A174Z9Y8__ERS852559_00247
ERR1913147.3430__1.3430	166486__D4KUT4__ERS852572_01421
ERR1913147.3485__1.3485	820__A0A174F696__macB_13
ERR1913147.3671__1.3671	28117__B0MYA9__BHV66_07790
ERR1913147.3699__1.3699	28117__B0MY41__BHV66_05165
ERR1913147.3789__1.3789	2173__A0A1D2WSN7__Msm_1465
ERR1913147.3790__1.3790	301302__A0A173UN64__manA_2
ERR1913147.3793__1.3793	1262869__R7CN33__BN625_01339
ERR1913147.3903__1.3903	39491__A0A395V0E5__ERE_31370
ERR1913147.4129__1.4129	40520__R7D6H0__RUMOBE_03886
ERR1913147.4231__1.4231	239935__A0A2N8HBM4__CXT85_06270
ERR1913147.4209__1.4209	820__A0A3E4VXP2__yesR
ERR1913147.4217__1.4217	1262911__R6GSH8__BN557_00939
ERR1913147.4370__1.4370	39491__A0A396FP46__cobD_2
ERR1913147.4379__1.4379	1262869__R7CRY6__BN625_00452
ERR1913147.4669__1.4669	239935__A0A139TPU7__CXT91_06575
ERR1913147.4715__1.4715	1262911__R6GKS1__BN557_00184
ERR1913147.5135__1.5135	46503__R6X6L7__HMPREF1060_00291
ERR1913147.5201__1.5201	1263107__GCA_000436995.1_00168
ERR1913147.5294__1.5294	820__A0A374Q351__DXD40_05850
ERR1913147.5339__1.5339	1160721__R6TH82__BHW50_00835
ERR1913147.5386__1.5386	820__A0A396EUU8__luxQ_3
ERR1913147.5605__1.5605	166486__A0A173V5I7__ERS852572_02640
ERR1913147.5612__1.5612	239935__B2UPZ6__CXU03_03800
ERR1913147.5712__1.5712	239935__R7DVW2__CXU02_03915
ERR1913147.5982__1.5982	410072__A0A173S248__ERS852525_02992
ERR1913147.6006__1.6006	239935__A0A2N8IV82__CXT99_06735
ERR1913147.6056__1.6056	292800__A0A096B6V4__tap_3
ERR1913147.6155__1.6155	46503__R6WY21__DXB85_01605
ERR1913147.6297__1.6297	1263107__GCA_000436995.1_00143
ERR1913147.6329__1.6329	166486__C7GCP5__ROSINTL182_07683
ERR1913147.6385__1.6385	2292352__A0A374UJE7__DXC23_11305
ERR1913147.6436__1.6436	820__A0A139K5E7__DXC68_09550
ERR1913147.6500__1.6500	28116__A0A1G6G9R4__CUY_0131
ERR1913147.6522__1.6522	239935__A0A139TPD8__CXU12_11015
ERR1913147.6575__1.6575	39488__C0ERS5__EHLA_2242
ERR1913147.6746__1.6746	239935__A0A2N8J2P6__ADH72_06730
ERR1913147.6932__1.6932	239935__R7E524__CXT91_06180
ERR1913147.6945__1.6945	28117__B0MYM2__BHV66_04910
ERR1913147.7046__1.7046	820__A0A1T4IYF4__mprA_1
ERR1913147.7152__1.7152	239935__A0A2N8HM32__CXT85_08075
ERR1913147.7188__1.7188	46503__R6Y4M7__HMPREF1078_03269
ERR1913147.7219__1.7219	820__A0A174CK74__DXB48_07060
ERR1913147.7319__1.7319	821__A0A3E4HP25__SAMN04487923_102450
ERR1913147.7399__1.7399	820__A0A3E4WCC2__lptB_1
ERR1913147.7890__1.7890	239935__A0A2N8INK7__Amuc_0521
ERR1913147.7858__1.7858	239935__A0A2N8IF99__lpdA
ERR1913147.7932__1.7932	155148__GeneID:920998
ERR1913147.7951__1.7951	239935__R6JAS2__CXU02_10725
ERR1913147.8068__1.8068	40520__D4LUV4__DXB81_08455
ERR1913147.8105__1.8105	487175__F3QJV9__HMPREF9439_01216
ERR1913147.8324__1.8324	410072__A0A174K186__ERS852481_00847
ERR1913147.8458__1.8458	239935__A0A3F3K9J9__DEF40_00940
ERR1913147.8521__1.8521	28117__B0MZ50__ALIPUT_02424
ERR1913147.8926__1.8926	820__A0A173W419__DXC68_17760
ERR1913147.9090__1.9090	418240__A0A174QTB3__ERS852478_01801
ERR1913147.9098__1.9098	823__A0A073I748__M096_3057
ERR1913147.9314__1.9314	28117__R7JJM9__ALIPUT_00662
ERR1913147.9399__1.9399	820__A7V9F9__B5G17_14640
ERR1913147.9616__1.9616	823__A0A355XKQ8__DHP27_04010
ERR1913147.9757__1.9757	1263000__R5ENX5__BN466_00466
ERR1913147.9914__1.9914	214856__A0A174FS21__ERS852447_02393
ERR1913147.9883__1.9883	28117__B0MTI4__ALIPUT_00084
ERR1913147.9962__1.9962	214856__I3YMC8__ERS852447_02666
ERR1913147.10051__1.10051	239935__A0A2N8HB50__CXU17_02615
ERR1913147.10101__1.10101	46503__R6X0L4__DXB61_05325
ERR1913147.10343__1.10343	1262869__R7CNH9__BN625_01092
ERR1913147.10413__1.10413	239935__A0A2N8IF99__lpdA
ERR1913147.10348__1.10348	1150298__A0A174SLE6__mlc_1
ERR1913147.10487__1.10487	2292352__A0A374UQE7__DXC23_04185
ERR1913147.10491__1.10491	820__A0A139KG60__M094_2679
ERR1913147.10554__1.10554	820__I9A4U7__DHU98_12785
ERR1913147.10712__1.10712	39491__A0A395ZEN3__DXD95_12655
ERR1913147.10894__1.10894	28117__B0MWH8__BHV66_01330
ERR1913147.10967__1.10967	322505__xre_3
ERR1913147.11038__1.11038	39496__A5ZAD6__EUBVEN_02683
ERR1913147.11052__1.11052	239935__A0A2N8IIB9__CXU04_01970
ERR1913147.11084__1.11084	853__A0A2A7B1Y7__C7K05_11930
ERR1913147.11117__1.11117	823__A0A078TL61__ERS852429_00610
ERR1913147.11144__1.11144	418240__A0A174AX68__ERS852478_00844
ERR1913147.11235__1.11235	410072__A0A174E1G6__phoR_6
ERR1913147.11317__1.11317	820__A0A3E4G826__C801_01612
ERR1913147.11299__1.11299	823__A0A355XKQ8__DHP27_04010
ERR1913147.11311__1.11311	239935__A0A139TQT9__Amuc_1197
ERR1913147.11435__1.11435	2173__A5ULL1__Msm_0884
ERR1913147.11500__1.11500	214856__A0A173YGE2__xerD_2
