ERR1913225.225__1.225	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913225.496__1.496	1262736__R5Y2P0__BN496_01097
ERR1913225.606__1.606	820__A0A3E4G3J9__ERS852459_02265
ERR1913225.994__1.994	820__A0A1T4IY71__HMPREF2141_02402
ERR1913225.1100__1.1100	1262988__R7N521__BN816_01886
ERR1913225.1169__1.1169	2293125__A0A374C955__DW917_08135
ERR1913225.1288__1.1288	218538__C9LPE5__GCWU000321_01424
ERR1913225.1559__1.1559	47678__R5U878__ERS852494_03300
ERR1913225.1606__1.1606	39491__A0A396FFW0__ERE_10580
ERR1913225.1613__1.1613	2293125__A0A374BQ34__DW917_14250
ERR1913225.1694__1.1694	1262761__R6QJJ2__BN606_00358
ERR1913225.1733__1.1733	853__A0A2A7B9I6__DW855_13690
ERR1913225.1855__1.1855	2293125__A0A374CHQ0__DW917_02295
ERR1913225.1944__1.1944	1262911__R6HIJ8__BN557_01742
ERR1913225.2035__1.2035	33043__A8SWI7__bcrC
ERR1913225.2054__1.2054	820__A0A139K4T0__ERS852510_03146
ERR1913225.2317__1.2317	1501391__GCA_000786575.1_00065
ERR1913225.2399__1.2399	1262911__R6H174__BN557_01246
ERR1913225.2417__1.2417	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913225.2606__1.2606	165179__A0A174W369__PREVCOP_04548
ERR1913225.2676__1.2676	1535__A7VY32__CLOLEP_03508
ERR1913225.2841__1.2841	1262889__R7HDC3__BN634_00683
ERR1913225.2918__1.2918	28118__F9Z8K4__Odosp_0843
ERR1913225.2973__1.2973	1262889__R7HD12__BN634_00607
ERR1913225.3060__1.3060	165179__D1PCL6__DXB80_13435
ERR1913225.3083__1.3083	2293125__A0A374BZ93__DW917_11205
ERR1913225.3238__1.3238	1262942__R7QX36__BN520_01383
ERR1913225.3436__1.3436	39485__R5ZSH7__EUBELI_00953
ERR1913225.3444__1.3444	1262761__R6QMJ7__BN606_00803
ERR1913225.3762__1.3762	39485__R5ZX10__ERS852492_02330
ERR1913225.3789__1.3789	1262761__R6QZS1__BN606_01236
ERR1913225.3825__1.3825	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913225.3933__1.3933	2293125__A0A374CHQ0__DW917_02295
ERR1913225.4039__1.4039	166486__D4KXK8__xynB_1
ERR1913225.4363__1.4363	1262911__R6GZX7__BN557_00838
ERR1913225.4445__1.4445	2293125__A0A374CII0__DW917_03470
ERR1913225.4695__1.4695	1735__B7CDA5__EUBIFOR_02186
ERR1913225.4828__1.4828	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913225.4952__1.4952	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913225.5039__1.5039	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913225.5009__1.5009	2293125__A0A374BSW4__DW917_13420
ERR1913225.5204__1.5204	820__I9J701__ERS852510_01809
ERR1913225.5293__1.5293	28118__F9Z7P4__B5F99_17665
ERR1913225.5383__1.5383	820__A0A3E4WCX3__C801_02709
ERR1913225.5437__1.5437	239935__A0A2N8IMC9__CXU09_02095
ERR1913225.5467__1.5467	2293125__A0A374BIB7__DW917_16550
ERR1913225.5586__1.5586	820__R9I2U8__DXC68_09590
ERR1913225.5591__1.5591	1735__B7CCF2__EUBIFOR_01879
ERR1913225.5879__1.5879	46228__V8CDQ4__RUMLAC_02769
ERR1913225.5950__1.5950	1262777__R5WGC7__BN512_00376
ERR1913225.6090__1.6090	2293125__A0A374C8E6__DW917_07195
ERR1913225.6264__1.6264	1262911__R6H0U7__BN557_01104
ERR1913225.6285__1.6285	820__A0A3E4IBC1__M094_0628
ERR1913225.6616__1.6616	471189__GCA_003340385.1_00363
ERR1913225.6634__1.6634	2293125__A0A374BSW4__DW917_13420
ERR1913225.6733__1.6733	47678__R5UES3__CGC64_00760
ERR1913225.6750__1.6750	46228__V8BSF0__RUMLAC_01943
ERR1913225.7011__1.7011	1263107__GCA_000436995.1_00138
ERR1913225.7059__1.7059	47678__R5UES3__CGC64_00760
ERR1913225.7159__1.7159	239935__A0A2N8I1R3__CXU05_06075
ERR1913225.7080__1.7080	418240__C6JH11__ERS852523_02507
ERR1913225.7392__1.7392	821__A0A397WGD6__M098_0084
ERR1913225.7575__1.7575	1160721__R6THG6__RBI_I00012
ERR1913225.7584__1.7584	39492__D4JX34__ERS852540_00411
ERR1913225.7672__1.7672	39485__C4Z6V1__ERS852492_02640
ERR1913225.7785__1.7785	394340__group_3358
ERR1913225.7793__1.7793	552398__T5RKT4__HMPREF0866_04531
ERR1913225.7811__1.7811	28116__A0A078QGJ1__AA414_00533
ERR1913225.7850__1.7850	820__A0A3E4XM43__DXC91_13960
ERR1913225.7908__1.7908	487174__K0XER9__DDY40_08885
ERR1913225.7991__1.7991	820__A0A3E4G3J9__ERS852459_02265
ERR1913225.8017__1.8017	544644__GCA_001915615.1_02344
ERR1913225.8120__1.8120	853__A0A2A7A4A9__C4N21_14870
ERR1913225.8484__1.8484	1262988__R7N756__BN816_00589
ERR1913225.8567__1.8567	487174__K0WYI1__DDY40_08675
ERR1913225.8654__1.8654	28116__E5CCI2__M089_3437
ERR1913225.8762__1.8762	820__A0A3E4VZY4__ERS852554_01211
ERR1913225.8773__1.8773	2293125__A0A374C4J1__DW917_09855
ERR1913225.9121__1.9121	28118__F9ZBL7__DER54_00840
ERR1913225.9123__1.9123	1501391__GCA_000786575.1_00068
