ERR1913199.530__1.530	544645__A0A3E4TGD2__DXC42_03440
ERR1913199.875__1.875	166486__D4KU79__ROSINTL182_06970
ERR1913199.881__1.881	28026__A0A267WLS3__DXD35_07705
ERR1913199.1150__1.1150	821__D4VD59__BHV80_04260
ERR1913199.1180__1.1180	821__A0A174WBC9__ERS852556_03145
ERR1913199.1263__1.1263	821__A0A0P0M3U7__DXB90_14325
ERR1913199.1373__1.1373	39486__B0G7S3__HMPREF9457_01465
ERR1913199.1601__1.1601	33905__A0A0C2Z570__CQR47_0419
ERR1913199.1831__1.1831	820__A0A173YYG4__evgS_3
ERR1913199.1837__1.1837	33039__A0A174P3P0__ERS852424_01681
ERR1913199.1782__1.1782	166486__D4KY48__gmr_5
ERR1913199.1756__1.1756	47678__R5U7X8__C5Z00_18270
ERR1913199.1927__1.1927	74426__purC
ERR1913199.1999__1.1999	39491__C4Z9J5__DXB69_02495
ERR1913199.2142__1.2142	820__R9HXK9__DXB62_08265
ERR1913199.2218__1.2218	301302__A0A0M6WVL0__celA
ERR1913199.2358__1.2358	143393__X8K3Y8__HMPREF9092_0972
ERR1913199.2403__1.2403	39491__A0A396FNY7__LD38_16155
ERR1913199.2411__1.2411	46503__A7AG59__ERS852463_00349
ERR1913199.2336__1.2336	301302__R5VC75__ERS852420_02858
ERR1913199.2506__1.2506	329854__A0A3E4KYM8__DXD27_06860
ERR1913199.2767__1.2767	214856__A0A173YXX1__ERS852559_01651
ERR1913199.2835__1.2835	357276__I9R1V6__DXD47_04125
ERR1913199.2915__1.2915	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913199.3053__1.3053	28026__A0A173WBS8__DXD35_06040
ERR1913199.3198__1.3198	47678__R5UAI1__BACCAC_01922
ERR1913199.3130__1.3130	360807__A0A173VD35__suhB
ERR1913199.3322__1.3322	74426__rplS
ERR1913199.3488__1.3488	47678__R5U2W6__CGC64_03455
ERR1913199.3459__1.3459	820__A0A174G065__DXB62_08975
ERR1913199.3599__1.3599	820__A0A3E4RUC4__DHU98_02635
ERR1913199.3558__1.3558	166486__D4L082__yicI_5
ERR1913199.3563__1.3563	28026__C0BQX5__DXC71_03265
ERR1913199.3842__1.3842	821__A0A174NM17__lacZ_6
ERR1913199.3934__1.3934	39486__B0G3L7__DXD82_04335
ERR1913199.4112__1.4112	301302__R5UQW7__ERS852420_02102
ERR1913199.4156__1.4156	387090__S0FEJ2__BACCOPRO_03269
ERR1913199.4358__1.4358	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913199.4435__1.4435	166486__D4KWZ7__cph2_5
ERR1913199.4634__1.4634	410072__A0A174RDI4__drrA_6
ERR1913199.4731__1.4731	39491__A0A395UWA3__DXB69_11805
ERR1913199.4848__1.4848	387090__S0F470__BACCOPRO_00167
ERR1913199.5082__1.5082	166486__D4L2T9__lytM
ERR1913199.5160__1.5160	357276__A0A0K2HP62__HMPREF1063_01560
ERR1913199.5210__1.5210	454155__F3QT57__HMPREF9442_01374
ERR1913199.5225__1.5225	487174__K0X789__DIT83_10440
ERR1913199.5227__1.5227	818__Q8A112__BT_3859
ERR1913199.5236__1.5236	821__A0A174AYT0__DXC02_03530
ERR1913199.5443__1.5443	487174__K0WUJ5__HMPREF9448_02567
ERR1913199.5750__1.5750	218538__C9LR48__GCWU000321_00316
ERR1913199.5763__1.5763	301302__R5UHX5__M72_14301
ERR1913199.5898__1.5898	357276__A0A0M1W1I8__ABI39_13620
ERR1913199.5930__1.5930	1680__A0A0C2YNK5__BADO_0780
ERR1913199.5931__1.5931	821__A0A3E4KIM1__M097_3660
ERR1913199.6005__1.6005	47678__R5U3U1__BACCAC_03593
ERR1913199.6124__1.6124	39491__A0A396FBR6__DXC13_08575
ERR1913199.6253__1.6253	820__A0A3E4FZM1__adaA_2
ERR1913199.6255__1.6255	820__I9J701__ERS852510_01809
ERR1913199.6433__1.6433	46503__K5ZM81__DCY29_16460
ERR1913199.6587__1.6587	454155__F3QY50__HMPREF9442_03142
ERR1913199.6600__1.6600	1262921__R5M2J9__BN473_00593
ERR1913199.6689__1.6689	40520__A0A174HSN4__ltaS1_2
ERR1913199.6830__1.6830	360807__A0A396AF38__RIL183_00781
ERR1913199.6835__1.6835	820__R7E9Z4__DXC68_06065
ERR1913199.7025__1.7025	216816__A0A0A0UDU9__BL1246
ERR1913199.7098__1.7098	360807__A0A173V2S2__phoR_7
ERR1913199.7177__1.7177	821__I9R3W6__DXC16_12455
ERR1913199.7237__1.7237	820__A0A174CK74__DXB48_07060
ERR1913199.7349__1.7349	166486__A0A173RAP7__ROSINTL182_07969
ERR1913199.7543__1.7543	74426__rpoC
ERR1913199.7623__1.7623	853__A0A173YYY4__DWZ04_09420
ERR1913199.8012__1.8012	387090__S0F470__BACCOPRO_00167
ERR1913199.8191__1.8191	820__A0A3E4RUC4__DHU98_02635
ERR1913199.8195__1.8195	410072__A0A3E4GT65__ERS852574_02325
ERR1913199.8796__1.8796	821__A0A3E4XY72__NCTC10583_01067
ERR1913199.8765__1.8765	1680__A0A2R4G1K8__BBMN23_0315
ERR1913199.8782__1.8782	1628085__A0A1C5ZB13__C7386_10421
