ERR1913167.17__1.17	47678__R5U3D5__DW706_05635
ERR1913167.75__1.75	820__A0A139K9Q2__DXD40_08795
ERR1913167.153__1.153	820__A0A139JRH8__HMPREF2141_04326
ERR1913167.218__1.218	28117__B0MUX7__ALIPUT_00918
ERR1913167.270__1.270	2292284__A0A374V7I9__DXC10_12980
ERR1913167.305__1.305	28117__B0MXW9__ALIPUT_01981
ERR1913167.572__1.572	1160721__W0U3P2__RBI_I00640
ERR1913167.682__1.682	1262882__R5MZ41__BN519_00356
ERR1913167.686__1.686	820__A0A174A6K0__M093_0079
ERR1913167.756__1.756	820__A0A3E4IBC1__M094_0628
ERR1913167.705__1.705	1263044__GCA_000433375.1_01822
ERR1913167.934__1.934	329854__R5MTF4__DXK01_12115
ERR1913167.981__1.981	820__A0A174F696__macB_13
ERR1913167.1204__1.1204	410072__C0B8G3__DXD67_01535
ERR1913167.1166__1.1166	487174__R5G1E8__DIT83_00510
ERR1913167.1167__1.1167	820__A0A173YYG4__evgS_3
ERR1913167.1246__1.1246	820__A0A3E4PYB0__yejM
ERR1913167.1369__1.1369	1550024__G9RXI8__TQ39_11495
ERR1913167.1376__1.1376	821__A0A173XDD3__DXB82_17180
ERR1913167.1547__1.1547	301301__A0A174GNJ2__RHOM_05610
ERR1913167.1702__1.1702	544645__A0A3E4T7H5__DXC42_09155
ERR1913167.1792__1.1792	820__E5VA63__DXC80_01025
ERR1913167.1824__1.1824	820__A0A1T4IY71__HMPREF2141_02402
ERR1913167.1906__1.1906	1262924__R7HQD9__BN585_00129
ERR1913167.1996__1.1996	820__A0A139JV05__B5G17_18125
ERR1913167.2006__1.2006	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.2099__1.2099	204516__U6RFU0__HMPREF1534_02545
ERR1913167.2168__1.2168	820__A0A3E4VZY4__ERS852554_01211
ERR1913167.2214__1.2214	820__A0A139K8X8__DXC80_17665
ERR1913167.2220__1.2220	214856__R6Z320__ERS852447_02148
ERR1913167.2606__1.2606	1262992__R5CXV1__BN795_01088
ERR1913167.2704__1.2704	338188__K5CB50__BACFIN_05402
ERR1913167.2719__1.2719	28111__E5WUU3__HMPREF1016_00520
ERR1913167.2975__1.2975	820__A0A1T4IYF4__mprA_1
ERR1913167.3050__1.3050	820__A0A139K0K1__DXB37_05460
ERR1913167.3165__1.3165	329854__R5M7D4__DXD27_21610
ERR1913167.3133__1.3133	338188__A0A173XHS4__BACFIN_08438
ERR1913167.3149__1.3149	1262882__R5MRT2__BN519_01494
ERR1913167.3418__1.3418	1262882__R5N0J9__BN519_00773
ERR1913167.3425__1.3425	820__A0A3E4W4W5__ERS852554_02179
ERR1913167.3613__1.3613	820__A0A3E4W9D9__B5G17_12400
ERR1913167.3675__1.3675	820__A0A3E5E0T0__ERS852554_00312
ERR1913167.3644__1.3644	204516__U6R9E6__HMPREF1534_03149
ERR1913167.3771__1.3771	487173__H1D2G6__HMPREF9453_01797
ERR1913167.3997__1.3997	544645__A0A1Y3W1V1__DXC42_15515
ERR1913167.4291__1.4291	1262882__R5MM10__BN519_01679
ERR1913167.4273__1.4273	338188__K5CL92__BACFIN_07565
ERR1913167.4320__1.4320	674529__R6UVG4__DXB21_01250
ERR1913167.4477__1.4477	97478__A0A099YFI6__FC47_GL000960
ERR1913167.4447__1.4447	410072__C0BAJ3__ERS852574_01527
ERR1913167.4468__1.4468	28117__B0MYI9__BHV66_05415
ERR1913167.4521__1.4521	301302__R5UPH9__M72_00521
ERR1913167.4592__1.4592	239935__A0A2N8HEH9__CXU07_11710
ERR1913167.4852__1.4852	820__I9J701__ERS852510_01809
ERR1913167.4884__1.4884	39492__B0MPL6__EUBSIR_01779
ERR1913167.4915__1.4915	216816__B7GQ29__APC1465_1199
ERR1913167.5081__1.5081	820__A0A174QLF0__SAMN05444418_109151
ERR1913167.5226__1.5226	410072__C0BAQ2__ERS852574_01938
ERR1913167.5393__1.5393	1262924__R7HQX0__BN585_00307
ERR1913167.5378__1.5378	1263107__GCA_000436995.1_00201
ERR1913167.5385__1.5385	46503__B7B776__DXB85_00355
ERR1913167.5580__1.5580	820__A0A174QLF0__SAMN05444418_109151
ERR1913167.5594__1.5594	820__A7V8C2__ERS852554_01338
ERR1913167.5654__1.5654	1297617__A0A0S2W358__BIV19_02270
ERR1913167.5693__1.5693	39485__A0A174ZNW9__luxQ_1
ERR1913167.5796__1.5796	820__A0A174CG08__DXB62_13215
ERR1913167.6187__1.6187	820__A0A174QLF0__SAMN05444418_109151
ERR1913167.6183__1.6183	1550024__G9RQ59__TQ39_14360
ERR1913167.6315__1.6315	39492__D4JTF2__mutS2
