ERR1913221.832__1.832	33043__A0A173X520__ERS852575_01617
ERR1913221.948__1.948	88431__A0A3D0EY52__ERS852573_01763
ERR1913221.1099__1.1099	165179__A0A174IPI3__CFT61_10940
ERR1913221.1245__1.1245	45851__D4RYB8__BHV86_01965
ERR1913221.1754__1.1754	88431__A0A174IEH2__DXB16_05910
ERR1913221.1985__1.1985	165179__D1PC26__PREVCOP_04756
ERR1913221.2834__1.2834	1262760__R5LN70__BN758_00719
ERR1913221.3023__1.3023	1262825__R5E090__BN724_01145
ERR1913221.3201__1.3201	45851__D4RX09__BUTYVIB_00360
ERR1913221.3349__1.3349	45851__D4RWJ0__BHV86_05915
ERR1913221.3493__1.3493	45851__D4S0J9__BUTYVIB_01618
ERR1913221.3553__1.3553	39485__A0A174YVS4__EUBELI_00620
ERR1913221.3807__1.3807	745368__A0A1T4XC26__SAMN02745178_01685
ERR1913221.3883__1.3883	45851__D4RWR5__BHV86_06295
ERR1913221.3911__1.3911	33043__A0A174CV49__ERS852386_02395
ERR1913221.4000__1.4000	1262882__R5MGX3__BN519_00046
ERR1913221.4101__1.4101	45851__D4S2J5__BUTYVIB_02317
ERR1913221.5265__1.5265	45851__D4RZ69__BUTYVIB_01134
ERR1913221.5289__1.5289	45851__D4RYB8__BHV86_01965
ERR1913221.5337__1.5337	1262535__GeneID:16385027
ERR1913221.5365__1.5365	1262825__R5EGZ8__BN724_01767
ERR1913221.5632__1.5632	88431__A0A174G8Q6__ERS852526_02711
ERR1913221.5634__1.5634	45851__D4RZC9__BUTYVIB_01195
ERR1913221.6044__1.6044	45851__D4RWZ9__murF
ERR1913221.6123__1.6123	39485__A0A174ZBJ8__speA_2
ERR1913221.6183__1.6183	45851__D4RWN6__BUTYVIB_00072
ERR1913221.6237__1.6237	165179__A0A174W369__PREVCOP_04548
ERR1913221.6200__1.6200	1262959__R5Y0V4__BN680_01500
ERR1913221.6253__1.6253	39485__R5ZNS8__rsmG
ERR1913221.6263__1.6263	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913221.6284__1.6284	39485__A0A174ZPH7__ERS852490_01992
ERR1913221.6337__1.6337	39485__R5ZQJ7__yniC
ERR1913221.6319__1.6319	1262882__R5MMP8__BN519_01654
ERR1913221.6400__1.6400	544645__A0A3E4T9T0__DXC42_08535
ERR1913221.6865__1.6865	100886__E2NR49__ERS852383_03877
ERR1913221.7109__1.7109	165179__A0A174SR12__DXB80_04410
ERR1913221.7116__1.7116	45851__D4S0F7__BUTYVIB_01576
ERR1913221.7197__1.7197	39491__A0A173SH34__EUR_24920
ERR1913221.7454__1.7454	1262760__R5LWP6__BN758_02109
ERR1913221.7627__1.7627	39485__R5ZII6__EUBELI_00986
ERR1913221.7771__1.7771	45851__D4RYU3__BUTYVIB_01007
ERR1913221.7782__1.7782	1262825__R5ED15__BN724_00006
ERR1913221.7907__1.7907	39496__A5Z5I2__EUBVEN_00963
ERR1913221.8518__1.8518	1262930__R6AVG7__BN693_02115
ERR1913221.9029__1.9029	853__C7H1R8__DW905_06675
ERR1913221.9156__1.9156	33039__A0A174Y8E4__suhB
ERR1913221.9356__1.9356	1262761__R6R3W1__BN606_01849
ERR1913221.9466__1.9466	1262924__R7HQ14__BN585_00419
ERR1913221.9750__1.9750	1263000__R5EKG2__BN466_02040
ERR1913221.9969__1.9969	1262882__R5MT08__BN519_01706
ERR1913221.9983__1.9983	853__A0A173XRA8__CGS56_09290
ERR1913221.9988__1.9988	2022527__A0A264YCL2__CHL74_00145
ERR1913221.10009__1.10009	1262700__R5XBD0__BN695_00459
ERR1913221.10486__1.10486	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913221.10707__1.10707	45851__D4RZ17__BUTYVIB_01081
ERR1913221.10694__1.10694	1262924__R7HMZ0__BN585_01986
ERR1913221.10841__1.10841	45851__D4S283__BUTYVIB_02205
ERR1913221.10897__1.10897	45851__D4RZ84__BUTYVIB_01149
ERR1913221.11289__1.11289	165179__A0A3E5AI09__DXC61_05815
ERR1913221.11496__1.11496	39485__C4Z6V1__ERS852492_02640
ERR1913221.11517__1.11517	45851__D4S0P6__BUTYVIB_01665
ERR1913221.11872__1.11872	45851__D4RYI3__BHV86_01630
ERR1913221.12015__1.12015	45851__R5LYV2__BHV86_00590
ERR1913221.12048__1.12048	1150298__A0A174M5F7__ERS852535_00457
ERR1913221.12138__1.12138	1262882__R5MEW7__BN519_00010
ERR1913221.12383__1.12383	45851__D4RWI9__BHV86_05910
ERR1913221.12402__1.12402	33043__D5HFD3__ybbD
ERR1913221.12579__1.12579	745368__A0A1T4WBJ5__SAMN02745178_00329
ERR1913221.12741__1.12741	45851__D4RWZ9__murF
ERR1913221.12689__1.12689	1262911__R6H1B2__BN557_00840
ERR1913221.12670__1.12670	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913221.12759__1.12759	45851__D4RW33__ylbJ
ERR1913221.12986__1.12986	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913221.13117__1.13117	39485__A0A174YU30__ERS852492_02057
ERR1913221.13430__1.13430	901__B6WXD6__DHV46_02215
ERR1913221.13535__1.13535	40519__U2KNI1__RUMCAL_02150
ERR1913221.13569__1.13569	1262882__R5N1L4__BN519_00757
ERR1913221.13777__1.13777	1393034__GCA_001552785.1_00728
ERR1913221.14335__1.14335	39490__A0A173QWW3__LG34_09775
ERR1913221.14368__1.14368	1262825__R5EK39__BN724_02341
ERR1913221.14605__1.14605	1262924__R7HQP2__BN585_01509
ERR1913221.14834__1.14834	45851__R5LRY3__BUTYVIB_01906
ERR1913221.14860__1.14860	45851__R5LRY3__BUTYVIB_01906
ERR1913221.15115__1.15115	1262882__R5N3H1__BN519_01121
ERR1913221.15255__1.15255	45851__D4RYD1__ytvI
ERR1913221.15272__1.15272	1262961__R6E2Q9__BN710_01022
ERR1913221.15902__1.15902	39485__C4Z0I4__ERS852492_00258
ERR1913221.15911__1.15911	1262886__R6QPP8__BN563_00924
ERR1913221.16367__1.16367	45851__D4RWZ9__murF
ERR1913221.16433__1.16433	39485__C4Z684__ERS852492_01895
ERR1913221.16740__1.16740	1150298__A0A174DQT6__ERS852498_00506
ERR1913221.17305__1.17305	1262743__R5C054__BN727_01980
ERR1913221.17406__1.17406	1262760__R5LCK1__BN758_01101
ERR1913221.17618__1.17618	39491__A0A0M6WPN4__DXB69_06325
ERR1913221.17701__1.17701	2292352__A0A374UKE7__DXC23_09500
ERR1913221.17805__1.17805	165179__A0A3E5AI09__DXC61_05815
ERR1913221.18090__1.18090	45851__R5LHP6__BUTYVIB_00994
ERR1913221.18267__1.18267	1262761__R6QRP2__BN606_00241
ERR1913221.18687__1.18687	2173__A0A1D2WUC2__METSMIALI_01296
ERR1913221.18860__1.18860	39485__C4Z1Y9__EUBELI_00143
ERR1913221.18906__1.18906	1262760__R5LVR1__BN758_01966
ERR1913221.18964__1.18964	165179__A0A3E5E7Z8__PREVCOP_06480
