ERR1913311.69__1.69	410072__A0A3E4GMB7__COPCOM_03357
ERR1913311.250__1.250	371601__D6D6U6__BN891_31680
ERR1913311.313__1.313	384639__GCA_003096855.1_00996
ERR1913311.802__1.802	1262882__R5MFY4__BN519_00529
ERR1913311.904__1.904	40518__A0A1Q6S5M1__DXD83_09325
ERR1913311.906__1.906	46228__V8BSF5__RUMLAC_01949
ERR1913311.1022__1.1022	853__C7H7F5__DWZ46_01780
ERR1913311.1090__1.1090	214856__A0A174A257__ERS852447_01007
ERR1913311.1479__1.1479	1897011__A0A1Q6RCY9__BHW41_06000
ERR1913311.1700__1.1700	1262913__R7JF81__BN646_01937
ERR1913311.1769__1.1769	39492__D4JX50__EUBSIR_00410
ERR1913311.1858__1.1858	214856__R6YD52__ERS852447_02171
ERR1913311.2205__1.2205	214856__R6Y6H8__ERS852447_01719
ERR1913311.2361__1.2361	853__A0A174BZY1__xerD_1
ERR1913311.2425__1.2425	487175__F3QJV0__HMPREF9439_01207
ERR1913311.2482__1.2482	1897011__A0A1Q6RJW7__BHW41_00060
ERR1913311.2511__1.2511	39491__A0A395ZEI6__ERE_07950
ERR1913311.2735__1.2735	39492__D4JSA4__ERS852540_00596
ERR1913311.2912__1.2912	1262882__R5MHA1__BN519_00763
ERR1913311.2971__1.2971	46228__V8C6B2__DXD17_09805
ERR1913311.3108__1.3108	301301__A0A395V8K9__RHOM_00130
ERR1913311.3217__1.3217	1262743__R5C054__BN727_01980
ERR1913311.3329__1.3329	39492__D4JX40__EUBSIR_00020
ERR1913311.3290__1.3290	410072__A0A174QU55__luxQ
ERR1913311.3304__1.3304	301301__A0A395V714__evgS
ERR1913311.3401__1.3401	2108523__A0A2P2FCY3__LAWASA_3926
ERR1913311.3578__1.3578	40520__A0A174KAG0__DXB81_01690
ERR1913311.3636__1.3636	39492__R6SPM9__pheT
ERR1913311.3820__1.3820	39492__D4JSS9__btuF
ERR1913311.3941__1.3941	394340__uvrC
ERR1913311.4082__1.4082	35833__E5Y6S9__HMPREF0179_01914
ERR1913311.4102__1.4102	214856__R6Y6H8__ERS852447_01719
ERR1913311.4471__1.4471	39492__A0A174Z2N0__EUBSIR_01615
ERR1913311.4473__1.4473	1262882__R5MJZ4__BN519_01269
ERR1913311.4540__1.4540	1263005__R6F067__BN497_00409
ERR1913311.4547__1.4547	1262882__R5N526__BN519_01603
ERR1913311.4599__1.4599	39492__D4JQL8__ywpJ
ERR1913311.4727__1.4727	39492__D4JUS6__accD5
ERR1913311.4994__1.4994	46503__R6Y2Y6__ERS852463_03103
ERR1913311.5095__1.5095	39492__D4JWG6__EUBSIR_00253
ERR1913311.5327__1.5327	39492__D4JSB6__ERS852540_00627
ERR1913311.5302__1.5302	2108523__A0A2P2F8B2__LAWASA_2271
ERR1913311.5455__1.5455	39492__D4JRV7__EUBSIR_01513
ERR1913311.5406__1.5406	39492__D4JSG7__EUBSIR_01006
ERR1913311.5521__1.5521	39492__D4JQP0__ypeB
ERR1913311.5775__1.5775	1735__B7CE32__EUBIFOR_02474
ERR1913311.5872__1.5872	1262911__R6GPM2__BN557_00937
ERR1913311.5918__1.5918	214856__A0A174G1M7__ERS852559_00594
ERR1913311.6163__1.6163	88431__A0A3D0F0E5__ERS852526_03216
