ERR1913062.307__1.307	28118__F9Z6D0__DHW44_12795
ERR1913062.411__1.411	204516__U6REI9__HMPREF1534_02357
ERR1913062.426__1.426	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913062.616__1.616	39491__D6DXZ8__DXB72_15035
ERR1913062.806__1.806	384639__GCA_003096855.1_00975
ERR1913062.1052__1.1052	2293125__A0A374C8A8__DW917_07550
ERR1913062.1250__1.1250	818__A0A3E5GXM2__BJP75_025230
ERR1913062.1324__1.1324	216816__D6ZWI5__B5781_1661
ERR1913062.1456__1.1456	1262948__R7E9D8__BN671_02221
ERR1913062.1522__1.1522	818__C6IJ08__BJP75_000645
ERR1913062.1881__1.1881	78257__A0A087CUE0__BSAE_1156
ERR1913062.1902__1.1902	165179__A0A174SA26__PREVCOP_05758
ERR1913062.2104__1.2104	1262930__R6ACJ7__BN693_00131
ERR1913062.2046__1.2046	820__A0A374QGD2__ERS852421_02382
ERR1913062.2183__1.2183	544644__GCA_001915615.1_00029
ERR1913062.2184__1.2184	1262911__R6H0U7__BN557_01104
ERR1913062.2129__1.2129	2293125__A0A374BSW4__DW917_13420
ERR1913062.2243__1.2243	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913062.2348__1.2348	626933__H1DGX0__HMPREF9449_01506
ERR1913062.2386__1.2386	165179__A0A3E5ED28__PREVCOP_06655
ERR1913062.2487__1.2487	165179__D1PHC0__PREVCOP_06640
ERR1913062.2488__1.2488	2293125__A0A374BSW4__DW917_13420
ERR1913062.2601__1.2601	1735__B7CCS4__EUBIFOR_02002
ERR1913062.2610__1.2610	853__A0A174C5M1__CGS58_04460
ERR1913062.2805__1.2805	544644__GCA_001915615.1_01915
ERR1913062.2855__1.2855	166486__D4KV78__aroA
ERR1913062.2971__1.2971	1262992__R5DCG2__BN795_00315
ERR1913062.3039__1.3039	301301__A0A395V9A0__RHOM_08800
ERR1913062.3046__1.3046	310298__B3JQJ5__BACCOP_04231
ERR1913062.3009__1.3009	166486__R6B4E4__sinR_2
ERR1913062.3236__1.3236	310298__B3JGJ2__BACCOP_00994
ERR1913062.3300__1.3300	2293125__A0A374BSW4__DW917_13420
ERR1913062.3422__1.3422	165179__D1PHD6__DXC61_03380
ERR1913062.3430__1.3430	39488__A0A173SKQ5__DXD91_03870
ERR1913062.3502__1.3502	166486__D4KUE4__ROSINTL182_08606
ERR1913062.3673__1.3673	853__A0A174BA00__DW905_01145
ERR1913062.3886__1.3886	1034346__A0A318KFK9__DES51_1172
ERR1913062.3972__1.3972	310298__B3JK97__BACCOP_02326
ERR1913062.4066__1.4066	166486__D4KJ71__ERS852572_03479
ERR1913062.4186__1.4186	1262930__R5ZWP2__BN693_01542
ERR1913062.4196__1.4196	28116__F7L4N5__BACOVA_00137
ERR1913062.4435__1.4435	1628085__A0A2U1BE16__C7386_104119
ERR1913062.4542__1.4542	649756__L1QA71__HMPREF0369_00510
ERR1913062.4576__1.4576	39496__A5Z7Y0__EUBVEN_01820
ERR1913062.4585__1.4585	544644__GCA_001915615.1_01039
ERR1913062.4607__1.4607	360807__C0FN02__ERS852392_01841
ERR1913062.4678__1.4678	820__R9I2U8__DXC68_09590
ERR1913062.4632__1.4632	1262930__R6AHV3__BN693_00495
ERR1913062.4652__1.4652	357276__A0A0M1W657__HMPREF1064_04629
ERR1913062.4867__1.4867	310298__B3JQJ5__BACCOP_04231
ERR1913062.4937__1.4937	291645__I8XPK0__HMPREF1068_01554
ERR1913062.5432__1.5432	165179__A0A3E5A5E5__DXC61_13965
ERR1913062.5624__1.5624	626933__H1DGX0__HMPREF9449_01506
ERR1913062.5689__1.5689	166486__D4KW59__ERS852572_02363
ERR1913062.5711__1.5711	214856__I3YMC8__ERS852447_02666
ERR1913062.5727__1.5727	166486__D4KZA5__ERS852572_03317
ERR1913062.5911__1.5911	384638__B7AN60__BACPEC_00112
ERR1913062.5981__1.5981	820__A0A174R952__DXB48_02570
ERR1913062.6055__1.6055	820__A0A174F0C1__nreB
ERR1913062.6148__1.6148	487174__K0XA48__DDY40_03955
ERR1913062.6295__1.6295	371601__D0TKK2__BXY_21540
ERR1913062.6272__1.6272	166486__A0A173VTG0__ROSINTL182_06283
ERR1913062.6426__1.6426	169435__A0A174UYW8__DXC40_11815
ERR1913062.6468__1.6468	1735__B7CBP5__EUBIFOR_01620
ERR1913062.6563__1.6563	1262930__R6AY75__BN693_00384
ERR1913062.6579__1.6579	2293125__A0A374BMK9__DW917_16190
ERR1913062.6598__1.6598	820__A7VAR9__ERS852421_00197
ERR1913062.6717__1.6717	1263109__GCA_000438135.1_01423
ERR1913062.6886__1.6886	820__A0A139K337__ERS852459_02375
ERR1913062.6931__1.6931	2293125__A0A374BY09__DW917_11855
ERR1913062.6943__1.6943	310298__B3JFH4__BACCOP_00624
ERR1913062.7003__1.7003	1262700__R5XC07__BN695_01332
ERR1913062.7066__1.7066	1628085__A0A3E2XRQ2__C7386_10552
ERR1913062.7093__1.7093	1262930__R6A1N0__BN693_00917
ERR1913062.7141__1.7141	1262992__R5DA18__BN795_01586
ERR1913062.7304__1.7304	1262930__R5ZV69__BN693_01268
ERR1913062.7321__1.7321	818__A0A0P0FT56__BSIG_1453
ERR1913062.7802__1.7802	39496__A5Z778__EUBVEN_01561
ERR1913062.8005__1.8005	166486__D4KYB5__mcp3_2
ERR1913062.8241__1.8241	853__A0A174BZY1__xerD_1
ERR1913062.8308__1.8308	165179__A0A3E5DY64__CFT61_10025
ERR1913062.8316__1.8316	1099853__G9S5B5__NSB1T_00810
ERR1913062.8356__1.8356	310298__B3JJX9__BACCOP_02203
ERR1913062.8456__1.8456	39486__B0G928__DORFOR_02790
ERR1913062.8463__1.8463	820__A7VAR9__ERS852421_00197
ERR1913062.8478__1.8478	2293125__A0A374BSW4__DW917_13420
ERR1913062.8661__1.8661	46503__R6WPS1__lepB
ERR1913062.8685__1.8685	853__A0A174C5M1__CGS58_04460
ERR1913062.8764__1.8764	1262930__R6AQL4__BN693_01311
ERR1913062.8878__1.8878	1150298__A0A174HYM9__ERS852406_01664
ERR1913062.8895__1.8895	46506__R6ALX0__HMPREF1181_01042
ERR1913062.8902__1.8902	310298__B3JJX9__BACCOP_02203
ERR1913062.8907__1.8907	823__A0A173VPM3__DHW69_17170
ERR1913062.9031__1.9031	1262930__R6A2Z0__BN693_02280
ERR1913062.9055__1.9055	357276__B6W1J2__BACDOR_03380
ERR1913062.9188__1.9188	165179__R6XLJ7__CFT61_06250
ERR1913062.9359__1.9359	39488__A0A174BS94__DXD91_16570
ERR1913062.9467__1.9467	1262930__R6AHR4__BN693_00447
ERR1913062.9569__1.9569	165179__A0A174SA26__PREVCOP_05758
ERR1913062.9699__1.9699	410072__A0A3E4GMB7__COPCOM_03357
ERR1913062.9722__1.9722	39488__C0EX91__DXD91_05555
ERR1913062.9827__1.9827	853__A0A2A7AXC8__C4N21_14120
ERR1913062.9836__1.9836	166486__D4L337__msbA_4
ERR1913062.10348__1.10348	821__A0A174V2F3__NCTC10583_01474
ERR1913062.10371__1.10371	40520__R7DD10__glgB
