ERR1913236.229__1.229	357276__B6W1Y1__BSEG_03960
ERR1913236.328__1.328	84030__D6DJ92__B5F06_11330
ERR1913236.333__1.333	214856__R6Y7P0__ERS852447_00307
ERR1913236.573__1.573	40518__R5DMC7__blaR1
ERR1913236.432__1.432	745368__A0A1T4WBJ5__SAMN02745178_00329
ERR1913236.1255__1.1255	387090__S0F8B2__BACCOPRO_02129
ERR1913236.1528__1.1528	40518__R5E1J7__RBL236_02062
ERR1913236.1342__1.1342	674529__A0A174IYM6__SAMN05444400_107161
ERR1913236.1666__1.1666	1304__J7TU64__CYK22_02490
ERR1913236.1737__1.1737	204516__U6R9E6__HMPREF1534_03149
ERR1913236.1779__1.1779	39491__A0A395V1R3__T1815_08181
ERR1913236.1842__1.1842	39485__R5ZPP8__EUBELI_20334
ERR1913236.2278__1.2278	360807__R5HHK5__ROSEINA2194_02134
ERR1913236.2371__1.2371	1263044__GCA_000433375.1_03640
ERR1913236.2401__1.2401	823__A6LBY1__ERS852380_00510
ERR1913236.2518__1.2518	344022__GeneID:3837296
ERR1913236.2535__1.2535	357276__I8VLL2__HMPREF1065_03395
ERR1913236.2432__1.2432	1160721__R6SZN5__BHW50_07705
ERR1913236.2443__1.2443	39491__A0A3E4YFT8__DXB69_10940
ERR1913236.2655__1.2655	28111__E5X237__NCTC11155_00628
ERR1913236.2782__1.2782	246787__R6KM92__AA416_01456
ERR1913236.2952__1.2952	1262992__R5D6J2__BN795_00288
ERR1913236.3041__1.3041	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913236.3060__1.3060	166486__D4KUE4__ROSINTL182_08606
ERR1913236.3152__1.3152	214856__A0A175A1E9__ERS852559_02611
ERR1913236.3134__1.3134	166486__D4L273__ERS852572_01638
ERR1913236.3201__1.3201	204516__U6RNF5__HMPREF1534_00381
ERR1913236.3275__1.3275	820__A0A174LJB2__HMPREF1072_04112
ERR1913236.3381__1.3381	626929__F3PLK1__B5F97_09750
ERR1913236.3624__1.3624	28117__B0MTV0__BHV66_06395
ERR1913236.3668__1.3668	853__A0A3E2U7E6__ERS852582_01640
ERR1913236.3791__1.3791	1262889__R7HA79__BN634_01068
ERR1913236.3918__1.3918	33025__A0A395JEP7__C8D73_10844
ERR1913236.3999__1.3999	626929__F3PLK2__B5F97_09745
ERR1913236.4397__1.4397	46503__K5ZM81__DCY29_16460
ERR1913236.4549__1.4549	166486__C7GCP5__ROSINTL182_07683
ERR1913236.4568__1.4568	322505__group_105
ERR1913236.4749__1.4749	820__A0A396EUU8__luxQ_3
ERR1913236.5094__1.5094	820__A0A174FUF0__HMPREF1073_03308
ERR1913236.5218__1.5218	344022__GeneID:3837292
ERR1913236.5229__1.5229	818__R6VB25__BSIG_5053
ERR1913236.5373__1.5373	214856__A0A174CRY5__ERS852559_01060
ERR1913236.5468__1.5468	1262992__R5D2Z2__BN795_00316
ERR1913236.5472__1.5472	39488__R5GCC7__DXD91_10385
ERR1913236.5497__1.5497	357276__U6R8F9__DXD47_04035
ERR1913236.5508__1.5508	853__A0A2A7B9I6__DW855_13690
ERR1913236.5574__1.5574	821__A0A174NM17__lacZ_6
ERR1913236.5881__1.5881	33025__A0A395JBU5__C8D73_10423
ERR1913236.6024__1.6024	446660__GCA_003428235.1_00878
ERR1913236.6064__1.6064	1263107__GCA_000436995.1_00028
ERR1913236.6328__1.6328	853__A8SB03__C4Q21_07960
ERR1913236.6352__1.6352	820__A0A078S4C2__ERS417307_00828
ERR1913236.6469__1.6469	1262948__R7EDK5__BN671_00579
ERR1913236.6640__1.6640	33039__R6P284__spoIIIE
ERR1913236.6711__1.6711	820__A0A3E4FWC8__DXC91_14635
ERR1913236.6805__1.6805	820__A0A173WUD7__DXB48_08055
ERR1913236.6842__1.6842	853__A8S882__C4N23_07600
ERR1913236.6886__1.6886	706562__GCA_900112995.1_01883
ERR1913236.7316__1.7316	820__A0A139KH21__DXC80_01780
ERR1913236.7324__1.7324	40518__R5DVV1__RBATCC27255_00999
ERR1913236.7332__1.7332	626929__F3PE25__B5F97_01770
ERR1913236.7816__1.7816	626933__H1DGX0__HMPREF9449_01506
ERR1913236.7840__1.7840	33039__D4M0U3__ERS852577_02211
ERR1913236.8025__1.8025	1262948__R7EBI4__BN671_00183
ERR1913236.8052__1.8052	33039__R6P284__spoIIIE
ERR1913236.8154__1.8154	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913236.8408__1.8408	214856__A0A174FS21__ERS852447_02393
