ERR1913319.248__1.248	47678__R5U8S9__DW706_06260
ERR1913319.297__1.297	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913319.400__1.400	1262743__R5C054__BN727_01980
ERR1913319.449__1.449	310298__B3JFI7__BACCOP_00636
ERR1913319.473__1.473	291644__I9HQ59__HMPREF1071_02479
ERR1913319.735__1.735	39492__D4JSU6__dacB_3
ERR1913319.821__1.821	291644__I9HP97__HMPREF1532_00061
ERR1913319.899__1.899	821__E5UY21__C800_02204
ERR1913319.964__1.964	820__A0A3E4GA19__SAMN05444418_10562
ERR1913319.969__1.969	28117__B0MT86__BHV66_02450
ERR1913319.1031__1.1031	1150298__A0A174EBT8__ERS852406_01739
ERR1913319.1104__1.1104	820__R9HP61__DXC91_01090
ERR1913319.1157__1.1157	39492__D4MN06__EUBSIR_02672
ERR1913319.1340__1.1340	487174__K0X773__DIT83_07170
ERR1913319.1427__1.1427	39492__D4JT68__spoIIIE
ERR1913319.1430__1.1430	47678__R5U948__ERS852494_02962
ERR1913319.1434__1.1434	291644__I8YYM8__HMPREF1532_01562
ERR1913319.1515__1.1515	28117__R7JH62__BHV66_05735
ERR1913319.1516__1.1516	239935__A0A2N8I375__menA
ERR1913319.1556__1.1556	246787__A0A0P0FSC0__cytR_2
ERR1913319.1787__1.1787	820__A0A374Q351__DXD40_05850
ERR1913319.1904__1.1904	39492__D4JWI6__EUBSIR_01073
ERR1913319.1957__1.1957	820__A0A139K1Y6__DXB48_02610
ERR1913319.2112__1.2112	28117__R7JIJ8__BHV66_01635
ERR1913319.2123__1.2123	821__A0A174TD86__C800_00949
ERR1913319.2274__1.2274	1262945__R6Z2E6__BN600_01343
ERR1913319.2432__1.2432	487174__K0X5U7__DDY40_04950
ERR1913319.2604__1.2604	28118__R6FC01__fepE
ERR1913319.2694__1.2694	47678__R5USR9__HMPREF1061_01404
ERR1913319.2979__1.2979	821__R7P1Q7__M099_2990
ERR1913319.3023__1.3023	328814__GCA_004558275.1_00235
ERR1913319.3078__1.3078	39492__D4JV48__ERS852540_00852
ERR1913319.3322__1.3322	820__A0A3E4G826__C801_01612
ERR1913319.3391__1.3391	28117__B0MYW7__ALIPUT_02336
