ERR1912966.46__1.46	1161942__argD
ERR1912966.184__1.184	853__A0A173YYY4__DWZ04_09420
ERR1912966.189__1.189	1263000__R5ENX5__BN466_00466
ERR1912966.319__1.319	239935__A0A139TVJ4__CXT86_02020
ERR1912966.385__1.385	239935__A0A2N8IJI1__B5G29_04615
ERR1912966.453__1.453	901__B6WY04__BHW59_00740
ERR1912966.908__1.908	165179__A0A3E5E3D6__DXC61_05750
ERR1912966.997__1.997	40518__R5DZU5__RBL263_00458
ERR1912966.1150__1.1150	33043__D5HFA1__ERS852400_02183
ERR1912966.1305__1.1305	552398__F4XCQ4__HMPREF0866_01621
ERR1912966.1324__1.1324	1897011__A0A1Q6RH97__BHW41_01945
ERR1912966.1374__1.1374	1161942__araP
ERR1912966.1590__1.1590	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.1602__1.1602	239935__A0A2N8IMD6__CXU03_05585
ERR1912966.1766__1.1766	39496__A5Z5I2__EUBVEN_00963
ERR1912966.1804__1.1804	1262761__R6RB66__BN606_01964
ERR1912966.1841__1.1841	310297__R5VA64__DXD04_05100
ERR1912966.1990__1.1990	216816__A0A083X5W4__HMPREF0177_01593
ERR1912966.2055__1.2055	1680__A7A7Z9__AAX71_05385
ERR1912966.2190__1.2190	1263027__R7A086__BN699_00068
ERR1912966.2238__1.2238	165179__D1PGD2__DXC61_10875
ERR1912966.2308__1.2308	384638__B7AUX0__BACPEC_02518
ERR1912966.2378__1.2378	1680__A0A076JNS9__BIFADO_02309
ERR1912966.2539__1.2539	853__A0A329UEG4__CHR60_00585
ERR1912966.2574__1.2574	1263027__R6ZE67__BN699_02172
ERR1912966.2809__1.2809	901__B6WXD6__DHV46_02215
ERR1912966.3161__1.3161	239935__R6K0V8__CXT94_02055
ERR1912966.3236__1.3236	239935__A0A2N8I5H6__CXT92_05565
ERR1912966.3270__1.3270	1263027__R7AV02__BN699_02111
ERR1912966.3277__1.3277	1262761__R6R744__BN606_01303
ERR1912966.3975__1.3975	239935__A0A2N8HZW2__A4V05_11120
ERR1912966.4282__1.4282	246787__A0A0P0FV02__AA416_03728
ERR1912966.4671__1.4671	39485__A0A174YTF7__ERS852490_01271
ERR1912966.4804__1.4804	1262915__R6HMP0__BN574_01549
ERR1912966.4897__1.4897	33043__A0A3A6J8T3__yvhJ
ERR1912966.5236__1.5236	33043__D5HF29__eglS_1
ERR1912966.5315__1.5315	1262961__R6EMW7__BN710_01172
ERR1912966.5375__1.5375	487175__R5E7Q1__HMPREF9439_01340
ERR1912966.5451__1.5451	1262961__R6EK01__BN710_00862
ERR1912966.5518__1.5518	1262761__R6QPN7__BN606_01059
ERR1912966.5650__1.5650	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.5974__1.5974	853__A0A2A7B9I6__DW855_13690
ERR1912966.6021__1.6021	33043__D5HIE6__ERS852445_01796
ERR1912966.6076__1.6076	74426__pdxS
ERR1912966.6395__1.6395	1262761__R6QND0__BN606_00112
ERR1912966.6673__1.6673	944036__A0A196S4S6__AV274_6233
ERR1912966.6677__1.6677	301302__R5UM41__M72_15921
ERR1912966.7074__1.7074	1263000__R5EDV4__BN466_01097
ERR1912966.7082__1.7082	901__B6WW26__DESPIG_02294
ERR1912966.7163__1.7163	47678__A5ZG68__ERS852494_02968
ERR1912966.7211__1.7211	1262761__R6QJJ2__BN606_00358
