ERR1913239.775__1.775	39485__A0A174Z2K9__ERS852490_02052
ERR1913239.2217__1.2217	821__U6RDC2__DXD46_15675
ERR1913239.2589__1.2589	301301__G2SX00__RHOM_09015
ERR1913239.2774__1.2774	216816__Q8G5T7__HMPREF0175_0394
ERR1913239.2923__1.2923	1897011__A0A1Q6RH29__BHW41_01570
ERR1913239.3007__1.3007	572010__fusA
ERR1913239.3449__1.3449	46228__B5CT56__RUMLAC_02679
ERR1913239.3631__1.3631	357276__I9QBT7__BSEG_03340
ERR1913239.3800__1.3800	901__A0A1K1LG50__DESPIG_01817
ERR1913239.4040__1.4040	1262913__R7JDJ2__BN646_01863
ERR1913239.4201__1.4201	28117__R7JPX7__BHV66_00900
ERR1913239.4284__1.4284	853__A0A174BA00__DW905_01145
ERR1913239.4669__1.4669	821__A0A396F9T7__M097_3427
ERR1913239.4835__1.4835	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913239.5091__1.5091	1628085__A0A396QC65__C7386_101113
ERR1913239.5243__1.5243	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.5984__1.5984	39491__A0A395ZHW3__ERS852417_01359
ERR1913239.6031__1.6031	47678__R5UPZ8__ERS852494_01752
ERR1913239.6085__1.6085	166486__A0A1Q6SGI9__ERS852572_00327
ERR1913239.6636__1.6636	1262911__R6GLG2__BN557_01501
ERR1913239.7016__1.7016	1897011__A0A1Q6RH29__BHW41_01570
ERR1913239.7328__1.7328	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.7399__1.7399	360807__A0A0M6WAX8__ROSEINA2194_01360
ERR1913239.7751__1.7751	572010__napA
ERR1913239.7814__1.7814	39485__A0A1Q6PH92__cbbX
ERR1913239.8219__1.8219	1235835__R9LCU2__C814_02677
ERR1913239.8669__1.8669	28117__B0MTH2__ALIPUT_00061
ERR1913239.8711__1.8711	1262911__R6HH15__BN557_01507
ERR1913239.8873__1.8873	166486__D4KUC4__arcB_1
ERR1913239.8841__1.8841	626929__F3PF96__B5F24_01800
ERR1913239.8997__1.8997	39492__R6SPM9__pheT
ERR1913239.9259__1.9259	1897011__A0A1Q6RE67__BHW41_04635
ERR1913239.9422__1.9422	1262927__R7EX56__BN677_00089
ERR1913239.9427__1.9427	301301__G2T4K1__RHOM_14310
ERR1913239.9665__1.9665	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913239.9843__1.9843	901__B6WXF1__DESPIGER_1660
ERR1913239.9928__1.9928	1262911__R6GZX7__BN557_00838
ERR1913239.9991__1.9991	1263000__R5EAZ0__BN466_00537
ERR1913239.10906__1.10906	328814__GCA_004558275.1_00198
ERR1913239.10994__1.10994	28117__B0MTH2__ALIPUT_00061
ERR1913239.11744__1.11744	853__A0A174C5M1__CGS58_04460
ERR1913239.11892__1.11892	166486__D4L378__hcaR
ERR1913239.12096__1.12096	166486__D4KWM6__ERS852572_00729
ERR1913239.12103__1.12103	166486__D4KUT4__ERS852572_01421
ERR1913239.12168__1.12168	1263000__R5EKG2__BN466_02040
ERR1913239.12355__1.12355	1262927__R7EX56__BN677_00089
ERR1913239.12446__1.12446	1262927__R7EX56__BN677_00089
ERR1913239.12528__1.12528	214856__I3YMC8__ERS852447_02666
ERR1913239.12733__1.12733	853__E2ZGD9__C7J97_11715
ERR1913239.12807__1.12807	39491__A0A174K1W6__DXB99_15020
