ERR1913196.134__1.134	301302__R5UIY5__M72_17461
ERR1913196.673__1.673	1262882__R5N349__BN519_01037
ERR1913196.677__1.677	1262929__R6F558__BN691_01421
ERR1913196.799__1.799	33043__D5HGR0__rpfC_2
ERR1913196.715__1.715	165179__A0A3E4SID1__DXB80_01945
ERR1913196.1030__1.1030	39491__C4ZCH3__EUR_17560
ERR1913196.1064__1.1064	301302__R5UKP4__cbiT
ERR1913196.1256__1.1256	901__B6WR13__DHV46_00815
ERR1913196.1259__1.1259	165179__D1PCU4__PREVCOP_05029
ERR1913196.1272__1.1272	301302__A0A0M6WVU2__M72_13551
ERR1913196.1282__1.1282	165179__A0A3E5E2S3__DXB80_03455
ERR1913196.1834__1.1834	626940__E8LG52__HMPREF9443_01850
ERR1913196.1886__1.1886	363265__R7H0P1__HMPREF0673_01907
ERR1913196.2009__1.2009	165179__A0A3E5AHY4__CFT61_07675
ERR1913196.2134__1.2134	301302__A0A173T1J1__M72_18951
ERR1913196.2108__1.2108	2293125__A0A374BSW4__DW917_13420
ERR1913196.2050__1.2050	1262882__R5MIP9__BN519_01028
ERR1913196.2346__1.2346	165179__R6CNX7__DXB80_02200
ERR1913196.2348__1.2348	33039__D4LZZ3__psf-1
ERR1913196.2465__1.2465	301302__R5VFU2__xynA1
ERR1913196.2520__1.2520	1262882__R5N1L4__BN519_00757
ERR1913196.2757__1.2757	165179__A0A3E5E643__DXB80_06030
ERR1913196.2801__1.2801	39491__A0A396FJJ9__DXB76_11995
ERR1913196.3067__1.3067	1683__C4FFS5__BBAG_1056
ERR1913196.3105__1.3105	165179__D1PEW8__DXB80_13775
ERR1913196.3191__1.3191	165179__A0A174SA26__PREVCOP_05758
ERR1913196.3216__1.3216	165179__A0A174NK27__PREVCOP_06433
ERR1913196.3270__1.3270	165179__R6B8D8__DXC61_09245
ERR1913196.3545__1.3545	301302__R5UMB3__M72_01421
ERR1913196.3554__1.3554	33043__A0A174H5E3__ERS852400_02880
ERR1913196.3980__1.3980	165179__D1PAJ7__PREVCOP_04222
ERR1913196.4092__1.4092	165179__R6B8D8__DXC61_09245
ERR1913196.4849__1.4849	2022527__A0A264YA74__CHL74_02045
ERR1913196.4950__1.4950	2024222__A0A255T0W2__CIK99_03190
ERR1913196.4993__1.4993	165179__A0A229I7F5__DXB80_02650
ERR1913196.5101__1.5101	301302__A0A173TWC1__phoR_7
ERR1913196.5163__1.5163	169435__B0PCC4__ERS852551_03419
ERR1913196.5189__1.5189	165179__A0A174W369__PREVCOP_04548
ERR1913196.5235__1.5235	363265__R6F6E7__HMPREF0673_02119
ERR1913196.5243__1.5243	165179__D1PES9__DXB80_11585
ERR1913196.5256__1.5256	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913196.5335__1.5335	165179__A0A174W369__PREVCOP_04548
ERR1913196.5429__1.5429	2022527__A0A264YA42__CHL74_01870
ERR1913196.5455__1.5455	239935__A0A2N8I8X8__B5G29_00185
ERR1913196.5563__1.5563	165179__A0A3E5DX33__PREVCOP_05190
ERR1913196.5522__1.5522	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913196.5642__1.5642	165179__A0A3E5E2S3__DXB80_03455
ERR1913196.5725__1.5725	52226__C9KLN0__MITSMUL_04114
ERR1913196.5676__1.5676	1262929__R6EZA2__BN691_02113
ERR1913196.5759__1.5759	1715092__A0A081PTH0__HMPREF2613_10080
ERR1913196.5855__1.5855	301302__A0A173TYC8__M72_00761
ERR1913196.5867__1.5867	1683__A0A126STJ8__BIANG_1139
ERR1913196.6011__1.6011	165179__R6XIF8__DXC61_07265
ERR1913196.6099__1.6099	165179__A0A3E5E4P9__DXB80_07930
ERR1913196.6088__1.6088	301302__A0A173TNM6__luxQ
ERR1913196.6179__1.6179	301302__A0A0M6W9I4__M72_19871
ERR1913196.6291__1.6291	39491__A0A396FQ67__DXB99_07505
ERR1913196.6369__1.6369	165179__R6B8D8__DXC61_09245
ERR1913196.6667__1.6667	165179__A0A3E5E4T9__DXB80_08030
ERR1913196.6705__1.6705	1262882__R5MIW5__BN519_00945
ERR1913196.6916__1.6916	165179__A0A3E5E6S6__DXB80_07575
ERR1913196.6989__1.6989	33043__A0A174BBC4__ERS852575_02261
ERR1913196.7040__1.7040	363265__R6FPM1__HMPREF0673_01826
ERR1913196.7091__1.7091	165179__D1PHD6__DXC61_03380
ERR1913196.7421__1.7421	165179__R6CNX7__DXB80_02200
ERR1913196.7447__1.7447	165179__A0A3E5A554__DXB80_13805
ERR1913196.7941__1.7941	1262929__R6ETI0__BN691_00865
ERR1913196.7961__1.7961	165179__A0A3E5DWQ1__DXB80_06635
ERR1913196.8056__1.8056	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913196.8068__1.8068	363265__R6F4I0__HMPREF0673_00778
ERR1913196.8156__1.8156	33043__D5HF43__ERS852445_00477
ERR1913196.8340__1.8340	165179__A0A3E4SEG4__DXC61_11235
ERR1913196.8356__1.8356	901__B6WRI9__DESPIGER_0385
ERR1913196.8545__1.8545	165179__W1I4H6__DXB80_13655
ERR1913196.8716__1.8716	165179__A0A174IHQ2__PREVCOP_05478
ERR1913196.8747__1.8747	165179__A0A3E5EBQ2__DXC61_01930
ERR1913196.9256__1.9256	1262924__R7HQI4__BN585_00500
ERR1913196.9340__1.9340	1796613__A0A1C7GYD6__A4V03_03700
ERR1913196.9475__1.9475	165179__A0A174IPI3__CFT61_10940
ERR1913196.9484__1.9484	552398__F4XCR9__HMPREF0866_01636
ERR1913196.9507__1.9507	165179__A0A174SA26__PREVCOP_05758
ERR1913196.9594__1.9594	39491__A0A173RA59__EUR_24800
ERR1913196.9529__1.9529	39488__R6GBC5__DXD91_06450
ERR1913196.9810__1.9810	901__B6WUH5__DESPIGER_1779
ERR1913196.9956__1.9956	1262882__R5MJJ9__BN519_01035
ERR1913196.9983__1.9983	33043__A0A173YPE0__thiD
ERR1913196.10090__1.10090	1262882__R5MSI7__BN519_01601
ERR1913196.10310__1.10310	1262882__R5N526__BN519_01603
ERR1913196.10440__1.10440	1262882__R5MPY4__BN519_01128
ERR1913196.10565__1.10565	301302__A0A0M6W9I4__M72_19871
ERR1913196.10708__1.10708	1150298__A0A174R918__ERS852535_01749
ERR1913196.10849__1.10849	301302__R5UJV1__ERS852420_01672
ERR1913196.11040__1.11040	33043__A0A173X520__ERS852575_01617
ERR1913196.11227__1.11227	39491__R6UMS6__DXD13_07035
ERR1913196.11373__1.11373	301302__A0A0M6WBZ5__spr
ERR1913196.11378__1.11378	1262882__R5N4G2__BN519_01273
ERR1913196.11596__1.11596	301302__R5UNJ6__M72_26701
ERR1913196.11817__1.11817	2293125__A0A374BMK9__DW917_16190
ERR1913196.11896__1.11896	1262929__R6FTW1__BN691_00277
ERR1913196.11981__1.11981	165179__A0A3E5DX15__DXC61_00345
ERR1913196.11995__1.11995	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913196.12427__1.12427	301302__A0A173SF21__M72_12691
ERR1913196.12438__1.12438	626940__E8LF94__DCQ00_07860
ERR1913196.12473__1.12473	165179__D1PER3__DXB80_11525
ERR1913196.12608__1.12608	1262882__R5MEI8__BN519_00283
ERR1913196.13228__1.13228	165179__D1PCL6__DXB80_13435
ERR1913196.13277__1.13277	165179__A0A3E5E189__PREVCOP_06699
ERR1913196.13399__1.13399	1262929__R6F558__BN691_01421
ERR1913196.13947__1.13947	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913196.13979__1.13979	165179__D1P9T6__PREVCOP_04016
ERR1913196.13989__1.13989	1262882__R5MYI1__BN519_00416
ERR1913196.14030__1.14030	2293125__A0A374BSW4__DW917_13420
ERR1913196.14037__1.14037	165179__A0A3E5E6S6__DXB80_07575
ERR1913196.14122__1.14122	33043__A0A174B7D6__ERS852400_01331
ERR1913196.14147__1.14147	100886__E2NNS9__CATMIT_00226
ERR1913196.14194__1.14194	40518__R5E4V5__RBL263_01242
ERR1913196.14176__1.14176	1284775__A0A095Y4Y3__HMPREF1640_07095
ERR1913196.14315__1.14315	239935__A0A2N8IYM5__CXT84_05130
ERR1913196.14371__1.14371	165179__A0A3E4SEG4__DXC61_11235
ERR1913196.14384__1.14384	165179__A0A174SA26__PREVCOP_05758
ERR1913196.14363__1.14363	301302__A0A0M6WTB1__M72_11101
ERR1913196.14433__1.14433	360807__A0A173WJE3__mcp4_4
ERR1913196.14592__1.14592	165179__D1PAJ7__PREVCOP_04222
ERR1913196.14602__1.14602	33043__A0A173WPI1__ERS852400_02100
ERR1913196.14669__1.14669	823__A0A355XJT5__ERS852429_03504
ERR1913196.14715__1.14715	165179__D1PB89__DXC61_08425
ERR1913196.14854__1.14854	100886__E2NR13__CATMIT_01017
ERR1913196.15020__1.15020	301302__A0A173RZU9__M72_23561
ERR1913196.15047__1.15047	552398__F4XCQ4__HMPREF0866_01621
ERR1913196.15147__1.15147	165179__A0A3E5AAM8__DXB80_10240
ERR1913196.15368__1.15368	1262924__R7HQN1__BN585_00550
ERR1913196.15441__1.15441	1262882__R5N5C3__BN519_01664
ERR1913196.15941__1.15941	626940__E8LGM9__DCQ00_02420
ERR1913196.16238__1.16238	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.16442__1.16442	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913196.16519__1.16519	301302__A0A0M6WJW1__ERS852420_02245
ERR1913196.16598__1.16598	165179__D1PEZ7__DXC61_06515
ERR1913196.16644__1.16644	301302__A0A0M6WWE7__ERS852420_01309
ERR1913196.16971__1.16971	28117__B0MT84__ALIPUT_00402
ERR1913196.16975__1.16975	165179__D1PDJ4__DXB80_08505
