ERR1913181.91__1.91	39492__D4MMN2__EUBSIR_00964
ERR1913181.115__1.115	39492__D4JQM9__EUBSIR_00669
ERR1913181.636__1.636	69974__A0A090FEL8__MPL3365_630008
ERR1913181.640__1.640	1262911__R6GUP7__BN557_01578
ERR1913181.549__1.549	69974__A0A090FEL8__MPL3365_630008
ERR1913181.897__1.897	1262882__R5MZF2__BN519_00592
ERR1913181.1088__1.1088	1735__B7CCF2__EUBIFOR_01879
ERR1913181.1055__1.1055	39488__A0A174CH59__DXD91_12625
ERR1913181.1139__1.1139	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1362__1.1362	69974__A0A090FEL8__MPL3365_630008
ERR1913181.1346__1.1346	649756__R7C5S2__CL2_01190
ERR1913181.1471__1.1471	1735__B7CCQ4__EUBIFOR_01982
ERR1913181.1659__1.1659	40518__R5E500__RBL263_01193
ERR1913181.1669__1.1669	371601__D4WBK5__BN891_3970
ERR1913181.1703__1.1703	853__A0A2A7B9I6__DW855_13690
ERR1913181.1811__1.1811	214856__A0A174FY71__ERS852559_01033
ERR1913181.1824__1.1824	40518__R5E282__DXD86_08940
ERR1913181.1977__1.1977	1263000__R5EXT3__BN466_02213
ERR1913181.2027__1.2027	1262882__R5MLE6__BN519_01423
ERR1913181.2121__1.2121	1262882__R5MLE6__BN519_01423
ERR1913181.2170__1.2170	1150298__R7JU23__ERS852498_02342
ERR1913181.2239__1.2239	291644__I8YIC6__HMPREF1532_03668
ERR1913181.2562__1.2562	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2597__1.2597	374840__GeneID:2546403
ERR1913181.2609__1.2609	33043__A0A173WPI1__ERS852400_02100
ERR1913181.2807__1.2807	1262882__R5MFR3__BN519_00473
ERR1913181.2781__1.2781	69974__A0A090FEL8__MPL3365_630008
ERR1913181.2966__1.2966	69974__A0A090FEL8__MPL3365_630008
ERR1913181.3078__1.3078	39496__A5Z5I2__EUBVEN_00963
ERR1913181.3085__1.3085	10742__GeneID:1262491
ERR1913181.3434__1.3434	374840__GeneID:2546403
ERR1913181.3581__1.3581	357276__I9G0T7__BACDOR_04266
ERR1913181.3669__1.3669	511969__GeneID:3959334
ERR1913181.3976__1.3976	853__A0A2J4JL53__CRH10_10795
ERR1913181.3988__1.3988	33043__A0A173XM20__ERS852445_01573
ERR1913181.4029__1.4029	820__A0A3E4XDK3__ERS852554_03650
