ERR1913218.204__1.204	357276__I9FTR0__HMPREF1065_02861
ERR1913218.251__1.251	301301__A0A395V5W5__RHOM_01200
ERR1913218.260__1.260	823__C7XA51__BDI_0499
ERR1913218.269__1.269	1160721__W0U3K4__RBI_I00339
ERR1913218.347__1.347	1550024__A0A0D8J084__TQ39_06930
ERR1913218.401__1.401	40518__R5E4X5__RB5AMG_01438
ERR1913218.439__1.439	357276__I8WC65__EL88_00520
ERR1913218.591__1.591	1680__R5GRA4__ERS852382_01548
ERR1913218.695__1.695	239935__A0A139TVJ4__CXT86_02020
ERR1913218.799__1.799	69974__A0A090FEL8__MPL3365_630008
ERR1913218.838__1.838	39496__A5Z612__EUBVEN_01144
ERR1913218.1117__1.1117	158787__A0A087DDM5__BSCA_0113
ERR1913218.1146__1.1146	301302__A0A173SUI7__M72_11091
ERR1913218.1276__1.1276	239935__A0A2N8IRH4__CXT92_05605
ERR1913218.1315__1.1315	1683__C4FEM4__BIANG_0131
ERR1913218.1398__1.1398	35833__S2KTV4__HMPREF0179_05216
ERR1913218.1461__1.1461	1681__A0A374QI45__RY70_1518
ERR1913218.1869__1.1869	39492__A0A174ZL16__EUBSIR_01269
ERR1913218.1983__1.1983	1550024__A0A0D8J3P2__TQ39_00965
ERR1913218.2053__1.2053	1681__A0A1V8R046__AYW85_06770
ERR1913218.2104__1.2104	821__R9HFW2__DXD01_00365
ERR1913218.2169__1.2169	357276__A0A174L570__GV66_05720
ERR1913218.2230__1.2230	1680__A0A076JNH5__DXC60_03835
ERR1913218.2238__1.2238	301301__G2T1Q7__RHOM_08085
ERR1913218.2295__1.2295	820__A7V9F9__B5G17_14640
ERR1913218.2438__1.2438	1262882__R5N3T7__BN519_01188
ERR1913218.2456__1.2456	239935__A0A2N8HH03__CXU09_08875
ERR1913218.2640__1.2640	1550024__G9RVU1__TQ39_06560
ERR1913218.3017__1.3017	357276__I8WEY2__ABI39_04185
ERR1913218.3069__1.3069	151538__GeneID:920438
ERR1913218.3156__1.3156	239935__A0A2N8IF99__lpdA
ERR1913218.3316__1.3316	239935__R6J9Y2__CXT85_07000
ERR1913218.3664__1.3664	246787__A0A0P0FV02__AA416_03728
ERR1913218.3667__1.3667	1263006__R6LM98__BN515_00610
ERR1913218.3736__1.3736	1550024__A0A0D8J296__ASJ35_12655
ERR1913218.3787__1.3787	1680__A7A7Z9__AAX71_05385
ERR1913218.3795__1.3795	1203069__I7J3A3__BN52_04800
ERR1913218.3904__1.3904	100886__A0A174PHR7__CATMIT_02609
ERR1913218.3947__1.3947	820__A0A3E4GE89__DXB48_02565
ERR1913218.3952__1.3952	820__A7V9F9__B5G17_14640
ERR1913218.4028__1.4028	239935__A0A2N8HDT1__CXT94_05270
ERR1913218.4239__1.4239	1262911__R6GSH8__BN557_00939
ERR1913218.4971__1.4971	1099853__G9S842__NSB1T_03200
ERR1913218.4974__1.4974	39492__D4JWY5__rpe
ERR1913218.5101__1.5101	1099853__U5CLE4__NSB1T_06555
ERR1913218.5183__1.5183	1358__H5T1E6__LL229_2062
ERR1913218.5463__1.5463	1262911__R6GKS1__BN557_00184
ERR1913218.5507__1.5507	1547597__A0A0C3NIK3__BA92_06025
ERR1913218.5441__1.5441	1550024__A0A0W7TTP8__TQ39_06385
ERR1913218.5448__1.5448	1681__A0A0H2PP44__BBTM_02041
ERR1913218.5517__1.5517	301301__A0A395V747__ERS852391_01535
ERR1913218.5647__1.5647	1262911__R6HN81__BN557_00921
ERR1913218.5675__1.5675	626940__E8LCL8__DCQ00_09880
ERR1913218.5791__1.5791	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913218.5794__1.5794	1358__Q9CGG8__CRM88_04010
ERR1913218.6023__1.6023	1550024__A0A3B9WI73__ASJ35_03410
ERR1913218.6040__1.6040	357276__A0A076IKP7__BACDOR_04239
ERR1913218.6193__1.6193	1680__A0A174BEE7__BSTER_1311
ERR1913218.6195__1.6195	820__A0A3E4VXP2__yesR
ERR1913218.6389__1.6389	2024223__A0A255T1D1__CIL02_12545
ERR1913218.6541__1.6541	1304__J7TGU8__Ssal_02017
ERR1913218.6608__1.6608	158787__A0A087D7K9__BSCA_2206
ERR1913218.6713__1.6713	2173__A0A1D2WSL0__METSMIF1_03725
ERR1913218.6758__1.6758	820__A7UYX8__DXD40_11635
ERR1913218.6772__1.6772	1624__A0A385XMD2__BUE87_00105
ERR1913218.6840__1.6840	820__A0A3E4W984__pssA
ERR1913218.6878__1.6878	820__A0A173YYG4__evgS_3
ERR1913218.6999__1.6999	239935__A0A2N8HEH9__CXU07_11710
ERR1913218.7121__1.7121	158787__A0A087D7L4__BBSC_0639
ERR1913218.7122__1.7122	239935__R6J9Y2__CXT85_07000
ERR1913218.7176__1.7176	1263109__GCA_000438135.1_01610
ERR1913218.7146__1.7146	1624__A0A089QH34__B6U42_07040
ERR1913218.7147__1.7147	1099853__G9S562__NSB1T_00535
ERR1913218.7237__1.7237	820__A0A174F0C1__nreB
ERR1913218.7336__1.7336	820__A0A174M9V5__M093_0237
ERR1913218.7474__1.7474	158787__A0A087DFP0__BBSC_1168
ERR1913218.7610__1.7610	457421__C5ERC0__CBFG_04276
ERR1913218.7793__1.7793	357276__I8VLL2__HMPREF1065_03395
ERR1913218.8074__1.8074	1550024__G9RWG1__ASJ35_03770
ERR1913218.8160__1.8160	239935__A0A2N8HT44__CXT84_11035
ERR1913218.8173__1.8173	1681__U2BXF8__DXC70_05435
ERR1913218.8407__1.8407	1550024__A0A0D8IWE6__ASJ35_08175
