study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	read_count	base_count	fastq_ftp	submitted_ftp	sra_ftp
PRJEB17784	SAMEA103958148	ERX1973523	ERR1912946	408170	human gut metagenome	7829715	1828789974	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/006/ERR1912946/ERR1912946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/006/ERR1912946/ERR1912946_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912946/DC-02-11-0-0_15s012614-1-1_lane6.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912946/DC-02-11-0-0_15s012614-1-1_lane6.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/006/ERR1912946
PRJEB17784	SAMEA103958148	ERX1973524	ERR1912947	408170	human gut metagenome	9686397	2349387789	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/007/ERR1912947/ERR1912947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/007/ERR1912947/ERR1912947_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912947/DC-02-11-0-0_15s012614-2-1_lane7.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912947/DC-02-11-0-0_15s012614-2-1_lane7.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/007/ERR1912947
PRJEB17784	SAMEA103958148	ERX1973525	ERR1912948	408170	human gut metagenome	8276879	1991393474	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912948/ERR1912948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912948/ERR1912948_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912948/DC-02-11-0-0_15s012614-3-1_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912948/DC-02-11-0-0_15s012614-3-1_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/008/ERR1912948
PRJEB17784	SAMEA103958163	ERX1973526	ERR1912949	408170	human gut metagenome	8009666	1368443398	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912949/ERR1912949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912949/ERR1912949_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912949/PD-17-11-0-0_14s005967-1-1_lane7.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912949/PD-17-11-0-0_14s005967-1-1_lane7.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/009/ERR1912949
PRJEB17784	SAMEA103958163	ERX1973527	ERR1912950	408170	human gut metagenome	8325104	1419696236	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912950/ERR1912950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912950/ERR1912950_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912950/PD-17-11-0-0_14s005967-2-1_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912950/PD-17-11-0-0_14s005967-2-1_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/000/ERR1912950
PRJEB17784	SAMEA103958163	ERX1973528	ERR1912951	408170	human gut metagenome	14364976	1198202222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/001/ERR1912951/ERR1912951.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912951/PD-17-11-0-0_14s005967-3-1_lane1.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912951/PD-17-11-0-0_14s005967-3-1_lane1.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/001/ERR1912951
PRJEB17784	SAMEA103958163	ERX1973529	ERR1912952	408170	human gut metagenome	14425664	1201047639	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/002/ERR1912952/ERR1912952.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912952/PD-17-11-0-0_14s005967-4-1_lane2.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912952/PD-17-11-0-0_14s005967-4-1_lane2.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/002/ERR1912952
PRJEB17784	SAMEA103958125	ERX1973530	ERR1912953	408170	human gut metagenome	7519743	1301358765	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912953/ERR1912953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912953/ERR1912953_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912953/PD-22-11-0-0_14s005976-1-1_lane1.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912953/PD-22-11-0-0_14s005976-1-1_lane1.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/003/ERR1912953
PRJEB17784	SAMEA103958125	ERX1973531	ERR1912954	408170	human gut metagenome	7435216	1287926861	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/004/ERR1912954/ERR1912954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/004/ERR1912954/ERR1912954_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912954/PD-22-11-0-0_14s005976-2-1_lane2.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912954/PD-22-11-0-0_14s005976-2-1_lane2.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/004/ERR1912954
PRJEB17784	SAMEA103958125	ERX1973532	ERR1912955	408170	human gut metagenome	7435925	1323689605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/005/ERR1912955/ERR1912955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/005/ERR1912955/ERR1912955_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912955/PD-22-11-0-0_14s005976-3-1_lane3.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912955/PD-22-11-0-0_14s005976-3-1_lane3.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/005/ERR1912955
