ERR1913021.161__1.161	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913021.342__1.342	1262935__R5GDB4__BN773_01091
ERR1913021.548__1.548	1263000__R5EXT3__BN466_02213
ERR1913021.934__1.934	820__A0A3E4FZM1__adaA_2
ERR1913021.1525__1.1525	1262935__R5GUZ2__BN773_00533
ERR1913021.1656__1.1656	1160721__W0U834__RBI_I01990
ERR1913021.1925__1.1925	1501391__GCA_000786575.1_00046
ERR1913021.2167__1.2167	46506__R6AEP1__HMPREF1181_01415
ERR1913021.2173__1.2173	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913021.2208__1.2208	28111__E5WUX1__HMPREF1016_00548
ERR1913021.2321__1.2321	1262825__R5EN22__BN724_00572
ERR1913021.2369__1.2369	291644__I9TL83__HMPREF1532_00872
ERR1913021.2408__1.2408	384638__B7APR1__BACPEC_00667
ERR1913021.2589__1.2589	1262889__R7HBS9__BN634_01225
ERR1913021.2709__1.2709	818__A0A3E5GXM2__BJP75_025230
ERR1913021.2885__1.2885	39492__D4JR58__EUBSIR_02090
ERR1913021.2974__1.2974	46228__V8CDQ4__RUMLAC_02769
ERR1913021.3083__1.3083	820__A0A139K4T0__ERS852510_03146
ERR1913021.3121__1.3121	1262920__R5KD76__BN467_01465
ERR1913021.3690__1.3690	40518__R5DVV1__RBATCC27255_00999
ERR1913021.4020__1.4020	2108523__A0A2P2F6D0__LAWASA_1569
ERR1913021.4402__1.4402	28118__F9Z6D1__DER54_04565
ERR1913021.4486__1.4486	35833__E5Y5K1__HMPREF0179_01464
ERR1913021.4508__1.4508	1378168__V2YA11__N510_02528
ERR1913021.4525__1.4525	2108523__A0A2P2F677__LAWASA_1497
ERR1913021.4793__1.4793	454155__F3QXB7__HMPREF9442_02852
ERR1913021.4762__1.4762	166486__C7GCP5__ROSINTL182_07683
ERR1913021.4797__1.4797	1262889__R7HCL5__BN634_01590
ERR1913021.4958__1.4958	357276__A0A0K2HKT7__B5F95_21090
ERR1913021.5391__1.5391	39490__U2PBH7__HMPREF0373_03331
ERR1913021.5400__1.5400	28118__F9ZBG8__DHW44_04410
ERR1913021.5442__1.5442	1628085__A0A2U1B477__C7386_12136
ERR1913021.5449__1.5449	821__A0A0P0M5Z6__BVU_0429
ERR1913021.5547__1.5547	357276__A0A076IN30__DXD47_09350
ERR1913021.5563__1.5563	1262911__R6GPC5__BN557_00852
ERR1913021.5626__1.5626	357276__A0A076ISD9__EL88_07480
ERR1913021.5665__1.5665	47678__R5UHH8__HMPREF1061_02584
ERR1913021.5742__1.5742	28117__B0MTW8__ALIPUT_00502
ERR1913021.5752__1.5752	28118__F9Z9X9__DF785_11470
ERR1913021.5950__1.5950	1263000__R5EKG2__BN466_02040
ERR1913021.6005__1.6005	291644__I9HQ59__HMPREF1071_02479
ERR1913021.6220__1.6220	418240__A0A396LB78__yehT_1
ERR1913021.6288__1.6288	165179__D1PER3__DXB80_11525
ERR1913021.6395__1.6395	371601__I9JEF3__DXD80_17785
ERR1913021.6686__1.6686	1262743__R5C054__BN727_01980
ERR1913021.6708__1.6708	357276__A0A0K2HKT7__B5F95_21090
ERR1913021.6773__1.6773	1262889__R7H960__BN634_00690
ERR1913021.6850__1.6850	28118__R6FH70__NCTC10826_02742
ERR1913021.6910__1.6910	357276__I9F327__DXD47_22495
ERR1913021.6978__1.6978	28116__C3QN68__BACOVA_04250
ERR1913021.6986__1.6986	1262889__R7H773__BN634_02377
ERR1913021.7020__1.7020	820__R7E9Z4__DXC68_06065
ERR1913021.7093__1.7093	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913021.7094__1.7094	357276__A0A0K2HHN3__GV66_08845
ERR1913021.7273__1.7273	39492__D4MMN2__EUBSIR_00964
ERR1913021.7300__1.7300	820__A0A174CG08__DXB62_13215
ERR1913021.7483__1.7483	1262935__R5GEV7__BN773_01835
ERR1913021.7533__1.7533	1780376__A0A143XSC4__BN3659_01663
ERR1913021.7546__1.7546	823__A0A355XLS2__ERS852380_02644
ERR1913021.7666__1.7666	823__A0A395YRX4__ERS852513_03444
ERR1913021.7884__1.7884	39490__U2QJK2__LG34_07975
ERR1913021.7900__1.7900	28118__F9Z6F1__DER54_08365
ERR1913021.7978__1.7978	823__A0A355XFH7__ERS852513_00769
ERR1913021.8027__1.8027	357276__A0A076IIL0__EL88_03065
ERR1913021.8076__1.8076	823__A0A395YZG9__M092_4358
ERR1913021.8184__1.8184	821__R9HFW2__DXD01_00365
ERR1913021.8612__1.8612	39492__D4JR58__EUBSIR_02090
ERR1913021.8839__1.8839	1735__B7C9V5__EUBIFOR_00959
ERR1913021.8921__1.8921	1262888__R6P7T1__BN582_00315
ERR1913021.8955__1.8955	46228__V8CDQ4__RUMLAC_02769
ERR1913021.9064__1.9064	821__R9HFW2__DXD01_00365
ERR1913021.9025__1.9025	357276__A0A0K2HI25__DXD47_04465
ERR1913021.9028__1.9028	291644__I9TD38__HMPREF1532_01636
ERR1913021.9613__1.9613	1262935__R5GH23__BN773_00804
ERR1913021.9903__1.9903	204516__U6R9H3__HMPREF1534_03348
ERR1913021.9974__1.9974	821__R9HFW2__DXD01_00365
ERR1913021.10018__1.10018	39492__D4JWM0__atpF
ERR1913021.10309__1.10309	328814__GCA_004558275.1_00034
ERR1913021.10340__1.10340	291644__I9TBY1__HMPREF1532_01991
ERR1913021.10368__1.10368	823__D0TGD9__hpt
ERR1913021.11045__1.11045	338188__A0A174GPX4__ERS852397_00693
ERR1913021.11265__1.11265	28111__R5JTT9__BACEGG_01644
ERR1913021.11394__1.11394	291644__R5J9U3__HMPREF1071_01626
ERR1913021.11452__1.11452	1262935__R5GGB1__BN773_00342
ERR1913021.11541__1.11541	821__A0A0P0M3U7__DXB90_14325
ERR1913021.11946__1.11946	28111__E5WUX1__HMPREF1016_00548
ERR1913021.11901__1.11901	357276__A0A0P0M2G3__BACDOR_03913
ERR1913021.11913__1.11913	1262935__R5GUZ2__BN773_00533
ERR1913021.12139__1.12139	487174__K0X429__HMPREF9448_00932
ERR1913021.12157__1.12157	357276__A0A0K2HF54__HMPREF1063_03537
ERR1913021.12193__1.12193	823__A0A174EFT7__luxQ_5
ERR1913021.12365__1.12365	46228__B5CPT7__HMPREF1202_00616
ERR1913021.12452__1.12452	1262911__R6H2J2__BN557_01228
ERR1913021.12568__1.12568	165179__A0A3E5EAM5__DXC61_07785
ERR1913021.12534__1.12534	1262935__R5GF37__BN773_01715
ERR1913021.12609__1.12609	1550024__G9RZG5__TQ39_11180
ERR1913021.12614__1.12614	357276__I9R994__BACDOR_04044
ERR1913021.12699__1.12699	214856__I3YPR5__ERS852447_01364
ERR1913021.12873__1.12873	204516__U6R9H3__HMPREF1534_03348
ERR1913021.12898__1.12898	28111__E5WUE7__BACEGG_02087
ERR1913021.12938__1.12938	28117__B0MXU0__BHV66_07550
ERR1913021.13156__1.13156	1262935__R5GSZ0__BN773_01827
ERR1913021.13256__1.13256	357276__B6W1J2__BACDOR_03380
ERR1913021.13376__1.13376	1262935__R5GS65__BN773_01399
ERR1913021.13383__1.13383	357276__B6W1J2__BACDOR_03380
ERR1913021.13818__1.13818	357276__I9FTR0__HMPREF1065_02861
ERR1913021.13774__1.13774	246787__I9EAB0__BACCELL_00131
ERR1913021.14425__1.14425	1262889__R7H9H9__BN634_02436
ERR1913021.14412__1.14412	40518__R5DVQ2__DXD93_00365
ERR1913021.14747__1.14747	357276__A0A1Y3Z3W0__IY41_20500
ERR1913021.14802__1.14802	821__A0A173XDD3__DXB82_17180
ERR1913021.14931__1.14931	357276__I9R201__B5F00_01910
ERR1913021.14944__1.14944	46228__V8CA96__RUMLAC_01531
ERR1913021.15168__1.15168	28118__R6F5X8__DF785_07935
ERR1913021.15804__1.15804	2293125__A0A374BSW4__DW917_13420
ERR1913021.16008__1.16008	357276__A0A076IRX4__ABI39_13585
ERR1913021.16090__1.16090	823__A0A355XKQ8__DHP27_04010
ERR1913021.16124__1.16124	357276__B6W5Q9__HMPREF1063_03125
ERR1913021.16173__1.16173	28118__F9Z4Y7__DF785_06945
ERR1913021.16302__1.16302	357276__B6W1J2__BACDOR_03380
ERR1913021.16441__1.16441	821__A0A396F598__CUU_3259
ERR1913021.16504__1.16504	357276__D1JY58__BACDOR_04277
ERR1913021.16577__1.16577	871325__A0A1M5BMQ2__SAMN05444349_11964
ERR1913021.16581__1.16581	1263107__GCA_000436995.1_00142
ERR1913021.17081__1.17081	1262825__R5E1G0__BN724_01308
ERR1913021.17259__1.17259	357276__A0A076II57__GV66_07710
ERR1913021.17266__1.17266	46503__R6X6Y7__ERS852463_01453
ERR1913021.17381__1.17381	418240__A0A174M9G4__ERS852523_01208
ERR1913021.17556__1.17556	410072__A0A3E4GUH0__COPCOM_01729
ERR1913021.17626__1.17626	39492__A0A174ZP27__EUBSIR_00033
ERR1913021.17637__1.17637	214856__I3YPR2__Alfi_2720
ERR1913021.17845__1.17845	1628085__A0A3E2Y1L0__C7386_11254
ERR1913021.18028__1.18028	46506__A0A120A0V1__DXC41_00280
ERR1913021.18072__1.18072	39492__D4MJF3__EUBSIR_02248
ERR1913021.18079__1.18079	214856__R5UN64__ERS852447_02669
ERR1913021.18455__1.18455	39492__B0MP07__ERS852540_02083
ERR1913021.18519__1.18519	204516__U6RGN8__HMPREF1534_01465
ERR1913021.18506__1.18506	458033__GCA_001482755.1_02203
ERR1913021.18514__1.18514	1262889__R7HBI6__BN634_00794
ERR1913021.18587__1.18587	410072__A0A3E4GPD6__DXD67_10205
ERR1913021.18704__1.18704	214856__R6YD52__ERS852447_02171
ERR1913021.18923__1.18923	1262889__R7HD84__BN634_01675
ERR1913021.18938__1.18938	39492__D4MJF3__EUBSIR_02248
ERR1913021.19229__1.19229	1227276__U2K7J0__HMPREF9148_02764
ERR1913021.19435__1.19435	1262945__R6YN47__BN600_01557
ERR1913021.19389__1.19389	291644__I9SX55__HMPREF1532_03305
ERR1913021.19452__1.19452	46506__A0A108TAK3__fepA_3
ERR1913021.19546__1.19546	823__A0A395YQ63__B5F32_15335
ERR1913021.19687__1.19687	1262988__R7N4G5__BN816_01692
ERR1913021.19653__1.19653	357276__A0A076IRZ5__BACDOR_00630
