ERR1913308.242__1.242	28117__B0MUR5__BHV66_03900
ERR1913308.383__1.383	39491__A0A0M6WPN4__DXB69_06325
ERR1913308.446__1.446	214856__R6Y7P0__ERS852447_00307
ERR1913308.458__1.458	610243__A0A060QJF7__ASAP_2763
ERR1913308.782__1.782	301302__R5UL57__ERS852420_00622
ERR1913308.1026__1.1026	291644__I8Z037__ERS852428_00495
ERR1913308.1087__1.1087	626929__F3PM80__HMPREF9445_02977
ERR1913308.1364__1.1364	626929__F3PL90__HMPREF9445_03120
ERR1913308.1485__1.1485	1262744__R6FST0__BN744_00381
ERR1913308.1585__1.1585	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913308.2002__1.2002	39491__A0A395V5R3__EUBREC_1883
ERR1913308.2131__1.2131	1150298__A0A174HXS4__ERS852498_00503
ERR1913308.2133__1.2133	820__A0A396CMY7__HMPREF1072_03009
ERR1913308.2259__1.2259	821__I9R3W6__DXC16_12455
ERR1913308.2379__1.2379	820__A0A3E4IGA7__DXD40_07110
ERR1913308.2465__1.2465	820__A0A174M9V5__M093_0237
ERR1913308.2527__1.2527	460384__A0A2T3FEY2__C7256_08230
ERR1913308.2616__1.2616	853__D4JY61__C4N21_10560
ERR1913308.2673__1.2673	214856__I3YPQ0__ERS852447_01379
ERR1913308.2782__1.2782	1263000__R5EUG9__BN466_01476
ERR1913308.2923__1.2923	820__A0A3E4G493__ERS417307_00253
ERR1913308.2941__1.2941	820__A0A139KG04__ERS852459_01249
ERR1913308.2900__1.2900	301302__R5V6L8__M72_16121
ERR1913308.3157__1.3157	1160721__R6U304__BHW50_05725
ERR1913308.3566__1.3566	28052__A0A174IKM0__ERS852499_00833
ERR1913308.3876__1.3876	28117__B0MT73__ALIPUT_00412
ERR1913308.4015__1.4015	246787__R6KQ08__AA416_01934
ERR1913308.4037__1.4037	626940__E8LCM5__BHW43_00395
ERR1913308.4127__1.4127	820__A0A3E4VZT7__DXB48_16145
