ERR1913276.154__1.154	1262929__R6EXF7__BN691_00015
ERR1913276.202__1.202	820__A0A3E4W4W5__ERS852554_02179
ERR1913276.350__1.350	1965576__A0A1Y4LPA8__B5F19_05805
ERR1913276.311__1.311	47678__A5ZG68__ERS852494_02968
ERR1913276.397__1.397	818__A0A139KDV3__HMPREF2534_02467
ERR1913276.627__1.627	28117__B0MT73__ALIPUT_00412
ERR1913276.616__1.616	1262992__R5CXM7__BN795_01016
ERR1913276.678__1.678	823__A0A395YRW4__DD466_15895
ERR1913276.575__1.575	1965537__A0A1Y4WKT0__B5E42_11060
ERR1913276.725__1.725	39485__A0A174ZUV1__tig_3
ERR1913276.827__1.827	214856__A0A173ZZ16__umuC_2
ERR1913276.877__1.877	33039__D4M379__selB
ERR1913276.1029__1.1029	1262929__R6EZP7__BN691_00230
ERR1913276.1064__1.1064	820__A7V859__ERS852462_00341
ERR1913276.1123__1.1123	817__A0A0E2SS13__DXA81_19780
ERR1913276.1260__1.1260	46228__V8CH54__RUMLAC_00903
ERR1913276.1353__1.1353	1550024__G9RPH0__TQ39_05505
ERR1913276.1380__1.1380	1262989__R6ZM68__BN815_00396
ERR1913276.1504__1.1504	1965650__A0A1Y3VEZ6__B5G16_11190
ERR1913276.1446__1.1446	40518__R5DUG7__sbcC
ERR1913276.1636__1.1636	357276__A0A0K2HG61__BACDOR_02028
ERR1913276.1962__1.1962	292800__G9YVI7__yrrB
ERR1913276.1917__1.1917	239935__A0A2N8HW65__CXU09_08515
ERR1913276.2164__1.2164	357276__I8WPR6__EL88_06675
ERR1913276.2248__1.2248	214856__A0A174G1M7__ERS852559_00594
ERR1913276.2432__1.2432	39492__D4JRZ7__smc
ERR1913276.2582__1.2582	820__A0A139JUD3__DXC91_19380
ERR1913276.2596__1.2596	74426__sufB
ERR1913276.2621__1.2621	1262989__R6YI19__BN815_02193
ERR1913276.2705__1.2705	823__A6LC27__DXB14_11470
ERR1913276.2767__1.2767	853__E2ZGD9__C7J97_11715
ERR1913276.3122__1.3122	387661__K5YAU5__PRABACTJOHN_00490
ERR1913276.3128__1.3128	216816__A0A2N0SME6__BLIF_1881
ERR1913276.3276__1.3276	214856__R6XUN2__rcsC_1
ERR1913276.3278__1.3278	28117__B0MTV0__BHV66_06395
ERR1913276.3235__1.3235	74426__argF
ERR1913276.3562__1.3562	823__A0A174LWY0__lepB
ERR1913276.3677__1.3677	28117__B0MU53__ALIPUT_00569
ERR1913276.3723__1.3723	39492__D4JU31__ERS852540_00198
ERR1913276.3754__1.3754	820__A0A3E4W4Y7__B5G17_02055
ERR1913276.3851__1.3851	181487__N6WCC6__carA
ERR1913276.3926__1.3926	216816__E8MW20__DD674_07905
ERR1913276.4080__1.4080	2108523__A0A2P2F3I9__LAWASA_555
ERR1913276.4382__1.4382	47678__A5ZHL2__DXB67_12495
ERR1913276.4441__1.4441	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913276.4446__1.4446	78535__E6IYL2__tnpA_1
ERR1913276.4527__1.4527	74426__groL
ERR1913276.4574__1.4574	35833__E5Y4N9__HMPREF0179_01151
ERR1913276.4587__1.4587	626932__G5H6M5__HMPREF9450_00585
ERR1913276.4630__1.4630	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913276.4689__1.4689	1262911__R6HHR1__BN557_01622
ERR1913276.4759__1.4759	820__A0A374Q351__DXD40_05850
ERR1913276.4719__1.4719	214856__I3YK71__ERS852559_02472
ERR1913276.4884__1.4884	1262924__R7HUR1__BN585_00057
ERR1913276.4910__1.4910	820__A0A174M9V5__M093_0237
ERR1913276.4931__1.4931	820__A7UYX8__DXD40_11635
ERR1913276.5060__1.5060	216816__Q8G4D7__DD721_10575
ERR1913276.5103__1.5103	28117__B0MTW8__ALIPUT_00502
ERR1913276.5235__1.5235	28117__B0MXG8__ALIPUT_01814
