ERR1913176.458__1.458	818__A0A0P0F391__BJP75_009470
ERR1913176.468__1.468	310297__B5CWN5__DXD04_07295
ERR1913176.743__1.743	1262761__R6RP99__BN606_00488
ERR1913176.941__1.941	357276__I9R4T1__IY41_06800
ERR1913176.1028__1.1028	246787__A0A3D6AU53__AA416_01665
ERR1913176.809__1.809	246787__A0A0P0FSC9__BACCELL_02534
ERR1913176.1358__1.1358	1160721__W0U429__RBI_I00578
ERR1913176.1426__1.1426	1262988__R7N474__BN816_01573
ERR1913176.1478__1.1478	818__A0A3E5HDU6__C799_04515
ERR1913176.1494__1.1494	46228__V8CCU2__RUMLAC_01143
ERR1913176.1516__1.1516	1304__J7SIV6__pspA_3
ERR1913176.1536__1.1536	1262986__R6A1K6__BN492_01053
ERR1913176.1572__1.1572	564886__GeneID:6973115
ERR1913176.2056__1.2056	46506__B0NUC3__SAMN05444283_1019
ERR1913176.2059__1.2059	310297__B5CZI0__BACPLE_02145
ERR1913176.2267__1.2267	28117__B0MZ50__ALIPUT_02424
ERR1913176.2543__1.2543	47678__A5ZHJ2__DXB67_12405
ERR1913176.2460__1.2460	1150298__A0A174D6N6__accB
ERR1913176.2651__1.2651	1263109__GCA_000438135.1_01184
ERR1913176.3439__1.3439	357276__D1K3K9__EL88_23995
ERR1913176.3730__1.3730	1263006__R6LGA5__BN515_00076
ERR1913176.3753__1.3753	1263006__R6LGA5__BN515_00076
ERR1913176.3801__1.3801	46506__B0NUC8__DXC34_03410
ERR1913176.3901__1.3901	310297__B5CV97__DXD04_03850
ERR1913176.3963__1.3963	246787__A0A139L268__BcellWH2_03192
ERR1913176.4165__1.4165	28117__B0MTY2__BHV66_06485
ERR1913176.4184__1.4184	40520__A0A174I8K5__ERS852394_02169
ERR1913176.4193__1.4193	1150298__A0A174BP05__murAA
ERR1913176.4285__1.4285	239935__A0A2N8IYM5__CXT84_05130
ERR1913176.4296__1.4296	310297__R5VA64__DXD04_05100
ERR1913176.4385__1.4385	569__A0A085GXZ1__PU01_16210
ERR1913176.4427__1.4427	487174__K0WT60__DDY40_05170
ERR1913176.4597__1.4597	820__A0A3E4XDK3__ERS852554_03650
ERR1913176.4545__1.4545	820__A7VAS1__HMPREF2141_03259
ERR1913176.4663__1.4663	1897011__A0A1Q6RE67__BHW41_04635
ERR1913176.4717__1.4717	310297__B5D3X3__DXB87_14935
ERR1913176.4767__1.4767	28117__B0MYP3__BHV66_04995
ERR1913176.4797__1.4797	1262927__R7EXG0__BN677_01561
ERR1913176.4936__1.4936	239935__A0A2N8IRL2__CXU06_01170
ERR1913176.5126__1.5126	360807__A0A173V2S2__phoR_7
ERR1913176.5170__1.5170	310297__B5CWN5__DXD04_07295
ERR1913176.5233__1.5233	46506__R5JSP7__AA415_01143
ERR1913176.5185__1.5185	1897011__A0A1Q6RC30__BHW41_06700
ERR1913176.5204__1.5204	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913176.5367__1.5367	1263006__R6LPZ5__BN515_02090
ERR1913176.5468__1.5468	246787__A0A0P0GK12__BcellWH2_04154
ERR1913176.5618__1.5618	39491__A0A173TFQ1__rsmF
ERR1913176.5660__1.5660	1680__R5GR82__AD0028_0014
ERR1913176.5753__1.5753	1308__A0A2X3V4X8__Y016_09410
ERR1913176.5759__1.5759	487174__K0WRZ5__HMPREF9448_02826
ERR1913176.5970__1.5970	246787__A0A3D6AQP8__AA416_04153
ERR1913176.5987__1.5987	310297__A0A174A833__DXB87_09380
ERR1913176.5993__1.5993	820__A0A173W419__DXC68_17760
ERR1913176.6299__1.6299	820__R7E9Z4__DXC68_06065
ERR1913176.6351__1.6351	487174__K0X1D9__HMPREF9448_00919
ERR1913176.6396__1.6396	310297__R5VA64__DXD04_05100
ERR1913176.6533__1.6533	1965538__A0A1Y4W5P5__B5E43_10030
ERR1913176.6571__1.6571	310298__B3JII2__BACCOP_01694
ERR1913176.6749__1.6749	246787__A0A3D6AWM8__BACCELL_01963
ERR1913176.6809__1.6809	671267__R9I139__C802_03525
ERR1913176.6834__1.6834	820__A0A139K4W5__HMPREF2141_02394
ERR1913176.6943__1.6943	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913176.6987__1.6987	1262761__R6QU78__BN606_01972
ERR1913176.7015__1.7015	301301__A0A395VBI2__RHOM_00545
ERR1913176.7314__1.7314	823__A0A174EFT7__luxQ_5
ERR1913176.7423__1.7423	820__A0A174M9V5__M093_0237
ERR1913176.7622__1.7622	1262927__R7F143__BN677_00295
ERR1913176.7670__1.7670	301301__A0A395V7N0__ERS852391_02330
ERR1913176.7910__1.7910	329854__R5M6T4__HMPREF2531_03715
ERR1913176.8005__1.8005	310297__R5VXY5__DXB87_12985
ERR1913176.8106__1.8106	46506__B0NRL5__DXC34_10445
ERR1913176.8489__1.8489	357276__A0A076IS73__GV66_00410
ERR1913176.8746__1.8746	310297__R5W4D8__DXD04_03445
ERR1913176.8770__1.8770	487174__K0XM88__DDY40_02935
ERR1913176.8999__1.8999	1262927__R7F4U7__BN677_00689
ERR1913176.9042__1.9042	1897011__A0A1Q6RG37__BHW41_02405
ERR1913176.9149__1.9149	853__A0A174BZY1__xerD_1
ERR1913176.9741__1.9741	818__A0A3E5HNR9__BSIG_1712
