ERR1913224.352__1.352	853__A0A173RZ39__C4N22_01650
ERR1913224.397__1.397	39492__B0MM84__lgt
ERR1913224.570__1.570	820__R7E9Z4__DXC68_06065
ERR1913224.868__1.868	39485__R5ZSI4__ERS852492_00875
ERR1913224.1048__1.1048	39491__D6E408__EUBREC_1466
ERR1913224.1060__1.1060	1262761__R6R3W1__BN606_01849
ERR1913224.1265__1.1265	1262761__R6R5E1__BN606_01164
ERR1913224.1534__1.1534	2293125__A0A374CFZ2__DW917_03445
ERR1913224.1660__1.1660	1262988__R7N397__BN816_01278
ERR1913224.1711__1.1711	1160721__W0U5X6__RBI_I01796
ERR1913224.1747__1.1747	487174__K0XES7__HMPREF9448_00566
ERR1913224.1816__1.1816	28118__R6F891__NCTC10826_02656
ERR1913224.1852__1.1852	1501391__GCA_000786575.1_00141
ERR1913224.2148__1.2148	2293125__A0A374BVX3__DW917_12740
ERR1913224.2499__1.2499	39485__C4Z0F4__ERS852490_00945
ERR1913224.2589__1.2589	39485__A0A174YRS0__ERS852492_00307
ERR1913224.2625__1.2625	820__A0A078STJ8__DXC68_04690
ERR1913224.2937__1.2937	1262761__R6QMI9__BN606_00798
ERR1913224.3060__1.3060	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913224.3159__1.3159	46228__V8C484__HMPREF1202_01707
ERR1913224.3298__1.3298	2293125__A0A374C4I0__DW917_08630
ERR1913224.3335__1.3335	820__A0A173YYG4__evgS_3
ERR1913224.3435__1.3435	10680__GeneID:1261099
ERR1913224.3594__1.3594	2293125__A0A374CI55__DW917_03455
ERR1913224.3709__1.3709	1263000__R5EJ27__BN466_01916
ERR1913224.3786__1.3786	1501391__GCA_000786575.1_00095
ERR1913224.3919__1.3919	29466__D6KP57__HMPREF1865_01447
ERR1913224.4071__1.4071	1262911__R6GI18__BN557_01377
ERR1913224.4123__1.4123	1628085__A0A3E2XTD7__C7386_10384
ERR1913224.4129__1.4129	39485__C4Z058__ERS852492_00130
ERR1913224.4168__1.4168	820__A0A139KIL9__DXC68_05945
ERR1913224.4217__1.4217	853__A0A173YYY4__DWZ04_09420
ERR1913224.4198__1.4198	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913224.4277__1.4277	2293125__A0A374CFT0__DW917_03440
ERR1913224.4304__1.4304	1628085__A0A3E2XXJ5__C7386_10966
ERR1913224.4316__1.4316	116085__D4J7I2__DW747_10250
ERR1913224.4506__1.4506	1262761__R6R4Y1__BN606_02001
ERR1913224.4528__1.4528	47678__A5ZI88__BACCAC_02617
ERR1913224.4746__1.4746	1262761__R6RU22__BN606_01110
ERR1913224.4852__1.4852	1262942__R7R089__BN520_02195
ERR1913224.4981__1.4981	39485__A0A174YMI9__cph2_5
ERR1913224.5110__1.5110	562__P08371__RW92_04043
ERR1913224.5642__1.5642	2293125__A0A374CII6__DW917_03460
ERR1913224.5684__1.5684	853__A0A173XRA8__CGS56_09290
ERR1913224.5685__1.5685	410072__A0A173XQG6__ERS852574_01620
ERR1913224.5831__1.5831	820__A0A3E5E0T0__ERS852554_00312
ERR1913224.5861__1.5861	1501391__GCA_000786575.1_00121
ERR1913224.5969__1.5969	39488__C0EXY6__ltaS1_2
ERR1913224.6054__1.6054	1262761__R6R8K0__BN606_01521
ERR1913224.6129__1.6129	745368__A0A1T4XS74__SAMN02745178_02179
ERR1913224.6278__1.6278	156456__G9YIG0__HMPREF0080_01452
