ERR1913223.13__1.13	28111__E5WZR2__HMPREF1016_02168
ERR1913223.75__1.75	1262760__R5LQQ5__BN758_01244
ERR1913223.193__1.193	712121__L1PGG4__HMPREF9061_01208
ERR1913223.328__1.328	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913223.595__1.595	88431__A0A3D0EYE9__rafA
ERR1913223.411__1.411	45851__R5LYR7__BHV86_03710
ERR1913223.858__1.858	1262961__R6DJH7__BN710_01796
ERR1913223.989__1.989	45851__D4RWC3__BUTYVIB_00254
ERR1913223.1271__1.1271	28111__R5K222__bglX_7
ERR1913223.1277__1.1277	45851__R5LRY3__BUTYVIB_01906
ERR1913223.1438__1.1438	45851__D4RX09__BUTYVIB_00360
ERR1913223.1656__1.1656	821__E5UY21__C800_02204
ERR1913223.1742__1.1742	45851__D4S0T7__BHV86_09275
ERR1913223.1791__1.1791	28052__R5HJU0__ERS852451_00148
ERR1913223.2176__1.2176	706562__GCA_900112995.1_00651
ERR1913223.2237__1.2237	165179__A0A3E5DZA5__DXB80_12550
ERR1913223.2243__1.2243	45851__D4S031__BHV86_10500
ERR1913223.2747__1.2747	39485__C4Z5L9__ERS852490_00668
ERR1913223.2779__1.2779	39485__C4Z0G6__spoIVB
ERR1913223.3051__1.3051	39486__B0G239__DXD82_09385
ERR1913223.3027__1.3027	45851__D4RYQ0__BUTYVIB_00958
ERR1913223.3092__1.3092	165179__R6CNX7__DXB80_02200
ERR1913223.3105__1.3105	1262760__R5L6L4__BN758_00893
ERR1913223.3117__1.3117	39485__C4Z684__ERS852492_01895
ERR1913223.3151__1.3151	45851__D4S1R7__BUTYVIB_02039
ERR1913223.3268__1.3268	165179__D1P9T6__PREVCOP_04016
ERR1913223.3395__1.3395	39485__C4Z5L2__ERS852490_00659
ERR1913223.3489__1.3489	131111__K0Z658__CYJ25_08690
ERR1913223.3739__1.3739	39485__A0A174YR79__EUBELI_20418
ERR1913223.3761__1.3761	33043__A0A174H1B6__ERS852575_02702
ERR1913223.3824__1.3824	1262760__R5LCF2__BN758_01041
ERR1913223.3864__1.3864	1262992__R5D6H6__BN795_00284
ERR1913223.3889__1.3889	45851__D4RWC3__BUTYVIB_00254
ERR1913223.4033__1.4033	1262760__R5LMB9__BN758_00399
ERR1913223.4064__1.4064	39491__A0A396FS17__envC
ERR1913223.4086__1.4086	410072__C0BC38__ERS852574_02017
ERR1913223.4131__1.4131	165179__A0A3E5E920__DXB80_11625
ERR1913223.4281__1.4281	1262886__R6QKT6__BN563_01582
ERR1913223.4215__1.4215	1284775__A0A095Y649__HMPREF1640_07125
ERR1913223.4316__1.4316	1262825__R5E8E8__BN724_02169
ERR1913223.4381__1.4381	1262825__R5EAZ3__BN724_00826
ERR1913223.4415__1.4415	1263006__R6MLA8__BN515_00853
ERR1913223.4568__1.4568	2022527__A0A264Y9E9__CHL74_03710
ERR1913223.4719__1.4719	40520__R7DCK3__DXD81_02605
ERR1913223.4784__1.4784	384638__B7APN3__BACPEC_00639
ERR1913223.4811__1.4811	45851__D4S1J6__BHV86_08535
ERR1913223.4905__1.4905	165179__D1PCY7__DXB80_02765
ERR1913223.5035__1.5035	1262886__R6QJF6__BN563_01169
ERR1913223.5331__1.5331	1262882__R5N4F5__BN519_01266
ERR1913223.5357__1.5357	45851__D4RXK7__BUTYVIB_00558
ERR1913223.5383__1.5383	1262816__R6C4M1__BN687_02367
