ERR1913040.45__1.45	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913040.26__1.26	165179__A0A3E5DV57__DXB80_11400
ERR1913040.69__1.69	487175__A0A350CXX6__HMPREF9439_00888
ERR1913040.147__1.147	39491__R6UMS6__DXD13_07035
ERR1913040.304__1.304	69974__A0A090FEL8__MPL3365_630008
ERR1913040.317__1.317	69974__A0A090FEL8__MPL3365_630008
ERR1913040.394__1.394	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913040.415__1.415	69974__A0A090FEL8__MPL3365_630008
ERR1913040.475__1.475	69974__A0A090FEL8__MPL3365_630008
ERR1913040.533__1.533	1262924__R7HQD9__BN585_00129
ERR1913040.555__1.555	165179__A0A229I443__DXB80_10950
ERR1913040.598__1.598	1262924__R7HML0__BN585_01508
ERR1913040.717__1.717	820__A0A139JV05__B5G17_18125
ERR1913040.713__1.713	39485__A0A174Z851__cdaR_1
ERR1913040.825__1.825	69974__A0A090FEL8__MPL3365_630008
ERR1913040.924__1.924	39491__A0A396FRK0__ERS852417_00541
ERR1913040.900__1.900	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1079__1.1079	39491__A0A395ZE48__DXB76_02395
ERR1913040.1117__1.1117	39491__A0A173VD97__DXB69_07350
ERR1913040.1136__1.1136	820__A0A3E5E0T0__ERS852554_00312
ERR1913040.1319__1.1319	310298__B3JF96__BACCOP_00544
ERR1913040.1365__1.1365	823__A0A395YRW4__DD466_15895
ERR1913040.1396__1.1396	165179__A0A3E4SB95__DXC61_13455
ERR1913040.1501__1.1501	39485__C4Z4X5__ERS852492_02859
ERR1913040.1513__1.1513	1160721__R6T617__truA
ERR1913040.1602__1.1602	28117__B0MXR4__BHV66_08025
ERR1913040.1683__1.1683	853__A0A329UEG4__CHR60_00585
ERR1913040.1807__1.1807	69974__A0A090FEL8__MPL3365_630008
ERR1913040.1811__1.1811	410072__A0A174EHQ6__ERS852481_02629
ERR1913040.1837__1.1837	204516__U6R838__HMPREF1534_03867
ERR1913040.1889__1.1889	853__A8SGX8__C4N21_08625
ERR1913040.2005__1.2005	820__A0A3E4GA19__SAMN05444418_10562
ERR1913040.2056__1.2056	40518__R5DLJ7__lytR_4
ERR1913040.2113__1.2113	69974__A0A090FEL8__MPL3365_630008
ERR1913040.2275__1.2275	47678__R5U9Z6__HMPREF1061_03205
ERR1913040.2351__1.2351	69974__A0A090FEL8__MPL3365_630008
ERR1913040.2501__1.2501	39485__C4Z2I5__ERS852492_02214
ERR1913040.2683__1.2683	853__A0A173T751__C4N24_10280
ERR1913040.2800__1.2800	69974__A0A090FEL8__MPL3365_630008
ERR1913040.2865__1.2865	821__A0A396EVC9__DXB90_03525
ERR1913040.2896__1.2896	165179__R6C330__DXC61_04975
ERR1913040.2936__1.2936	39485__A0A174ZBK4__ERS852490_01585
ERR1913040.3082__1.3082	47678__R5U9M8__CGC64_07665
ERR1913040.3346__1.3346	418240__C6J8M5__yiaD
ERR1913040.3359__1.3359	204516__U6R9H3__HMPREF1534_03348
ERR1913040.3369__1.3369	40518__R5E7G3__DXD86_03405
ERR1913040.3382__1.3382	310298__B3JK99__BACCOP_02328
ERR1913040.3469__1.3469	310298__B3JED9__BACCOP_00230
ERR1913040.3491__1.3491	69974__A0A090FEL8__MPL3365_630008
ERR1913040.3498__1.3498	165179__A0A3E5DY64__CFT61_10025
ERR1913040.3633__1.3633	40518__R5DX31__DXD86_09775
ERR1913040.3653__1.3653	88431__A0A174LB13__ERS852573_00606
ERR1913040.3711__1.3711	204516__U6RG10__HMPREF1534_02094
ERR1913040.3742__1.3742	1262929__R6EYU3__BN691_00676
ERR1913040.3858__1.3858	40518__R5DUU2__yvhJ_2
ERR1913040.3870__1.3870	1262924__R7HPU8__BN585_00010
ERR1913040.3884__1.3884	204516__U6RR96__HMPREF1534_00277
ERR1913040.3975__1.3975	69974__A0A090FEL8__MPL3365_630008
ERR1913040.4091__1.4091	39491__A0A396FJJ9__DXB76_11995
ERR1913040.4100__1.4100	39488__A0A285PT56__ERS852450_02640
ERR1913040.4216__1.4216	74426__nifJ
ERR1913040.4230__1.4230	328814__GCA_004558275.1_00078
ERR1913040.4249__1.4249	301301__A0A395V9P9__ERS852391_00747
ERR1913040.4332__1.4332	69974__A0A090FEL8__MPL3365_630008
ERR1913040.4452__1.4452	165179__A0A229I7F5__DXB80_02650
ERR1913040.4517__1.4517	357276__A0A076IS26__EL88_15950
ERR1913040.4536__1.4536	820__A0A3E4RTP0__C801_01067
ERR1913040.4537__1.4537	2293125__A0A374CIC9__DW917_02045
ERR1913040.4576__1.4576	69974__A0A090FEL8__MPL3365_630008
ERR1913040.4800__1.4800	204516__U6RHM5__HMPREF1534_02096
ERR1913040.4878__1.4878	261299__W1URD3__SAMN02745147_2140
ERR1913040.4864__1.4864	69974__A0A090FEL8__MPL3365_630008
ERR1913040.4872__1.4872	39488__A0A173V5H8__appA
ERR1913040.4988__1.4988	69974__A0A090FEL8__MPL3365_630008
ERR1913040.4946__1.4946	371601__D6D1F8__BN891_3980
ERR1913040.5076__1.5076	328814__GCA_004558275.1_00067
