ERR1913290.39__1.39	28118__F9Z5N6__SAMEA44545918_01718
ERR1913290.48__1.48	28116__F7L4N5__BACOVA_00137
ERR1913290.125__1.125	387090__S0F8B2__BACCOPRO_02129
ERR1913290.314__1.314	674529__R6V730__DXB21_06405
ERR1913290.522__1.522	817__A0A396EMA4__M108_0298
ERR1913290.676__1.676	820__A0A078S4C2__ERS417307_00828
ERR1913290.776__1.776	328814__GCA_004558275.1_00075
ERR1913290.779__1.779	28116__F7L4X5__M089_2857
ERR1913290.951__1.951	39492__R6SPM9__pheT
ERR1913290.1152__1.1152	301301__G2T3Q2__ERS852391_00522
ERR1913290.1138__1.1138	487175__D9Y712__HMPREF9439_02495
ERR1913290.1360__1.1360	1150298__A0A174BP05__murAA
ERR1913290.1364__1.1364	821__A0A174NM17__lacZ_6
ERR1913290.1419__1.1419	1262992__R5D3T4__BN795_00483
ERR1913290.1551__1.1551	821__E5UY21__C800_02204
ERR1913290.1604__1.1604	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913290.1742__1.1742	28116__A7M344__BACOV975_04644
ERR1913290.1701__1.1701	671267__R9IB12__C802_00696
ERR1913290.1972__1.1972	820__A0A1T4IY80__ERS852554_01621
ERR1913290.2031__1.2031	821__A0A395UNT8__DXD64_15275
ERR1913290.2405__1.2405	28116__A0A139L6N6__HMPREF2532_02529
ERR1913290.2718__1.2718	28116__A7LXT7__HMPREF1070_00356
ERR1913290.2762__1.2762	28116__F7L4N5__BACOVA_00137
ERR1913290.2838__1.2838	820__A0A374Q854__HMPREF1073_03281
ERR1913290.2897__1.2897	821__A0A395VIK7__BVU_1225
ERR1913290.2822__1.2822	821__R7P1Q7__M099_2990
ERR1913290.2834__1.2834	1796613__A0A1C7H6N8__ADH74_01350
ERR1913290.2916__1.2916	39492__D4JSG7__EUBSIR_01006
ERR1913290.2921__1.2921	28116__C3QMW5__M089_4133
ERR1913290.2937__1.2937	1262882__R5N1T9__BN519_00804
ERR1913290.3052__1.3052	292800__A0A174P641__tap_4
ERR1913290.3062__1.3062	28116__A7M4E1__NCTC11153_01558
ERR1913290.3308__1.3308	28116__I9ST00__M088_5588
ERR1913290.3650__1.3650	39492__D4JWY5__rpe
ERR1913290.3837__1.3837	820__A0A3E4VXP2__yesR
ERR1913290.3984__1.3984	39492__A0A175A133__cycB_1
ERR1913290.4026__1.4026	28116__A0A139LKF7__DXA80_16100
ERR1913290.4177__1.4177	28117__B0N028__BHV66_05935
ERR1913290.4227__1.4227	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913290.4297__1.4297	823__D7IV95__DXC05_09565
ERR1913290.4339__1.4339	1262824__R6SU72__BN719_02581
ERR1913290.4346__1.4346	823__A0A073IAS1__M091_0201
ERR1913290.4672__1.4672	28116__C3QXZ9__DXA80_15295
ERR1913290.4786__1.4786	214856__I3YPI7__pepD_1
ERR1913290.4818__1.4818	33025__A0A395J8P0__C8D73_1144
ERR1913290.4834__1.4834	214856__R6YD52__ERS852447_02171
ERR1913290.4911__1.4911	28116__A7M018__M089_5540
ERR1913290.4982__1.4982	457421__C5ERC0__CBFG_04276
ERR1913290.5081__1.5081	28116__A0A1Y4PNX5__DXF98_26515
ERR1913290.5242__1.5242	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913290.5298__1.5298	387090__S0F8B2__BACCOPRO_02129
ERR1913290.5418__1.5418	28116__A7M018__M089_5540
ERR1913290.5580__1.5580	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913290.5664__1.5664	28116__E5C3L8__DXF98_06270
ERR1913290.5695__1.5695	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913290.5981__1.5981	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913290.5931__1.5931	28116__A0A3D2LWY1__ERS852555_01619
ERR1913290.6033__1.6033	28117__B0MTY2__BHV66_06485
ERR1913290.6070__1.6070	28116__C3QMW5__M089_4133
ERR1913290.6121__1.6121	1550024__A0A0W7TSP5__ASJ35_06140
ERR1913290.6146__1.6146	1550024__G9RT56__TQ39_09200
ERR1913290.6159__1.6159	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913290.6232__1.6232	1720294__U2B5T3__DXC51_06270
ERR1913290.6261__1.6261	74426__sugC
ERR1913290.6430__1.6430	28116__A0A3D2LPA1__CUY_3388
ERR1913290.6456__1.6456	310298__B3JFI7__BACCOP_00636
ERR1913290.6487__1.6487	28116__A0A395VUS9__DXD69_03560
ERR1913290.6627__1.6627	301301__A0A395VER0__RHOM_06755
ERR1913290.6693__1.6693	328814__GCA_004558275.1_00035
ERR1913290.6791__1.6791	28116__A0A1Y4PNX5__DXF98_26515
ERR1913290.6960__1.6960	28116__A0A1Y4Q1S9__DHW41_02535
