ERR1913021.342__1.342	1262935__R5GDB4__BN773_01091
ERR1913021.934__1.934	820__A0A3E4FZM1__adaA_2
ERR1913021.1525__1.1525	1262935__R5GUZ2__BN773_00533
ERR1913021.1656__1.1656	1160721__W0U834__RBI_I01990
ERR1913021.1925__1.1925	1501391__GCA_000786575.1_00046
ERR1913021.1934__1.1934	246787__R6KRT7__BACCELL_01801
ERR1913021.2087__1.2087	410072__C0BAZ4__ERS852574_02324
ERR1913021.2208__1.2208	28111__E5WUX1__HMPREF1016_00548
ERR1913021.2167__1.2167	46506__R6AEP1__HMPREF1181_01415
ERR1913021.2171__1.2171	487174__R5F2W8__HMPREF9448_01730
ERR1913021.2173__1.2173	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913021.2294__1.2294	487173__H1CXZ3__HMPREF9453_00231
ERR1913021.2321__1.2321	1262825__R5EN22__BN724_00572
ERR1913021.2369__1.2369	291644__I9TL83__HMPREF1532_00872
ERR1913021.2709__1.2709	818__A0A3E5GXM2__BJP75_025230
ERR1913021.2842__1.2842	28111__E5WUE9__NCTC11155_01729
ERR1913021.2885__1.2885	39492__D4JR58__EUBSIR_02090
ERR1913021.2974__1.2974	46228__V8CDQ4__RUMLAC_02769
ERR1913021.3075__1.3075	291644__I9SK54__HMPREF1532_03743
ERR1913021.3081__1.3081	40519__U2KAQ6__RUMCAL_01627
ERR1913021.3083__1.3083	820__A0A139K4T0__ERS852510_03146
ERR1913021.3455__1.3455	1262825__R5EJK4__BN724_02191
ERR1913021.3690__1.3690	40518__R5DVV1__RBATCC27255_00999
ERR1913021.3917__1.3917	1897011__A0A1Q6RFB9__BHW41_03520
ERR1913021.4014__1.4014	357276__A0A076IS73__GV66_00410
ERR1913021.4020__1.4020	2108523__A0A2P2F6D0__LAWASA_1569
ERR1913021.4144__1.4144	357276__A0A076INK2__BSEG_04225
ERR1913021.4402__1.4402	28118__F9Z6D1__DER54_04565
ERR1913021.4486__1.4486	35833__E5Y5K1__HMPREF0179_01464
ERR1913021.4762__1.4762	166486__C7GCP5__ROSINTL182_07683
ERR1913021.4793__1.4793	454155__F3QXB7__HMPREF9442_02852
ERR1913021.4797__1.4797	1262889__R7HCL5__BN634_01590
ERR1913021.5055__1.5055	1897011__A0A1Q6RE54__BHW41_04745
ERR1913021.5400__1.5400	28118__F9ZBG8__DHW44_04410
ERR1913021.5442__1.5442	1628085__A0A2U1B477__C7386_12136
ERR1913021.5547__1.5547	357276__A0A076IN30__DXD47_09350
ERR1913021.5551__1.5551	28111__R5K5V1__NCTC11155_02461
ERR1913021.5626__1.5626	357276__A0A076ISD9__EL88_07480
ERR1913021.5665__1.5665	47678__R5UHH8__HMPREF1061_02584
ERR1913021.5752__1.5752	28118__F9Z9X9__DF785_11470
ERR1913021.5742__1.5742	28117__B0MTW8__ALIPUT_00502
ERR1913021.5821__1.5821	371601__D0TKK2__BXY_21540
ERR1913021.5863__1.5863	1262889__R7HC51__BN634_01378
ERR1913021.5983__1.5983	820__A0A3E5BMG9__DXD40_05130
ERR1913021.5950__1.5950	1263000__R5EKG2__BN466_02040
ERR1913021.6005__1.6005	291644__I9HQ59__HMPREF1071_02479
ERR1913021.6220__1.6220	418240__A0A396LB78__yehT_1
ERR1913021.6367__1.6367	818__C6ILT7__BSIG_2708
ERR1913021.6444__1.6444	1262886__R6Q953__BN563_01252
ERR1913021.6543__1.6543	239935__A0A2N8I6R6__CXU04_04335
ERR1913021.6686__1.6686	1262743__R5C054__BN727_01980
ERR1913021.6773__1.6773	1262889__R7H960__BN634_00690
ERR1913021.6829__1.6829	820__A0A174I980__gldH
ERR1913021.6850__1.6850	28118__R6FH70__NCTC10826_02742
ERR1913021.6910__1.6910	357276__I9F327__DXD47_22495
ERR1913021.6978__1.6978	28116__C3QN68__BACOVA_04250
ERR1913021.6986__1.6986	1262889__R7H773__BN634_02377
ERR1913021.7020__1.7020	820__R7E9Z4__DXC68_06065
ERR1913021.7094__1.7094	357276__A0A0K2HHN3__GV66_08845
ERR1913021.7118__1.7118	1262889__R7HAY6__BN634_02225
ERR1913021.7269__1.7269	1262935__R5GUQ0__BN773_00559
ERR1913021.7428__1.7428	40518__R5E0F2__RBATCC27255_01890
ERR1913021.7483__1.7483	1262935__R5GEV7__BN773_01835
ERR1913021.7533__1.7533	1780376__A0A143XSC4__BN3659_01663
ERR1913021.7546__1.7546	823__A0A355XLS2__ERS852380_02644
ERR1913021.7666__1.7666	823__A0A395YRX4__ERS852513_03444
ERR1913021.7796__1.7796	1308__F8LWP9__CV714_04615
ERR1913021.7900__1.7900	28118__F9Z6F1__DER54_08365
ERR1913021.7953__1.7953	357276__E5UTL1__HMPREF1065_03551
ERR1913021.7978__1.7978	823__A0A355XFH7__ERS852513_00769
ERR1913021.8027__1.8027	357276__A0A076IIL0__EL88_03065
ERR1913021.8612__1.8612	39492__D4JR58__EUBSIR_02090
ERR1913021.8699__1.8699	357276__I8WPR6__EL88_06675
ERR1913021.8921__1.8921	1262888__R6P7T1__BN582_00315
ERR1913021.8955__1.8955	46228__V8CDQ4__RUMLAC_02769
ERR1913021.9025__1.9025	357276__A0A0K2HI25__DXD47_04465
ERR1913021.9028__1.9028	291644__I9TD38__HMPREF1532_01636
ERR1913021.9064__1.9064	821__R9HFW2__DXD01_00365
ERR1913021.9437__1.9437	1378168__V2YA11__N510_02528
ERR1913021.9612__1.9612	357276__I8VN48__ABI39_07855
ERR1913021.9658__1.9658	1261__D3MR67__SAMN05660467_01650
ERR1913021.9903__1.9903	204516__U6R9H3__HMPREF1534_03348
ERR1913021.10309__1.10309	328814__GCA_004558275.1_00034
ERR1913021.10340__1.10340	291644__I9TBY1__HMPREF1532_01991
ERR1913021.10368__1.10368	823__D0TGD9__hpt
ERR1913021.10498__1.10498	357276__A0A1Y4PPG2__B5F95_02305
ERR1913021.11198__1.11198	204516__U6RAM4__HMPREF1534_03439
ERR1913021.11265__1.11265	28111__R5JTT9__BACEGG_01644
ERR1913021.11267__1.11267	204516__U6RAM4__HMPREF1534_03439
ERR1913021.11394__1.11394	291644__R5J9U3__HMPREF1071_01626
ERR1913021.11452__1.11452	1262935__R5GGB1__BN773_00342
ERR1913021.11502__1.11502	39492__D4JW10__pppA
ERR1913021.11946__1.11946	28111__E5WUX1__HMPREF1016_00548
ERR1913021.11913__1.11913	1262935__R5GUZ2__BN773_00533
ERR1913021.12139__1.12139	487174__K0X429__HMPREF9448_00932
ERR1913021.12193__1.12193	823__A0A174EFT7__luxQ_5
ERR1913021.12212__1.12212	1262825__R5EL82__BN724_00573
ERR1913021.12365__1.12365	46228__B5CPT7__HMPREF1202_00616
ERR1913021.12568__1.12568	165179__A0A3E5EAM5__DXC61_07785
ERR1913021.12609__1.12609	1550024__G9RZG5__TQ39_11180
ERR1913021.12614__1.12614	357276__I9R994__BACDOR_04044
ERR1913021.12699__1.12699	214856__I3YPR5__ERS852447_01364
ERR1913021.12873__1.12873	204516__U6R9H3__HMPREF1534_03348
ERR1913021.12887__1.12887	821__A0A395VIK7__BVU_1225
ERR1913021.12938__1.12938	28117__B0MXU0__BHV66_07550
ERR1913021.13156__1.13156	1262935__R5GSZ0__BN773_01827
ERR1913021.13376__1.13376	1262935__R5GS65__BN773_01399
ERR1913021.13383__1.13383	357276__B6W1J2__BACDOR_03380
ERR1913021.13774__1.13774	246787__I9EAB0__BACCELL_00131
ERR1913021.14108__1.14108	1262958__R7GY37__BN645_00085
ERR1913021.14114__1.14114	291644__I9TNC0__ERS852428_03402
ERR1913021.14148__1.14148	853__A0A2A7AXC8__C4N21_14120
ERR1913021.14394__1.14394	28117__B0MWP2__ALIPUT_01468
ERR1913021.14412__1.14412	40518__R5DVQ2__DXD93_00365
ERR1913021.14425__1.14425	1262889__R7H9H9__BN634_02436
ERR1913021.14443__1.14443	821__A0A0P0LNX8__ERS852509_03015
ERR1913021.14802__1.14802	821__A0A173XDD3__DXB82_17180
ERR1913021.14931__1.14931	357276__I9R201__B5F00_01910
ERR1913021.15168__1.15168	28118__R6F5X8__DF785_07935
ERR1913021.15804__1.15804	2293125__A0A374BSW4__DW917_13420
ERR1913021.16090__1.16090	823__A0A355XKQ8__DHP27_04010
ERR1913021.16124__1.16124	357276__B6W5Q9__HMPREF1063_03125
ERR1913021.16173__1.16173	28118__F9Z4Y7__DF785_06945
ERR1913021.16441__1.16441	821__A0A396F598__CUU_3259
ERR1913021.16581__1.16581	1263107__GCA_000436995.1_00142
ERR1913021.16919__1.16919	1160721__R6U983__RBI_I00047
ERR1913021.17081__1.17081	1262825__R5E1G0__BN724_01308
ERR1913021.17266__1.17266	46503__R6X6Y7__ERS852463_01453
ERR1913021.17556__1.17556	410072__A0A3E4GUH0__COPCOM_01729
