ERR1912976.284__1.284	329854__R5M2W6__DXD57_07830
ERR1912976.357__1.357	649756__A0A173RNX6__ERS852475_00267
ERR1912976.680__1.680	821__A6L0C7__ERS852556_03520
ERR1912976.631__1.631	301302__A0A173T1J1__M72_18951
ERR1912976.717__1.717	40519__U2MCQ8__RUMCAL_00556
ERR1912976.984__1.984	1628085__A0A1C6C323__C7386_10747
ERR1912976.949__1.949	28116__A7LS06__HMPREF2532_04668
ERR1912976.1246__1.1246	487174__K0WRP3__HMPREF9448_02660
ERR1912976.1312__1.1312	487174__R5F2W8__HMPREF9448_01730
ERR1912976.1408__1.1408	552398__T5S086__HMPREF0866_01580
ERR1912976.1412__1.1412	329854__R5MKJ2__DXD27_16110
ERR1912976.1490__1.1490	239935__A0A2N8HBM4__CXT85_06270
ERR1912976.1593__1.1593	33038__A7B5W1__CDL22_11645
ERR1912976.1819__1.1819	33038__A7AYC4__CDL21_13075
ERR1912976.1881__1.1881	329854__A0A3E4IQD7__BACINT_01717
ERR1912976.2168__1.2168	31971__R7G6K7__EUBDOL_00169
ERR1912976.2228__1.2228	165179__A0A3E5E189__PREVCOP_06699
ERR1912976.2291__1.2291	1262921__R5LTL7__BN473_02537
ERR1912976.2419__1.2419	33038__A0A2N5NUB0__CCY17_12840
ERR1912976.2510__1.2510	1550024__G9RXB5__TQ39_17835
ERR1912976.2470__1.2470	1897011__A0A1Q6RBV8__BHW41_06760
ERR1912976.2713__1.2713	165179__D1PHC0__PREVCOP_06640
ERR1912976.2760__1.2760	2292352__A0A374UL49__DXC23_11310
ERR1912976.2763__1.2763	33038__A0A3E4K4Y5__CDL20_06020
ERR1912976.2921__1.2921	329854__R5MCA7__DXD57_10010
ERR1912976.2931__1.2931	2173__A0A1D2WSN7__Msm_1465
ERR1912976.2950__1.2950	712121__L1PKK1__HMPREF9061_00556
ERR1912976.2957__1.2957	74426__pflB_2
ERR1912976.3019__1.3019	329854__R5MD93__DXD27_17140
ERR1912976.3196__1.3196	33038__A7B691__RUMGNA_03104
ERR1912976.3249__1.3249	33038__A7B8N9__CDL21_10000
ERR1912976.3357__1.3357	33038__A0A2N5PFY8__CDL19_06745
ERR1912976.3488__1.3488	487174__K0X773__DIT83_07170
ERR1912976.3541__1.3541	33038__R5UBY3__lutR_1
ERR1912976.3619__1.3619	28116__D7J6B1__B5F02_07870
ERR1912976.3782__1.3782	1262743__R5C054__BN727_01980
ERR1912976.3885__1.3885	39492__R6RT40__prkC_3
ERR1912976.3937__1.3937	562__P23837__phoQ
ERR1912976.4073__1.4073	28117__B0MT73__ALIPUT_00412
ERR1912976.4435__1.4435	821__A0A174WBC9__ERS852556_03145
ERR1912976.4443__1.4443	33038__A0A2N5NPD5__CCY17_06280
