ERR1912995.212__1.212	301302__A0A173RZU9__M72_23561
ERR1912995.292__1.292	1297617__A0A2U1BIM8__BIV19_14900
ERR1912995.396__1.396	1680__A0A173XYA2__B0703_0121
ERR1912995.420__1.420	1262911__R6GN99__BN557_01784
ERR1912995.557__1.557	1262919__R5PRH9__BN465_00856
ERR1912995.476__1.476	626929__F3PIZ9__B5F24_03600
ERR1912995.668__1.668	28052__R7NB18__tcrY_2
ERR1912995.1155__1.1155	1628085__A0A2U1BCE8__C7386_10723
ERR1912995.1219__1.1219	901__B6WXK8__DESPIG_02835
ERR1912995.1274__1.1274	216816__C2GSX7__DD678_03555
ERR1912995.1479__1.1479	1262882__R5MJ49__BN519_01124
ERR1912995.1563__1.1563	1680__A0A087DHN0__AL0462_1532
ERR1912995.1762__1.1762	2022527__A0A264Y8G4__CHL74_05770
ERR1912995.2180__1.2180	147206__GCF_000156215.1_01776
ERR1912995.2224__1.2224	39491__A0A395V6A3__DXB69_00505
ERR1912995.2330__1.2330	45851__D4RW36__BUTYVIB_00166
ERR1912995.2425__1.2425	853__E2ZGD9__C7J97_11715
ERR1912995.2654__1.2654	901__B6WUY7__DHV46_11425
ERR1912995.3061__1.3061	147206__GCF_000156215.1_01777
ERR1912995.3187__1.3187	147206__GCF_000156215.1_01777
ERR1912995.3238__1.3238	1262741__R6CQA8__BN697_01006
ERR1912995.3292__1.3292	1262936__R7J012__BN799_01235
ERR1912995.3402__1.3402	28111__E5X121__BACEGG_03113
ERR1912995.3842__1.3842	1628085__A0A2U1APD9__C7386_1551
ERR1912995.3885__1.3885	216816__A0A2I1IYC5__BLNIAS_00571
ERR1912995.3919__1.3919	216816__C5E9N8__DD678_02795
ERR1912995.4510__1.4510	40518__R5DRG6__ylbJ
ERR1912995.4978__1.4978	1680__A0A374QDL4__LMG18897_0432
ERR1912995.5045__1.5045	1262959__A0A355KWK7__BN680_01208
ERR1912995.5063__1.5063	239935__R7DVL7__CXT93_01180
ERR1912995.5103__1.5103	1680__A0A0B5BHY4__DXD63_03525
ERR1912995.5194__1.5194	147206__GCF_000156215.1_01776
ERR1912995.5322__1.5322	1680__A0A174BEE7__BSTER_1311
ERR1912995.5448__1.5448	901__B6WR17__DHV46_00835
ERR1912995.5566__1.5566	1628085__A0A3E2XSL7__C7386_12131
ERR1912995.5744__1.5744	28052__A0A174PF05__ERS852451_02043
ERR1912995.5765__1.5765	1897011__A0A1Q6RE78__BHW41_04770
ERR1912995.5772__1.5772	1680__A0A087DHN0__AL0462_1532
ERR1912995.6129__1.6129	1680__A0A087DHN0__AL0462_1532
ERR1912995.6162__1.6162	1263006__R6LIE4__BN515_01447
ERR1912995.6408__1.6408	28052__R7NCQ8__ERS852499_02306
ERR1912995.6501__1.6501	1262936__R7J360__BN799_00345
ERR1912995.7071__1.7071	1262936__R7IZ99__BN799_01076
ERR1912995.7161__1.7161	1680__A0A2R4G1K8__BBMN23_0315
ERR1912995.7212__1.7212	1263000__R5ES99__BN466_01121
ERR1912995.7440__1.7440	74426__purL
ERR1912995.7460__1.7460	74426__infB
ERR1912995.7853__1.7853	552398__F4XCR9__HMPREF0866_01636
ERR1912995.8318__1.8318	1680__A0A173XYA2__B0703_0121
